"","MinBin","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at"
"1",1900,-6.9066666666,1.44,12.246666666,3.84,-16.58,-9.4533333334,1.6866666666,-5.5933333334,-11.74,-4.0066666666,6.98,-0.8533333334,236.8,246.33333334,449.73333334,235.73333334,0,0,0,0,1071.3333334,501.86666666,6.9333333334,287.13333334,2.5333333334,25.666666666,245.8,55.066666666,2672.5333334,2029,1016.6666666,1716.3333334,0,0,0.7333333334,0.2,0.5333333334,6.0666666666,60.6,14.2,229.53333334,203.2,100.6,151.46666666,0,63,227.26666666,67.933333334,0,1.6,23.2,5.2,58.466666666,57.666666666,65.6,65.4
"2",1905,-7.68,1.96,13.24,4.14,-17.76,-8.62,2.24,-5.52,-12.72,-3.3,7.74,-0.66,226.2,276.8,312.6,199,0,0,0,0,1183.6,423.2,3.8,297.6,1.8,23.2,295.6,69.4,2789.8,1963,946,1700.8,0,0,1,1,0,5.8,66,17,222.2,219,52.8,105,0,67.8,239.8,62.2,0,5.2,49.8,6,56.4,59.4,64.2,64.8
"3",1910,-8.14,2.86,13.1,3.06,-18.38,-7.94,2.06,-6.4,-13.28,-2.56,7.58,-1.66,208.4,206.8,342.8,264.6,0,0,0,0,1199.4,381.2,3,330.2,1.6,29.8,275.6,46,2804.2,1893,962.2,1789,0,0.2,1,0,0.2,6.2,64.4,12.4,205.6,170.8,44.8,160.2,0,73,239.2,52,0,10.2,43.8,0,55.6,58.8,64.2,64.8
"4",1915,-8.64,2.26,13.62,3.68,-18.96,-8.42,2.34,-6.48,-13.8,-3.06,7.98,-1.4,251.2,287.4,329.8,197.8,0,0,0,0,1237.8,417.4,3.8,323.4,2,26.4,310.8,59.2,2842.2,1941.4,922.8,1766,0,0.2,1,0.4,0.2,6.2,67.2,14.2,245.6,226.8,51.8,123.4,0,69.2,244.8,56.4,0,0,53.4,0,55.2,59,63.2,62.4
"5",1920,-7.82,1.86,14.12,4.56,-18.36,-9.28,2.46,-6.26,-13.12,-3.72,8.26,-0.84,244.6,233.2,293.4,166.2,0,0,0,0,1221.8,462.8,3.2,302.6,1.6,25.2,331.4,67.2,2826.4,1997.8,894.6,1715.2,0,0.2,1.4,0.6,0,4.8,68.4,14.2,240.6,196.8,37.6,99.2,0,66,252.4,69.2,0,12.2,52.6,1.8,54.8,57,62.4,60.8
"6",1925,-7.7,3.46,13.62,2.88,-17.62,-7.8,2.54,-6.72,-12.64,-2.18,8.1,-1.92,197.2,178.2,330.2,258.2,0,0,0,0,1115.6,357.4,2.8,344.8,2.8,33.8,315.8,45.8,2718,1856.4,913.8,1813,0,0.6,1.2,0.2,0.4,6.6,69.6,12,193.8,145.8,44.2,157,0,56.8,244.2,50.2,0,17.2,51.6,7,57,57.4,64,64.2
"7",1930,-7.22,3.2,14.26,3.72,-16.24,-7.34,2.54,-5.44,-11.72,-2.06,8.4,-0.88,235.2,252,271.6,200.4,0,0,0,0,1063.8,362.2,2.4,289.2,3.2,39.4,332.8,55,2659.6,1849.8,884.6,1719.2,0,0.4,1,0.6,0.6,8.6,70.2,16.2,228.4,199,27.4,136.6,0,85.8,253,52.2,0,3.6,65.8,2.8,61,60.4,62.4,66.2
"8",1935,-8.6,3,13.56,5.36,-19.04,-8.34,2.56,-5.62,-13.82,-2.66,8.04,-0.14,243,188.2,275.8,231,0,0,0,0,1218.6,401.8,3.8,265,2.2,36.2,318.2,88.6,2818.4,1902.8,915.8,1650.6,0,0.4,1.2,1.2,0.4,6.6,68.8,17.8,238.2,146,47.2,118.8,0,69.6,242.8,68.2,0,7.6,55.4,10.8,54.6,57.2,64.4,60.6
"9",1940,-6.16,3.24,13.5,4.96,-16.66,-7.98,2.44,-6.04,-11.44,-2.38,7.98,-0.56,122.2,219,311.8,185.6,0,0,0,0,1066.8,371.2,3.6,306.6,2.2,31.8,312,79,2671.8,1877.2,922.2,1686,0,0.4,1.4,0.8,0,6.8,68.2,16,119,168.2,44,106.4,0,50.8,242.2,76.4,0,6.8,44.8,11.8,55.6,57.6,64.4,60.4
"10",1945,-7.4,2.5,12.92,3.62,-18.22,-8.34,2.26,-6.62,-12.82,-2.92,7.58,-1.48,248.8,243.2,325.6,225.8,2.52,7.18,9.04,3.98,1179.8,409.8,4.4,337.6,1.8,30,281.8,57.8,2785.6,1927.6,960.4,1774.8,0,0.4,1,0.4,0,6.4,66.6,14.8,244.4,188.6,56.4,139.2,0,65.8,234.2,60.6,0,0,50.6,10.2,53.8,58.6,65.2,62.4
