"","MinBin","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at"
"1",1900,-6.7266666666,1.64,12.52,4.1133333334,-16.506666666,-9.3533333334,1.7866666666,-5.4933333334,-11.64,-3.88,7.18,-0.7066666666,227.86666666,240.8,437.4,227.53333334,0,0,0,0,1060.4,488.93333334,6.1333333334,279.06666666,2.5333333334,27.4,258.2,57.933333334,2662.4666666,2014,998.4,1700.0666666,0,0.2666666666,1,0.2,0.5333333334,6.0666666666,61.866666666,14.666666666,220.53333334,196.4,92.33333334,142.26666666,0,64.266666666,231.26666666,68.933333334,0,2,24.6,5.6666666666,58.2,57.4,64.8,64.933333334
"2",1905,-7.5,2.18,13.52,4.4,-17.7,-8.5,2.34,-5.42,-12.6,-3.16,7.94,-0.5,217.6,271.2,304.2,192.2,0,0,0,0,1174.4,413.4,3.6,290.4,2,24.6,309,73.2,2779.8,1948.2,928,1684.6,0,0,1.2,1,0,6,66.8,17.6,213.8,211.8,47.8,98.6,0,68.8,243.8,63.2,0,5.4,53.8,6.6,56.4,58.8,64,64.2
"3",1910,-8,3.06,13.4,3.34,-18.3,-7.84,2.16,-6.3,-13.16,-2.4,7.78,-1.46,201,202.2,333.4,255,0,0,0,0,1189.6,371.8,2.8,322.2,1.6,31.8,289.2,48.6,2793.8,1878,943.4,1772.6,0,0.4,1.2,0,0.2,6.6,65.4,13,198,165.4,40.2,151.2,0,74.2,243.2,53,0,11,46.6,0,55.4,58.4,63.4,64
"4",1915,-8.52,2.5,13.92,3.94,-18.92,-8.3,2.44,-6.38,-13.7,-2.92,8.18,-1.22,242.2,280.8,320.4,191.4,0,0,0,0,1227.6,407.8,3,316.6,2,28,325,62.6,2832,1926.4,904,1749.2,0,0.2,1.4,0.4,0.2,6.2,68.2,14.4,236.4,219,46.8,115.6,0,70.2,249,57.4,0,0,56.6,0,54.6,58.8,63.2,61.8
"5",1920,-7.7,2.08,14.42,4.8,-18.3,-9.18,2.56,-6.16,-12.96,-3.54,8.46,-0.64,236.2,228.4,285.2,160.8,0,0,0,0,1210,451.6,2.6,286.6,1.6,26.8,346.6,70.6,2815.8,1983.2,876.4,1698.4,0,0.2,1.4,0.6,0,4.8,69.4,15,231.8,191,34.2,93.6,0,67.4,256.4,70,0,13,58.4,2.6,54.6,56.6,62,60.6
"6",1925,-7.54,3.68,13.92,3.12,-17.54,-7.7,2.64,-6.62,-12.54,-2,8.3,-1.74,190,174.2,321.4,249.6,0,0,0,0,1106.2,348.6,2.8,337.4,2.8,35.8,330.4,48.4,2707.6,1841.6,895,1796.4,0,0.6,1.4,0.2,0.4,6.8,70.6,12.4,186.8,141,40,148.2,0,67.2,248.2,51.2,0,18.4,54.4,7.2,56.8,57,63.8,63.6
"7",1930,-7.06,3.4,14.56,3.94,-16.18,-7.24,2.64,-5.34,-11.6,-1.92,8.6,-0.68,226.2,246.6,264.4,193.6,0,0,0,0,1054.6,354.4,2.2,281.4,3.2,41.6,348.4,58.2,2649.2,1835.4,866.2,1703,0,0.4,1.2,0.6,0.6,9,71,16.4,219.4,192,24.6,129.2,0,86.8,257,53.2,0,4.6,71,3.2,61,59.8,62,65.6
"8",1935,-8.44,3.2,13.84,5.62,-18.98,-8.24,2.68,-5.52,-13.68,-2.52,8.24,0.0400000000000003,234.2,184.6,268.4,223.8,0,0,0,0,1209.2,393.4,3.4,259.4,2.6,38.8,332.8,93.2,2808.4,1888.2,897.8,1634.4,0,0.4,1.2,1.2,0.4,7,69.6,18.2,229.4,141.4,43.4,111.4,0,70.8,246.8,69.2,0,8.4,58.8,12,54.4,57,63.8,60.2
"9",1940,-6.02,3.44,13.8,5.24,-16.58,-7.88,2.54,-5.94,-11.3,-2.22,8.18,-0.36,118.2,214.8,303.2,179.8,0,0,0,0,1057.2,362,3.6,299.6,2.4,33.6,326.2,82.8,2661.6,1862.4,904,1669.4,0,0.6,1.4,0.8,0,7,69,16.6,115,162.4,40,100.2,0,63,246.2,77.4,0,7,48,12.8,55.2,57.6,63.4,59.8
"10",1945,-7.22,2.72,13.22,3.86,-18.14,-8.24,2.36,-6.52,-12.7,-2.78,7.78,-1.3,239.8,238,316.6,218,2.54,7.18,9,4.06,1170.2,401.6,3.8,330,1.8,31.8,295.4,60.6,2775.4,1912.6,942,1758,0,0.4,1,0.6,0,6.6,67.6,15.2,235.8,182,51.2,131.8,0,76.2,238.2,61.6,0,0,53.2,10.4,53.2,58.4,64.8,61.8
