"","MinBin","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at"
"1",1900,-6.7866666666,1.38,13.726666666,3.92,-16.166666666,-9.3533333334,1.7533333334,-5.9666666666,-11.466666666,-4,7.7,-1.0466666666,387.53333334,292.2,404,415.33333334,0,0,0,0,1038.6,494.93333334,4.3333333334,271.33333334,2.2666666666,24.933333334,292.26666666,50.733333334,2643.2666666,2024.8666666,946.6,1731.8,0,0,1,0.2,0.2666666666,6,61.266666666,13.866666666,377.13333334,257.8,68.066666666,287.86666666,0,62.8,249.26666666,66.266666666,0,7.2666666666,30.466666666,0,59.466666666,58.4,61.266666666,63.4
"2",1905,-7.12,2.38,14.44,3.76,-17.9,-8.7,2.08,-5.64,-12.54,-3.14,8.24,-0.92,415.4,306.4,347.4,450.8,0,0,0,0,1177.2,413.6,3,299.2,2,25,332.8,66.4,2781,1948,897.2,1724.6,0,0,1.4,1,0,6,64.2,17.4,408,251.2,44.8,241.2,0,60.8,258.8,51.4,0,0,35.8,0,54,57.8,60.4,65
"3",1910,-8.34,2.62,13.64,2.86,-18.78,-8.24,1.92,-6.52,-13.54,-2.84,7.76,-1.82,408.6,252,379.8,486.8,0,0,0,0,1224.4,407,2.6,345.6,1.6,29.8,288.2,46,2829.8,1918.6,943.2,1805.4,0,0.4,1,0,0,6.8,63.2,13,402.8,214.2,46.4,359.4,0,63.2,247.4,51.8,0,10,39.8,1.4,54.8,58.4,62.4,64.4
"4",1915,-8.84,2.26,14.38,3.54,-19.04,-8.02,2.3,-6.22,-13.94,-2.9,8.34,-1.36,493.2,277.4,377.2,312,0,0,0,0,1248.6,412,3,340.4,1.6,30.8,336,66.8,2854.2,1923.8,890.4,1761.6,0,0.2,1.6,0.4,0,8,66.2,15.8,483.8,220.4,45.6,213,0,69.6,255.4,56.6,0,1.8,24,0,55.4,60.4,61,63.6
"5",1920,-8.32,2.06,15.42,3.88,-17.94,-8.86,2.74,-5.56,-13.12,-3.4,9.08,-0.820000000000001,457.4,238,345.8,370.8,0,0,0,0,1222,445.4,1.6,291.8,1.6,28.2,390.8,71.4,2827.4,1969.6,821.8,1715.6,0,0.2,2,0.8,0,6.2,70.2,18.6,448.2,199,27.4,205.6,0,65.6,270.2,63.8,0,5,56.4,0,58.2,58,59.8,65.2
"6",1925,-8.24,3.1,15.06,2.86,-17.48,-7.72,2.4,-6.1,-12.86,-2.28,8.72,-1.62,366.6,222.6,350.6,403.2,0,0,0,0,1133.8,372.2,1.8,331.2,2.6,35.2,361,50,2732.2,1867.8,854.4,1786.4,0,0.6,1.8,0.4,0.6,8.2,68,14.6,360,182.4,32,263,0,64.6,266.4,55.2,0,7.8,49.6,6.2,59.6,58.6,59.8,66.4
"7",1930,-7.68,3.04,15.16,3.36,-16.5,-7.3,2.22,-5.44,-12.08,-2.14,8.68,-1.02,516.2,306.8,251.6,425.4,0,0,0,0,1088.6,361.2,2.2,300,2.6,38.2,359,54.8,2688.6,1855.2,857,1733.2,0,0.4,1.4,0.4,0.6,9.2,66,16.2,501.8,254.8,23.6,295.8,0,83,267.2,51,0,1,69,0.4,61.6,60.8,59.2,67
"8",1935,-8.28,2.66,14.48,4.62,-18.34,-8.06,2.38,-5.86,-13.32,-2.68,8.4,-0.62,551,227.8,338.6,449.2,0,0,0,0,1181.8,402,2.4,297.8,2.4,35.2,342,82,2781.6,1905.8,882.4,1694.6,0,0.4,1.4,1,0.4,6.8,67.6,16.8,538.4,185.2,41.4,247.8,0,69.2,257.4,66,0,4.2,44.4,0,56.4,59.2,61.4,62
"9",1940,-5.56,3.58,14.86,4.6,-16.36,-7.4,2.56,-5.8,-10.96,-1.9,8.7,-0.600000000000001,330.6,301.2,346,388.4,0,0,0,0,1028.2,341,2.4,313.4,2.4,37.2,362,83,2631.4,1832.4,856,1692.8,0,0.6,1.6,0.8,0.4,8.6,69.2,18.2,318.8,241.8,30.8,294.8,0,74.2,262.4,68.4,0,16.4,29.8,5,54.6,58.4,60.6,61.8
"10",1945,-7.58,3,14.36,3.32,-17.88,-7.76,2.32,-6.42,-12.7,-2.36,8.32,-1.52,502,299.4,343.2,470.4,1.96,6.72,8.46,3.52,1162.4,387,2.8,344.6,1.6,39,333.2,60.4,2768.6,1875.4,891,1779.2,0,0.8,1.2,0.6,0.2,8.8,67,15,493.6,237.6,38.2,300.4,0,69.2,255.6,51.4,0,0,22.6,0,55.6,59,61.4,63.6
"11",1950,-8.24,1.64,13.48,3.96,-17.48,-9.22,2.38,-5.82,-12.86,-3.78,7.92,-0.94,604.4,282.8,342.8,323.8,4.8,16.98,21.66,8.84,1139.4,473.8,3.4,303.4,2.6,26.4,303.4,65.4,2741.6,2005.2,927,1723.6,0,0.2,1,0.8,0.4,6.2,68,16.2,588.4,237.2,43.2,236,0,63.8,241.6,57.6,0,4.8,14.4,9.2,59.6,57.8,64.2,64
"12",1955,-8.04,2.32,14.42,2.66,-16.98,-8.06,3.24,-6.48,-12.5,-2.86,8.84,-1.9,529.6,263.6,310,462.6,4.82,17.52,22.02,8.96,1140.8,428,2,394.4,2,40.2,373.8,67.6,2742.4,1920.4,844,1811,0,0.6,1.6,0.8,0.4,8.2,74.8,18.8,517,224.4,28.8,282.6,0,68.2,251.2,49.8,0,19,45.8,2.4,61,60.4,64.2,65.6
"13",1960,-6.96,2.04,14.44,3.72,-15.26,-7.3,3.26,-5.26,-11.1,-2.64,8.86,-0.74,426.8,266,316.8,458.6,4.94,17.2,22.28,8.98,1065,379.8,2,300.8,3.2,28.2,373.4,77.8,2662.6,1899.8,843.4,1707.2,0,0.2,1.8,0.8,0.8,8.4,75.4,19.8,412.2,219,25.8,306.8,0,59,252.2,63.8,0,1.6,31.2,0,64,63.6,64,66.6
