"","MinBin","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at"
"1",1900,-7.2133333334,0.52,11.726666666,1.7666666666,-16.053333334,-10.566666666,1.3266666666,-7.6333333334,-11.633333334,-5,6.5266666666,-2.92,326.66666666,255.86666666,206.6,265.66666666,0,0,0,0,1044.3333334,553.46666666,12.6,383,2,15.066666666,233.06666666,28.4,2650.2,2119.2666666,1057.4,1903.4666666,0,0,1,0,0,3.7333333334,56.266666666,9.2,320.2,242.93333334,55.733333334,211,0,52.266666666,216.53333334,35,0,14.6,52.8,0,61.266666666,56.533333334,65.666666666,63.533333334
"2",1905,-8,1.22,11.92,1.46,-17.34,-9.64,1.7,-7.14,-12.7,-4.2,6.8,-2.84,317,243,215.8,300.4,0,0,0,0,1192.8,486.8,9,396.4,2,17.6,246.6,34.6,2796.8,2044.2,1030.6,1898.2,0,0,0.6,0,0.2,4.2,59.6,11.8,311.4,224.6,52.2,197.4,0,44.6,217.8,37.2,0,2.4,48.2,0,59.2,57.6,66.6,66.6
"3",1910,-8.92,1.88,11.32,1.12,-18.72,-9.92,0.84,-8.12,-13.82,-4.02,6.08,-3.52,366,218.2,228.4,294,0,0,0,0,1237.8,477.8,8.8,421.8,1.4,19.6,193.4,25.8,2846.2,2027.2,1097.4,1958.2,0,0,0.4,0,0,3.8,50.6,8.2,362.2,201.8,58.6,250.6,0,58.8,214.4,36.4,0,23.4,46.6,0.8,57.2,54.8,65.4,64.2
"4",1915,-8.9,2.08,12.06,2.14,-18.82,-9.88,0.9,-7.7,-13.86,-3.88,6.46,-2.8,376.2,179.4,215,207,0,0,0,0,1246.6,469.6,12,411,1.8,19.8,236.6,40,2851.8,2018,1061.2,1895.4,0,0,1,0.2,0,3.6,51.2,9.8,368.2,161.6,62,161.2,0,47,224.4,43,0,11.6,62.8,3,56.6,54.2,63.4,62.4
"5",1920,-7.6,1.74,12.9,2.24,-17.94,-10.66,1.6,-6.86,-12.78,-4.46,7.26,-2.32,386.4,191,213,261.6,0,0,0,0,1197.4,508.6,6.6,359.6,1.8,17.8,270.4,42,2802.2,2067.4,988.8,1850.6,0,0,1,0.2,0,3,57.8,12.8,379.4,176.8,38.4,180.2,0,50.6,233.2,39,0,21.4,66.4,0,55.6,52.6,63.2,65
"6",1925,-8.02,2.66,12.64,0.940000000000001,-17.56,-9.38,1.58,-7.62,-12.76,-3.36,7.12,-3.34,318.6,216.6,199.4,276.2,0,0,0,0,1135.6,427.4,6,411.6,2.8,22.4,254.8,28.2,2732.8,1967.6,1002.2,1942.4,0,0,1,0,0.6,4.4,59.6,9.8,308.4,199.8,40,220,0,49.6,229.6,29.8,0,20,68.6,3.8,58.4,54.2,64,66.4
"7",1930,-7.12,2.88,13.32,1.94,-17.02,-9.72,0.700000000000001,-7.58,-12.06,-3.42,7,-2.8,404.4,252,158.8,325,0,0,0,0,1088.8,440.6,7.8,390.8,3.4,24.6,261.6,32.4,2685.8,1974.6,1012,1897.2,0,0.2,1.2,0,0.6,4.2,48.6,8.6,388.8,230.2,36.6,250,0,72,243.6,39.6,0,18.8,95.2,4.2,57.4,52.6,59.2,63.4
"8",1935,-8.54,2.32,13.02,3.02,-18.04,-9.66,1.08,-7.18,-13.3,-3.62,7.06,-2.06,423,195.6,234.6,268.8,0,0,0,0,1172.2,456.2,7.2,368,2.8,24.6,255.4,52.2,2769.2,1992.2,1009,1828.4,0,0.2,0.8,0.4,0.4,3.8,54,11.2,413.4,177,50.2,192.8,0,54,238.4,45.4,0,24.2,53,0,58.6,54.4,61.2,61.6
"9",1940,-6.14,3.52,13.06,2.94,-15.22,-8.94,1.52,-7.2,-10.66,-2.74,7.3,-2.14,287.2,243.4,191.2,253,0,0,0,0,1008.2,385.6,7.2,379.6,3,27.4,273.6,52.4,2609.8,1909,985.8,1832.2,0,0.2,1,0.4,0.6,4.6,58.8,11.8,275.4,218.4,35,216.6,0,72.6,236.4,49.2,0,23.4,58.6,6.8,61.2,53.4,62.2,62.4
"10",1945,-7.56,2.88,12.62,2.18,-17.58,-9.22,1.58,-8.04000000000001,-12.54,-3.16,7.1,-2.96,428,210.8,208.6,302.2,1.92,6.96,8.36,3.4,1158.8,428,8.2,415.6,1.8,29,263.2,38.8,2763.4,1948.6,1003,1908,0,0.2,1,0,0.2,5.6,59,9.2,419,188.6,44,220,0,66.4,229,43,0,25.6,46.6,0,56.6,54,64,61.2
"11",1950,-8.44,1.2,11.8,2.4,-17.44,-10.24,1.38,-7.14,-12.92,-4.54,6.58000000000001,-2.36,460.4,233.8,216,194.4,4.7,17.44,21.48,8.74,1141.4,522.2,9.4,381.4,3.2,19.6,228.2,42.2,2738,2074,1051.2,1855.8,0,0,1,0,0.4,4.2,56.4,11,449,212.4,50.2,154.4,0,60.2,218,42,0,13.6,41.4,7.8,60.6,55.8,65.4,63.6
"12",1955,-8.24,1.76,12.68,1.2,-17.52,-9.32,1.7,-8.02,-12.88,-3.8,7.18000000000001,-3.42,477.2,227.6,189.2,310,4.86,18.28,22.04,9,1169.2,474.6,6.8,467.8,2,26,268.6,39.6,2773,2006,994.4,1950,0,0.4,1,0.2,0.2,5.6,60,12.2,467.8,212.2,40.6,205.2,0,52.6,229.6,39.8,0,29.2,72.4,0,59.4,57.2,64.4,64.2
"13",1960,-6.34,1.64,12.38,1.92,-15.26,-9.24,2.06,-6.96000000000001,-10.82,-3.8,7.2,-2.52,377.6,233.2,198.4,302.6,4.94,17.98,22.32,8.88,1051.2,458.2,7,381.6,2.8,18.8,270,45.6,2648.2,2006.4,992.8,1870.6,0,0,0.8,0.2,0.8,4.8,63.6,12.6,363.6,214,38.6,234.4,0,44,223,39.6,0,15.2,50.6,1.6,61.6,57.8,66.2,65.6
"14",1965,-8.92,1.7,12.18,1.78,-17.72,-9.34,2.04,-6.28000000000001,-13.34,-3.84,7.10000000000001,-2.28,482.4,261.8,211.8,258.4,4.86,18.2,22.58,8.72,1161.4,468,8.2,380.6,2,21,268.2,51.8,2765.2,2011.8,1002.2,1846,0,0,1.2,0.4,0,5,63.4,15.2,475.2,233.6,44.8,218.6,0,57.2,219.6,39.6,0,3.6,35.6,4.4,61.4,57.2,66.6,69
"15",1970,-8.88,1.84,12.84,0.600000000000001,-17.72,-9.04,2.3,-7.74,-13.3,-3.62,7.56000000000001,-3.58,470,242.4,188,275.6,4.66,18.14,22.98,9.06,1197.4,453.2,5.6,441.6,2,22.8,296.4,29.2,2799.8,1989.8,960.2,1963.4,0,0,1.8,0,0.2,5,65.6,10.2,465.6,223.4,37.2,227.6,0,49.8,227.6,29,0,14.2,77,0,60.8,58,65.4,67.2
"16",1975,-7.98,1.66,11.7,1.86,-16.76,-9.12,2.5,-6.88,-12.36,-3.72,7.14000000000001,-2.54,311.2,172.2,240.2,245.4,4.8,18.06,22.5,9.34,1137.6,458.8,7.8,397.4,2.4,20.4,264,46.2,2739.8,2002.6,1002.4,1869,0,0,1,0.4,0.4,5.2,67.2,15,303.4,152.6,45.4,177.8,0,54,209.8,38.8,0,9,19.8,3.4,61.6,58.2,69.6,66.4
"17",1980,-7.08,2.32,11.86,1.32,-15.66,-8.64,2.24,-6.98,-11.38,-3.16,7.04,-2.82,395.4,223.6,262.6,246,4.78,17.66,21.48,9.25999999999999,1091.4,421.8,7.8,395.2,3.4,25.4,260.4,31.6,2689.8,1949.2,1009,1899.8,0,0.2,1,0,0.6,6,65.8,11.4,381.4,201.4,51,151,0,48.4,213,35,0,15.4,38.4,0,62.4,58,68.2,67.6
"18",1985,-6.84,3.08,12.24,1.34,-15.5,-7.98,2.22,-7.38,-11.18,-2.46,7.24,-3.04,293.2,251.4,257,258.6,4.86,18,22.08,9.54,960.4,372.6,5.2,427,3.4,29.8,261.2,39.4,2559.4,1884.6,991.4,1915.4,0,0,1,0.2,0.8,6.6,65.6,11.8,279,224.2,44.4,197.4,0,61.6,220,37.6,0,19.8,33.4,0,62.4,57.8,67,66.2
"19",1990,-6.5,3.72,12.14,2.08,-15.08,-7.8,2.72,-6.98,-10.78,-2.04,7.44,-2.44,292,259.8,284.4,236.2,4.78,17.72,21.42,9.48,1009.4,342.4,6.2,383.8,4.2,33,285.6,51.2,2601.8,1846.2,972.4,1863.4,0,0.2,1.4,0.4,0.8,7.6,69.6,13.2,268.4,218.8,50.2,191.2,0,59.6,214,43,0,0.4,25.4,7.2,62.8,56.8,69,65.4
"20",1995,-7.22,2.26,12.16,1.74,-15.56,-8.8,2.48,-6.7,-11.4,-3.26,7.36000000000001,-2.48,321.8,265,252.6,367.4,4.94,18.4,22.86,9.2,1018.2,432.2,7.2,386.6,3.4,27.6,284.6,45,2614.4,1958.6,981.6,1864.8,0,0.2,1.2,0.2,0.8,6.2,66.4,13.2,313.2,238.4,56.6,290,0,50.4,216,41.6,0,15.4,37.2,3.4,63.4,57.6,68.4,67.6
"21",2000,-6.26,1.12,12.78,1.72,-14.64,-9.34,2.16,-7.06,-10.44,-4.1,7.46000000000001,-2.66,233.2,269.2,228.2,246.2,4.9,18.28,23.02,8.96,967.4,484,6.8,390,3,17.2,287.4,37.6,2568.8,2037.2,970,1882.6,0,0,1.2,0,0.8,4.4,64.2,12.4,224.2,252.4,40.2,168,0,32.2,228.2,38,0,9.6,42.6,0.2,63.6,59,65.2,66
"22",2005,-6.5,2.08,12.14,1.54,-15.52,-8.83999999999999,1.8,-6.82,-11.02,-3.38,6.96000000000001,-2.62,305.4,217.8,243.6,245.8,4.82,18.44,22.6,8.8,1053,429.8,7.8,391,2.6,23,253.8,41.2,2652.6,1968.2,1015.2,1880.6,0,0,0.8,0.2,0.4,5.4,61.4,12.2,294.2,198.2,53.6,183.4,0,59.2,220.4,39.8,0,18.4,27,1,60.8,57.8,66,67.8
"23",2010,-7.1,1.34,12.28,1.74,-15.8,-9.36,2.22,-7.28,-11.44,-4,7.26000000000001,-2.76,216.6,295.6,220.6,233,0.999999999999999,3.61999999999999,4.35999999999998,1.78,993.8,473,7.6,416.2,3,18.2,279.8,49.6,2595,2026.6,987.6,1891,0,0,1,0.4,0.6,3.8,65.6,13.6,208.2,276.8,55,137.6,0,46.2,219.6,46.6,0,8.6,56.2,6.2,62.2,58.2,67,65.6
