"","MinBin","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at"
"1",1900,-5.1933333334,3.3466666666,15.026666666,5.5933333334,-15.2,-7.8666666666,3.3666666666,-4.36,-10.2066666666,-2.26,9.1866666666,0.6133333334,222.4,255.8,304.2,138.73333334,0,0,0,0,936.73333334,394.26666666,2.6,219.6,3.5333333334,44.333333334,408.73333334,87.733333334,2533.4,1868.0666666,810.66666666,1581.2666666,0,0.7333333334,2.4666666666,1,0.7333333334,9.9333333334,74.666666666,21.666666666,205.53333334,188.26666666,37.2,69.933333334,0,79.733333334,263.06666666,75.666666666,0,1.8,57.8,14.733333334,57.666666666,57.933333334,62.8,64.333333334
"2",1905,-6.14,3.48,16.24,6.16,-16,-7.2,3.86,-4.18,-11.08,-1.86,10.04,1,150.2,265.4,212.6,101.4,0,0,0,0,1046.6,333.4,1.4,227,3.6,36.6,477.8,114.4,2643.6,1829.2,733.2,1549.8,0,0.6,4,1.2,0.6,9.4,77.4,23.4,145.2,189.2,16.8,51.4,0,81,278.8,71.4,0,5.4,124.4,40,57.6,59.2,60.8,63
"3",1910,-6.12,4.78,16.28,4.76,-16.42,-6.28,3.86,-4.9,-11.28,-0.740000000000001,10.06,-0.08,161.4,228.8,222.8,197,0,0,0,0,1033,279.2,1,270.4,3.4,51.6,470.2,80,2629,1728.6,731.8,1645.8,0,0.6,3.6,0.8,0.6,11.6,78.4,19.8,155.8,162,11,94.2,0,94.8,280.4,64,0,16.4,88,6,56.2,59.2,61,64.6
"4",1915,-7.84,3.76,16.44,5.12,-17.28,-6.7,4.1,-5.06,-12.58,-1.46,10.28,0.0400000000000001,181.8,285.6,218,178,0,0,0,0,1130.2,319.2,1,276.4,3,42.6,497.8,92.4,2728.4,1794,710.2,1637,0,0.4,4,1.2,0.6,10.6,79.4,21.4,175.8,197.4,16.4,83,0,82.2,281.6,61,0,5,111.4,5,58.6,60.6,61.2,62.6
"5",1920,-6.28,3.18,16.6,6.14,-16.44,-7.74,4.18,-4.94,-11.34,-2.3,10.36,0.62,187.4,303,203.4,115.4,0,0,0,0,1063,378,1.2,239,3,39.6,505.6,104.6,2664.2,1867.6,701.4,1583.6,0,0.8,4,1,0.6,8.2,79.2,20.6,181.8,250.2,11.8,77.8,0,70.4,283.6,81.2,0,22.6,122.6,30,56.6,58.6,60.8,60.2
"6",1925,-5.82,5,16.18,3.88,-15.8,-6.2,4.3,-5.38,-10.82,-0.62,10.22,-0.74,174.2,252.2,259.6,222.6,0,0,0,0,975,270.4,1.2,301.8,4.8,55.8,490.2,66.4,2564.8,1713.2,716.4,1708,0,0.6,4,0.6,0.8,11,80.6,18,167.2,202.2,16.4,123.4,0,92.2,276,60,0,32.6,79.4,7.4,57.6,58.8,62.6,65.8
"7",1930,-4.86,5.14,17.82,5.78,-13.86,-5.54,4.62,-3.74,-9.36,-0.2,11.22,1.02,200.2,304.6,193,171.6,0,0,0,0,865.8,274,0.4,216.8,7.4,72.6,578.8,104.6,2443.8,1677.8,625,1546.6,0,1.2,5.6,1.2,1.4,16,83.4,25.2,187.4,221.8,6.8,103.2,0,113,300.4,61.4,0,17,138.4,16.4,61.8,60.6,59,65.4
"8",1935,-7.58,4.72,17.42,6.88,-16.8,-6.38,4.4,-3.5,-12.18,-0.82,10.9,1.7,172.8,208,193,191.8,0,0,0,0,1076,306.4,1.2,214.4,4.2,66.4,554.8,148.6,2669.6,1734.6,653.6,1486.4,0,1,5.8,2.2,1.2,12.4,80,28,166.6,144.8,15.2,84.2,0,97,295.8,77.8,0,17,145.8,20.4,60,59.4,59.2,63.6
"9",1940,-4.76,4.86,16.8,6.62,-14.12,-5.92,4.88,-3.74,-9.44,-0.54,10.84,1.4,121.2,244.6,245.8,160.8,0,0,0,0,895.8,277.6,1,232.4,4.2,60.2,552,140.4,2488.8,1707.8,657.6,1508,0,1,5.6,1.4,1,13.6,82.4,27.8,114.8,166,14,65.6,0,110.4,282.2,83.2,0,15.4,87.6,20.8,60.2,60.4,62.6,63.2
"10",1945,-6.56,3.94,16.26,4.74,-15.9,-6.52,4.4,-4.64,-11.26,-1.32,10.32,0.0599999999999998,213.8,289.2,239.8,205.6,2.58,7.18,9.2,4.14,1063.2,321,1.6,287.8,2.8,50.4,504.8,98.6,2661.2,1777,706.6,1634,0,0.8,4.2,1,0.8,12,81,24,206.6,199.4,17.6,109.8,0,89,276.2,68.6,0,5.6,103,18.4,60,60.6,62.4,66
"11",1950,-7.86,2.22,15.12,5.84,-16.54,-7.54,4.54,-3.74,-12.18,-2.66,9.82,1.08,272.8,343.2,270.4,149.4,6.34,18.18,23.38,10.24,1067.4,406.2,1.8,226,4.8,37.4,462,116.2,2654.4,1901.8,751.6,1543.4,0,0.4,3.4,1.4,1.2,9.8,81.2,25.8,263.2,279.4,22.6,97,0,76.2,256.8,70.2,0,3,79.4,22,62,62.6,66.2,65.4
"12",1955,-6.7,3.06,16.44,4.44,-15.76,-6.52,5,-4.78,-11.24,-1.72,10.7,-0.2,178.6,270.4,223.6,167.6,6.34,18.32,23.64,10.26,1025.4,356.8,1,306.6,3.8,56.6,533.6,103.8,2618.6,1815.4,670.2,1655.2,0,0.8,4.8,1.2,0.8,13.2,83,24.6,171.6,210,8.8,78.8,0,70,275,66,0,13.8,79.4,14.6,60.8,63.4,63.6,65.8
"13",1960,-4.76,3.6,17.24,5.9,-13.8,-6.28,5.24,-3.8,-9.28000000000001,-1.34,11.26,1.1,169,257.6,197.4,147.8,6.38,18.12,23.82,10.36,944,306.8,0.8,233.6,4.8,43,579.8,125.4,2533,1782.6,623.2,1540.6,0,0.8,7,1.8,1,12.6,84.4,26.6,158.6,187.8,7.4,89.8,0,72.6,287.6,79.2,0,4,144.6,15.2,61.6,62.6,62.2,65.2
"14",1965,-7.98,3.16,15.98,5.4,-17.44,-6.7,4.56,-3.68,-12.68,-1.78,10.26,0.86,231,321.2,266,176.4,6.24,18.26,23.62,10.08,1091.4,345.4,1.2,245.2,3.2,43.2,499.6,135.2,2690.8,1820.4,711.4,1561.6,0,0.4,4.4,2.2,0.4,11.2,81.2,27.6,227.2,242.4,18,91,0,75.6,270.2,72,0,0,88.8,28.8,58.8,62.6,63.8,67
"15",1970,-7.1,3.72,17.32,4.28,-16.16,-6.04,5.4,-4.96,-11.6,-1.16,11.36,-0.32,266,347,202.6,156.4,6.14,18.4,24.02,10.46,1064.8,303.8,0.6,290.8,3.4,47.8,590.6,83.6,2658.4,1763.8,614.8,1669.2,0,0.8,8,0.8,0.8,12.4,85.4,21.4,260.8,266.6,7,90.2,0,77.2,286.6,62.4,0,0.4,114.6,7.6,60.6,63,62.6,66
"16",1975,-6.98,3.6,15.92,5.36,-15.66,-6.07999999999999,4.98,-4.14,-11.34,-1.24,10.44,0.62,216,282.4,250.4,145.2,6.22,18.16,23.5,10.76,1045.8,303.2,1,271.8,4.4,44.6,510.8,131,2638.4,1771.8,696.4,1583,0,0.4,4.4,2,1,12.2,82.6,27.2,206.6,209,11.8,75.4,0,84.2,267.4,74.2,0,7,67.8,19.4,62.4,63.6,65.2,65.6
"17",1980,-5.28,4.3,16.18,5.08,-14.74,-5.66,5,-4.12,-10.02,-0.7,10.6,0.48,194.4,300.2,212,163.4,6.14,17.74,22.72,10.76,996,275.4,1.2,241.6,6,52.2,525.6,98.2,2581,1722.2,682.2,1594.4,0,0.8,5.4,1,1,13.6,83.4,23.8,177.6,204.8,12.8,61.2,0,86,269.8,69.8,0,8,100.6,11.8,59.6,62.6,64.6,66.6
"18",1985,-4.9,5.74,16.98,4.96,-14.28,-4.62,5.22,-4.56,-9.56000000000001,0.58,11.06,0.2,155.4,253.8,228.2,205.6,6.32,18.12,23.48,10.86,836,214.8,0.4,279.4,5.8,76,562.8,107,2422,1606,638.8,1619.8,0,1,5.8,1.2,1.6,17.6,84.6,24.2,146.2,163.8,7.4,119.8,0,103.6,283.8,70.6,0,11.2,85.6,10.8,60,62.2,62.8,65.6
"19",1990,-5.02,5.9,15.62,5.26,-14.18,-4.82,5.1,-4.42,-9.60000000000001,0.54,10.36,0.4,157.4,290.6,266,162.6,6.18,17.76,22.42,10.96,898.2,196.2,1.2,274.2,6.8,66,503.2,126.2,2483,1607.8,704.2,1602,0,1,5,1.8,1.8,15.8,83.6,24,143.4,173.6,14.4,95.6,0,105,259.8,71.8,0,0,56.4,28,61.2,61,66.4,65.2
"20",1995,-5.64,4.18,16.3,5.38,-14.94,-6.3,5.2,-3.78,-10.28,-1.04,10.74,0.82,187.8,370.6,267.4,180.4,6.32,18.36,23.14,10.42,929.6,298,1.2,259.6,4.8,50.4,540.2,128.4,2518,1755.4,667.2,1566.4,0,0.8,5.6,1.8,0.8,12.4,84.2,26.6,182.2,254.4,12.8,110.4,0,84.6,270,78.4,0,0,60.6,15.6,60.4,60.6,64.6,67
"21",2000,-5.46,3.14,16.56,4.66,-14.56,-6.96,4.48000000000001,-4.66,-10.02,-1.92,10.52,4.44089209850063e-17,149,294.4,226.4,151.6,6.38,18.48,24.14,10.3,932.8,340.8,1.2,278,3.4,36,521.8,93,2534.2,1833.8,687.8,1640.4,0,0.2,4.8,1.2,0.8,9,81,22.6,143.4,238.8,13.6,69.2,0,72,280.4,59.6,0,6.2,100.8,10.6,61,61.6,61.8,65.4
"22",2005,-5.14000000000001,4.06,16.1,5.14,-14.54,-5.96,4.76,-4.16,-9.84000000000001,-0.94,10.42,0.48,178.2,276.8,268,170.8,6.3,18.58,24.14,10.36,951,283.8,1.4,253.4,3.6,46.2,512.2,107.6,2547.8,1745,698.8,1596.8,0,0.8,5.8,1.4,0.4,11.8,81.6,23.2,170,201.6,18,87.4,0,76.8,271.6,68,0,6,76.4,12,60.2,62.4,63.8,66.4
"23",2010,-6.22,3.26,16.2,5.23999999999999,-15.06,-6.64,4.56,-4.58,-10.64,-1.7,10.4,0.3,151,380.2,260.6,177,1.28,3.70000000000002,4.65999999999999,2.00000000000001,927.8,317.2,1.2,278,3.6,34.6,512.2,124.8,2525.6,1813,698.4,1610.4,0,0.4,4.6,1.6,1,8.2,81.4,25.2,144.8,309.6,19.2,96.2,0,64.2,273.8,75.6,0,0.2,95.4,15.6,62,62.2,63,64.6
