"","MinBin","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at"
"1",1900,-7.14,1.14,12.1,3.48,-16.546666666,-9.3133333334,1.9133333334,-5.4666666666,-11.833333334,-4.0733333334,7.0333333334,-0.9933333334,270.93333334,277.06666666,395.13333334,224.33333334,0,0,0,0,1080.4666666,505.86666666,6.9333333334,294.66666666,2.2666666666,25.666666666,249.86666666,53.733333334,2681.8666666,2033.7333334,1011.2666666,1726.4666666,0,0.2666666666,0.7333333334,0.2,0.5333333334,6.5333333334,63.133333334,15.466666666,260.73333334,227.86666666,88.4,149.4,0,62.266666666,225.53333334,66.8,0,0,24.066666666,5,59.4,59.6,66.333333334,67.133333334
"2",1905,-8,1.54,13.2,3.96,-17.54,-8.52,2.4,-5.36,-12.76,-3.5,7.8,-0.7,212.6,295,270,173.6,0,0,0,0,1189,437.2,4,302,1.8,22,302,70.6,2794.4,1978.4,938.2,1703.6,0,0,1.2,0.8,0.2,6.2,67.6,17.8,209.2,235,45.8,102.8,0,64.8,239.2,57.6,0,4,66.8,16.2,58.4,60.8,65,66
"3",1910,-8.24,2.54,13.14,2.72,-18.18,-7.8,2.22,-6.2,-13.22,-2.6,7.68,-1.72,203.8,236.6,292.2,278.4,0,0,0,0,1197.2,385.2,2.8,338.6,1.6,29,283,47,2800.6,1898.8,951.8,1797,0,0.2,1.2,0.2,0.4,7,66.4,13.6,200.8,194.8,35.6,172.2,0,70.8,239.6,51.6,0,7,42.8,0,56.8,60.4,64.6,66.6
"4",1915,-9.3,1.78,13.5,3.2,-18.88,-8.24,2.54,-6.3,-14.1,-3.24,8.04,-1.56,238.2,317.2,277,209.6,0,0,0,0,1259.6,426.6,3.8,334.2,1.6,25,313.8,58,2865.4,1955.6,919.8,1780.8,0,0.2,1,0.4,0.2,6.8,69.2,15.6,233.4,250.4,44,134.4,0,56.2,242.6,54.6,0,0,66.4,0,57.8,61.6,64.4,64.4
"5",1920,-8.18,1.36,13.88,4.1,-18.1,-9.2,2.68,-6.08,-13.16,-3.9,8.26,-1,227,264.8,259.6,167.2,0,0,0,0,1222.8,476.8,3,311,1.6,23.8,330.8,66,2827.2,2016.8,895.8,1728.8,0,0.2,1.4,0.6,0,5,70.4,15.6,223.6,225.6,33,110.6,0,53.4,248.2,62,0,11.6,68.8,4.6,57.2,59,63.6,62.6
"6",1925,-7.96,3,13.44,2.24,-17.36,-7.66,2.76,-6.54,-12.68,-2.34,8.1,-2.16,208.6,209.2,290.8,278.2,0,0,0,0,1120.8,368.2,3,358.2,2.8,32.8,317,43.4,2722.2,1871.2,913.4,1834,0,0.6,1.2,0.2,0.4,6.8,71.4,13.4,205.4,174.8,39.8,182.4,0,56,240.6,48,0,18.4,56.4,6,58.6,59.4,65.4,67
"7",1930,-7.28,2.92,14.42,3.44,-15.8,-7.14,2.86,-5.16,-11.54,-2.12,8.64,-0.840000000000001,249.2,286.4,237.4,201,0,0,0,0,1047.2,366.2,2.4,293.6,3.4,39.8,351.4,58.4,2640.8,1853.6,862.6,1717.2,0,0.4,1.2,0.6,0.6,9.6,73,18,242.8,230.6,22.4,144.6,0,83.6,254.6,52.2,0,4,81.6,5.4,62.8,62,63,68
"8",1935,-9.1,2.66,13.88,4.92,-18.6,-8.08,2.76,-5.18,-13.84,-2.7,8.3,-0.140000000000001,228.4,211.6,243.8,232,0,0,0,0,1221.8,406.2,3.4,269,2.6,37.4,339,92.8,2821.2,1906.8,891.4,1651.4,0,0.4,1.4,1.2,0.4,7.6,70.6,20.2,223.6,164.6,41.2,134.6,0,68.8,247.8,67.2,0,6.8,64.4,13.2,58.4,59.2,64,63.6
"9",1940,-6.56,2.84,13.56,4.62,-16.14,-7.68,3,-5.54,-11.36,-2.42,8.28,-0.480000000000001,133,237.2,285.8,194.2,0,0,0,0,1060.4,377.2,3.6,306,2.4,32.6,335.2,83.6,2663.8,1880.8,894.6,1679.4,0,0.4,1.4,0.8,0.2,8.2,72.6,18.8,129.6,182.6,38.4,110,0,60.4,240.4,74.6,0,6,52.8,12.6,59,60,65.8,63.4
"10",1945,-7.92,2.02,12.96,3.02,-17.9,-8.1,2.72,-6.18,-12.88,-3.06,7.8,-1.56,264.8,271.4,292,245,2.38,7.04,8.92,3.88,1194,419,4,356,1.8,29.2,301.6,59.4,2799.8,1937.2,936.2,1781.6,0,0.2,1,0.4,0,7.2,71,17,261.2,210.2,49.2,159.6,0,72.2,232.4,58.8,0,0,58.2,10.4,57,60.8,66.6,65.8
