"","MinBin","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at"
"1",1900,-6.2733333334,1.8933333334,13.78,3.8666666666,-15.733333334,-8.3666666666,2.84,-4.84,-10.986666666,-3.2133333334,8.3333333334,-0.4866666666,291.26666666,291,321.4,167.33333334,0,0,0,0,1007.06666666,447.73333334,3.8666666666,280.4,2.8,32.4,339.8,65.133333334,2606.8,1955.0666666,892.26666666,1682,0,0.2666666666,1.4666666666,0.4666666666,0.7333333334,8.7333333334,70.933333334,18.666666666,275.73333334,228.33333334,52,97.26666666,0,72.2,246.26666666,69.133333334,0,0,42.933333334,6.0666666666,59.666666666,60.2,64.333333334,67.866666666
"2",1905,-7.24,2.12,14.94,4.42,-16.54,-7.66,3.34,-4.74,-11.92,-2.78,9.12,-0.14,199,297.2,220,119.6,0,0,0,0,1117.6,386.2,2.4,284,2.6,27.2,403.4,86.2,2717.2,1913.8,816.2,1653.8,0,0.2,2.4,1,0.6,8.4,73.6,20.4,194.2,227.2,25.6,73,0,64.4,261.2,61.4,0,3.2,106.8,34,59.6,62.2,62.8,66.8
"3",1910,-7.3,3.32,15,3.08,-17.02,-6.76,3.3,-5.52,-12.18,-1.72,9.12,-1.22,205,253.4,232,234.6,0,0,0,0,1109,330,1.6,322.2,2.4,37.6,392.8,58.6,2708.4,1817.4,817.2,1750,0,0.4,2.2,0.6,0.4,9.4,74.6,16.6,199.8,195.4,16.4,129.8,0,72,263,54,0,7.4,73.6,3.4,58,61.6,62.6,67.8
"4",1915,-8.92,2.36,15.18,3.42,-17.94,-7.2,3.56,-5.64,-13.42,-2.4,9.38,-1.1,226,326.4,226.6,201.6,0,0,0,0,1203.2,374,2,322.4,2.2,31.6,420.4,68.6,2804,1880.4,795.4,1741,0,0.4,2.4,0.6,0.6,9.2,76,18.2,219.6,244,24.2,113,0,65.4,264,56.4,0,0,97,1.4,60.4,63.2,63,66.4
"5",1920,-7.42,1.88,15.36,4.42,-17.02,-8.22,3.62,-5.46,-12.2,-3.2,9.48,-0.52,226,307.8,212.6,132,0,0,0,0,1138.6,426,1.8,288.4,2.2,29.4,429.8,78.8,2742.4,1949.6,784,1686.2,0,0.2,2.6,0.8,0,7.2,76.4,17.8,221.2,260.2,17.8,96,0,63.6,266.6,64.6,0,13.2,103.6,20.8,58.6,60.8,62.8,63.8
"6",1925,-7.02,3.62,14.94,2.2,-16.4,-6.68,3.72,-5.94,-11.7,-1.56,9.34,-1.84,216.8,261.4,259.4,254.2,0,0,0,0,1045.6,320.2,1.8,350.2,3.6,41.4,415.6,49.4,2642.4,1797.6,799.2,1808,0,0.6,2.6,0.2,0.6,9.6,77.2,15.2,211,217,24,157.6,0,57.2,259.2,54.6,0,23.8,69.4,6.2,59.6,61,64,69.2
"7",1930,-6.14,3.74,16.46,4.02,-14.5,-6.04,4.02,-4.3,-10.3,-1.16,10.26,-0.16,258.8,317,199,190.4,0,0,0,0,944.6,317.6,1,261.6,5.4,53.8,489.6,77.6,2528.6,1765,715,1651.6,0,1,3.2,0.6,1.4,13.8,80.6,22,247,246.2,10.8,128.4,0,86.2,281.4,56.4,0,9.2,121,11.2,63.8,63.4,60.8,69.6
"8",1935,-8.68,3.32,16.06,5.18,-17.38,-6.9,3.8,-4.12,-13,-1.8,9.94,0.52,215.2,225,200.2,218.2,0,0,0,0,1149.4,355,1.8,251.8,3.2,49.6,472.4,114.6,2745,1821.2,742.2,1592.2,0,0.8,3.6,1.4,0.8,10.6,76.8,24.6,209.6,166.8,22.4,113.2,0,80.4,276.8,69.8,0,9.6,121.6,17,61.8,61.4,61.4,66.8
"9",1940,-5.92000000000001,3.48,15.4,4.88,-14.76,-6.44,4.32,-4.42,-10.36,-1.48,9.9,0.24,153.2,264.4,251.6,183.8,0,0,0,0,971.6,323,2,284.6,3.6,44.4,468.2,106.2,2569.6,1796,746.8,1616,0,0.6,3.4,1.2,1,12,80,24.2,147.4,195.4,20.6,92.6,0,90.8,262.2,76.6,0,9.8,76.8,16.8,62.2,62.6,64.4,66.6
"10",1945,-7.62,2.54,14.8,3.04,-16.56,-7.02,3.88,-5.24,-12.08,-2.26,9.34,-1.1,277.6,312.2,246.8,235.6,1.94,6.7,8.74,3.42,1130.8,368,2.2,334.2,2.4,37,422.4,72.4,2734,1863,796.8,1738.8,0,0.4,2.6,0.6,0.6,10.8,78.2,21.2,270.4,231.4,27.4,138,0,72.2,255.8,60.6,0,0.4,85.8,14.4,61,63.2,65,69.6
