"","MinBin","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at"
"1",1900,-6.22,2.0466666666,13.9,4.14,-15.653333334,-8.2666666666,2.9666666666,-4.7866666666,-10.906666666,-3.1133333334,8.46,-0.3133333334,278,286.86666666,302.33333334,158.93333334,0,0,0,0,999.66666666,441.53333334,3.8666666666,272.06666666,2.8,33.866666666,351.06666666,68.066666666,2598.9333334,1944.9333334,879.73333334,1665.4,0,0.4666666666,1.7333333334,0.4666666666,0.7333333334,9.2,71.933333334,19.2,262.4,224.73333334,48.4,91.6,0,73.2,247,69.866666666,0,0,48.333333334,8.0666666666,59.666666666,60.2,64.8,67.866666666
"2",1905,-7.18,2.22,15.06,4.74,-16.46,-7.58,3.46,-4.64,-11.8,-2.68,9.3,0.0600000000000001,187.8,294,208.4,115.6,0,0,0,0,1109.2,380.6,2.2,275,2.8,28.4,416.4,90.6,2709.4,1904.4,801.8,1635.4,0,0.4,2.8,1,0.6,8.4,74.6,20.8,183.2,224,23.2,70.2,0,64.8,262.4,66.8,0,3.2,114.2,36,59.4,62.2,62.8,65.8
"3",1910,-7.16,3.48,15.14,3.36,-16.92,-6.68,3.48,-5.38,-12.04,-1.6,9.32,-1,197.6,253.6,218,226,0,0,0,0,1099.2,323.2,1,313,2.8,39.4,406.8,62.2,2697.4,1806,800.8,1731.2,0,0.4,2.2,0.6,0.4,10.2,75.8,17.4,192.4,194.6,14.4,124,0,72.4,264.2,54.8,0,9,81.2,4.2,57.8,61.4,63,67.4
"4",1915,-8.86,2.5,15.34,3.72,-17.76,-7.1,3.72,-5.5,-13.32,-2.28,9.54,-0.92,220.2,322,213.8,197.6,0,0,0,0,1194,367.2,2,314,2.6,32.8,434.8,72.6,2794.6,1870,780,1721.4,0,0.4,3,0.6,0.6,9.8,77,18.8,214,239.2,22.2,110.6,0,66,265.2,57,0,0,102.8,3,60.6,63,63,66
"5",1920,-7.3,1.98,15.48,4.72,-16.92,-8.16,3.78,-5.36,-12.08,-3.1,9.66,-0.32,225,321.6,201,131.6,0,0,0,0,1128.6,421.8,1.6,280.2,2.2,30.2,443,82.8,2731.6,1941.8,770,1667.4,0,0.2,2.8,0.8,0.2,7.4,77.2,18.2,220,273,16,96.2,0,64,267.4,70.8,0,14.8,110.6,24.2,58.8,60.8,62.8,63
"6",1925,-6.9,3.74,15.06,2.5,-16.28,-6.58,3.92,-5.82,-11.58,-1.44,9.46,-1.66,211.6,270,251.4,247.4,0,0,0,0,1035.6,315,1.8,341.8,3.6,43.2,428.6,52,2632.2,1788.4,784.2,1790.6,0,0.6,2.8,0.2,0.6,9.6,78.2,16,205.4,225,22.4,154.4,0,75.4,260.2,55.4,0,25.4,73,6.6,59.6,60.8,64.4,68.8
"7",1930,-5.98,3.86,16.66,4.32,-14.34,-5.94,4.22,-4.2,-10.16,-1.04,10.44,0.0600000000000009,249.2,328,189,190.2,0,0,0,0,932.6,313.2,1,253.8,6,56.2,506.8,81.6,2515.6,1754.8,697.8,1633.6,0,1,3.8,0.6,1.4,14.4,81.2,22.6,236.8,254.8,10,130.4,0,86.8,283.4,57.4,0,10,127.4,12.8,63.8,63.4,60.8,68.6
"8",1935,-8.64,3.42,16.24,5.44,-17.24,-6.78,4,-3.98,-12.92,-1.66,10.1,0.740000000000001,208.4,227.2,189.2,216.2,0,0,0,0,1141.4,350.2,1.8,244.6,3.2,51.2,487.6,120.2,2736,1811.8,726,1573.2,0,0.8,4,1.6,0.8,11,77.6,25.2,202.6,168.2,20.8,112.4,0,80.8,278.4,70.4,0,10.4,131.8,18.4,61.8,61.6,61.2,66.4
"9",1940,-5.82,3.58,15.6,5.16,-14.62,-6.32,4.52,-4.24,-10.22,-1.38,10.06,0.480000000000001,147.4,267.2,239.2,177.8,0,0,0,0,960.8,318.2,1.8,274.8,3.6,46,483.4,111.6,2557.8,1785.6,731,1595.8,0,0.6,3.8,1.2,1,12.2,80.4,25,141.4,196.4,19.2,89,0,91.6,264,77.2,0,10.2,81,18.2,62.2,62.6,64.6,66.2
"10",1945,-7.56,2.66,15,3.3,-16.42,-6.92,4.06,-5.06,-11.98,-2.12,9.52,-0.879999999999999,266.6,315.8,234.4,232.2,2.34,6.98,9.02,3.8,1123.4,362.8,2.2,325.6,2.4,38.6,438.4,76.6,2726.2,1853.4,779.8,1719.4,0,0.4,3,1,0.6,10.8,78.8,21.6,259.4,233.4,24.8,137.8,0,72.4,257.6,61.2,0,0.6,92.8,16,61.6,63.2,65,69
"11",1950,-8.84,0.979999999999997,13.94,4.42,-16.98,-7.9,4.2,-4.2,-12.92,-3.46,9.06,0.120000000000001,337.4,367.4,264.2,169,5.72,17.64,22.94,9.4,1126.2,455.2,2.4,271.4,3.8,28.6,400.2,91.4,2720,1977.6,822.2,1630,0,0.2,2.2,0.8,1,8.8,79.6,23.2,328.6,309.4,30.6,123.2,0,69,239.6,60.8,0,0.2,69.6,17.4,63.8,65.2,68.4,68.8
"12",1955,-7.7,1.84,15.28,3.02,-16.2,-6.88,4.64,-5.26,-11.96,-2.54,9.98,-1.12,221.4,295.8,221,191,5.72,17.8,23.22,9.4,1086.6,405.2,1.2,353.4,3.4,44.2,468,81.8,2684,1890,740.2,1740.8,0,0.8,3.6,0.8,0.8,12,81.4,22,214.6,240.2,12.2,102.4,0,63.8,257.8,57.4,0,8.4,71.4,11.2,62.6,66.4,65.6,69.2
"13",1960,-5.8,2.32,16.08,4.46,-14.28,-6.66,4.88,-4.2,-10.04,-2.18,10.48,0.100000000000001,207,282.6,194,168.6,5.78,17.62,23.4,9.5,1004.8,354.4,0.8,261.2,3.8,33,511.8,100.8,2597.8,1857.6,693.4,1627.4,0,0.2,4.6,1,0.8,11.4,83,24,197.6,219,10.8,118.2,0,65.6,270.4,69.2,0,0.6,130.8,10.8,63.4,65.2,64.4,68.6
"14",1965,-8.9,1.92,14.88,3.98,-17.82,-7.08,4.18,-4.12,-13.36,-2.58,9.54,-0.0599999999999993,289,353,259.6,202.2,5.62,17.74,23.22,9.2,1150.4,390.2,2,290,2.4,33.2,438.8,111.2,2751,1893.6,778.8,1644.4,0,0.4,3,1.6,0.4,10,79.4,25.4,285.4,279.6,25,118.8,0,69,254.4,62.8,0,0,80.4,25,61,65,65.6,70.2
"15",1970,-8.06,2.5,16.18,2.94,-16.62,-6.44,5.06,-5.42,-12.34,-1.96,10.6,-1.24,330.8,378.4,200.4,177,5.52,17.86,23.62,9.57999999999999,1125,345.8,0.8,338,2.8,36.6,524.6,65.8,2722.2,1838,681,1751.8,0,0.4,5.2,0.4,0.6,11,84,19.2,326.4,307.4,9.6,115.4,0,70.4,269.8,53.2,0,0,104,6.2,62.6,65.6,64.6,68.8
"16",1975,-8.04,2.32,14.8,3.94,-16.1,-6.4,4.64,-4.58,-12.04,-2.04,9.7,-0.319999999999999,269.4,311.2,247.4,164.4,5.62,17.64,23.08,9.88,1105.4,348.4,1.6,313.6,3.6,34,447.8,105.6,2703,1846.4,764.2,1667,0,0.4,3,1.2,0.6,11,80.6,25,260.8,244,15.8,98.4,0,67.8,250.8,69,0,5.8,58.2,15.8,64.6,66.4,67.2,69
