"","MinBin","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at"
"1",1900,-7.7133333334,-0.3533333334,10.806666666,1.0466666666,-16.6,-11.013333334,1.12,-7.8866666666,-12.133333334,-5.7,5.9533333334,-3.42,319.86666666,244.8,195.33333334,256.2,0,0,0,0,1090.0666666,607.13333334,14.333333334,409.6,2,12.333333334,198.4,24.2,2696.6666666,2182.3333334,1106.5333334,1948.6666666,0,0,0.5333333334,0,0,3.7333333334,54.533333334,8.2,314.93333334,234.13333334,56.266666666,212,0,14.133333334,205.06666666,32.8,0,1.0666666666,47.733333334,0,61.533333334,57.533333334,67.6,65.266666666
"2",1905,-8.64,0.26,11,0.74,-17.72,-10.04,1.48,-7.38,-13.2,-4.88,6.26,-3.32,311,232,204,292,0,0,0,0,1237.6,536.6,10.4,418.6,1.6,14.2,212.4,29,2842.8,2107.4,1081.4,1942.6,0,0,0.6,0,0.2,3.8,57.2,11,307,217.4,54,199.6,0,32.2,206.2,34.6,0,2.8,42.8,0,60.4,59.4,68,67.8
"3",1910,-9.54,1,10.5,0.4,-19.24,-10.42,0.54,-8.42,-14.38,-4.7,5.54,-4,358.4,209.2,215,283.8,0,0,0,0,1289.4,528.2,10.8,454.4,1.2,16,163.8,22,2894.8,2091.8,1149.4,2003.8,0,0,0,0,0,3.2,46.8,7.6,355.2,196.2,61.4,249,0,35.4,204.8,34.4,0,14.8,43.8,0.6,57.4,55.6,66.8,65.2
"4",1915,-9.34,1.22,11.26,1.44,-19.26,-10.44,0.52,-8,-14.32,-4.62,5.88,-3.3,369,171.6,201.6,200,0,0,0,0,1286,522,14.6,434,1.4,15.4,200.8,33.6,2892.6,2083.4,1114.8,1939.2,0,0,0.6,0.2,0,3,47.2,8.6,362.6,157.4,63.2,164.4,0,23,214.8,40.8,0,8.4,59.6,3.2,56.6,54.8,64.2,63.6
"5",1920,-8.08,0.98,12.16,1.58,-18.48,-11.26,1.22,-7.12,-13.28,-5.12,6.7,-2.76,382.4,182.6,201.6,253.8,0,0,0,0,1243,561.4,8,389.4,1.8,14.4,231.4,36.2,2848.2,2130,1041.8,1891.4,0,0,0.8,0,0,2.6,54.2,11.6,376.4,170.6,41.4,182,0,49,223.8,37,0,21.8,64.6,0,55.2,52.6,64,66.4
"6",1925,-8.48,1.86,11.84,0.32,-18.16,-9.95999999999999,1.22,-7.94,-13.3,-4.08,6.52,-3.82,311.8,207,187.8,267,0,0,0,0,1184.2,474.6,7.2,434.8,2.4,17.8,217.2,23.6,2783,2031.2,1056.2,1987.8,0,0,0.8,0,0.4,3.6,55.2,8.6,303.6,194,42.4,220.8,0,47.2,220.4,28,0,19.8,64,3.6,57.8,54.6,64.8,67.4
"7",1930,-7.66,2,12.48,1.26,-17.58,-10.34,0.3,-7.9,-12.64,-4.16,6.4,-3.34,395.4,239.4,151.8,315.2,0,0,0,0,1138.2,488.6,9.6,414.6,3.2,19.4,220.2,27.4,2736.2,2041,1068.6,1942.4,0,0,0.8,0,0.4,3.4,43.6,7.8,382.6,222.2,38.2,249,0,37.8,234,37.8,0,17,89.6,4.4,57,53,60.2,64.2
"8",1935,-9.08,1.52,12.24,2.44,-18.7,-10.2,0.7,-7.5,-13.88,-4.34,6.48,-2.52,408.8,184.8,222.8,257.4,0,0,0,0,1219.6,508.2,8.4,388,2.4,20.2,218.6,44.8,2818.4,2056.8,1061.2,1870.2,0,0,0.6,0.2,0.4,3.4,49.4,10.2,401.4,170.2,52.8,192.8,0,51.8,229.4,43.4,0,24,51,0,57.8,55.2,62.2,62.6
"9",1940,-6.6,2.62,12.22,2.26,-15.8,-9.49999999999999,1.18,-7.48,-11.2,-3.44,6.7,-2.6,280.2,231.2,179.2,244.4,0,0,0,0,1057.8,434.8,8.6,401.2,2.8,22,232.8,44.4,2658.6,1974,1041,1876,0,0,1,0.2,0.4,3.8,55.4,10.8,270.8,211.6,37,215.6,0,48.4,225.8,47,0,15.2,57.6,6.6,60.2,54.2,63.6,63.4
"10",1945,-8,2.04,11.84,1.58,-18.12,-9.73999999999999,1.32,-8.34,-13.06,-3.84,6.6,-3.38,416.2,199.8,199,294.6,1.64,6.88,8.24,3.12,1203.8,467.8,9.4,445.6,1.8,24,228.8,33.2,2809,2010.8,1050.2,1948.2,0,0,0.8,0,0.2,4.8,56.2,8.4,408.8,182.4,45.2,221,0,63.8,219.4,41.2,0,26,46.2,0,56.2,54.8,65.2,62.2
