Year,Tave05,Tave06,Tave07,Tave08,Tave09
1900,2.3,5.133333333,7.366666667,7.833333333,2.466666667
1901,3.5,3.3,8,9,1.8
1902,2.5,3.8,7.4,7.5,3.4
1903,0.9,8.3,6.7,7,2.2
1904,1.8,5.5,9.8,7.9,5.2
1905,1.3,4.9,9.4,8.9,5.2
1906,1.3,5.7,11.7,8.6,5.3
1907,0.6,5.5,8.5,6,3.6
1908,2.4,5.7,10.1,8.2,5.6
1909,0.8,6.2,8.6,7.6,6.3
1910,3.1,6,9.5,6.1,3.7
1911,0.8,6.9,7.8,6.1,3
1912,2.9,8.2,6.4,6.9,2.1
1913,1.2,7.2,8.1,8.8,4.8
1914,2.3,6.1,10.7,8.7,4.2
1915,2.6,4.8,7.2,10.6,3.1
1916,0,5.8,8.5,7.9,4.1
1917,1.6,4.9,10.5,8.3,5
1918,0.9,8,9.3,7.9,6.5
1919,2.4,6.9,9.6,9.4,4.5
1920,0.1,4.9,10.9,9.8,4.4
1921,2.2,7.8,8.8,8.6,1.8
1922,2.5,8.1,9.1,9.6,6.5
1923,2.4,6.8,9.7,8.2,5.6
1924,3.7,4.7,9.6,7.7,5.3
1925,3.7,7.4,10.2,7.7,3.3
1926,3.2,6.3,11,7.2,-0.4
1927,0,6.3,8.3,8,3.7
1928,4.6,5.3,10,7.4,5.4
1929,1.6,6.4,9.5,10.2,3.4
1930,1.6,6,9.6,9.6,5.2
1931,3.3,6.9,9.5,9.2,4.6
1932,2.7,7.4,8.7,8.7,5.2
1933,2.2,7.2,9.1,8.8,3.4
1934,5.1,6.2,9.5,9.5,2.5
1935,1.3,5.6,9.3,7.7,6
1936,5.7,7.5,10.8,9.1,4.5
1937,2.7,6.4,9.5,6.9,5.7
1938,1.8,7.1,10.4,7.3,8.7
1939,3.8,3.9,9.8,9.5,5.5
1940,3.8,6.8,9.9,9.7,7.1
1941,2.5,7.6,11.1,8.3,1.7
1942,1,4.8,9.2,8.8,5.2
1943,0,4.1,9.1,8,5.6
1944,3.3,6.4,8.5,7.4,5.7
1945,1.2,4.8,9.6,9.1,3.1
1946,1.9,5,8.9,8,4.2
1947,3.3,5.3,10.2,7.4,4.7
1948,2.4,7.1,7.6,8.1,5.1
1949,3.6,5,8.4,9,5.4
1950,0.6,6,8.7,7.8,5.6
1951,2.1,5.3,9.1,6.2,3
1952,2.6,5.3,8.5,8,5.9
1953,2.1,5.2,9.1,9.4,5.2
1954,1.7,4.8,8.8,7.6,4.3
1955,0,6.9,9.2,8.8,4.4
1956,3.5,6.6,10.3,9.5,5.2
1957,4.6,6.5,9,6.5,6.3
1958,6,7.7,9.7,11.2,4.9
1959,0.8,6.3,10.2,6.8,3.5
1960,1.5,6.5,11.9,8.8,5.2
1961,3.3,10.3,9.8,11.2,2.3
1962,1.6,6.7,8.4,7.6,5.1
1963,2,6.8,8.7,9.8,8.7
1964,2,6.9,10.1,7.8,2.6
1965,1.4,5.4,10.3,10.4,0
1966,3.4,5.3,9.1,7.9,7.8
1967,1,6.5,10.1,11.2,9.3
1968,1.6,5.4,9.4,7.8,5.2
1969,3.3,7.4,8.2,9.7,5.5
1970,2.9,9.3,11.1,10.7,3.1
1971,3.5,6.2,9.6,13,3.5
1972,3.1,7,7.7,11.1,1.3
1973,3,6.4,9.9,9.5,6.1
1974,0.7,8.4,9.3,7.7,5.4
1975,1.9,5.7,11.9,7.1,6.2
1976,3.6,4.4,9.1,9,7.4
1977,2.3,8.3,8.5,7.4,3.4
1978,1.3,7.4,9.8,8,5.8
1979,1.4,7.1,10.2,10.1,7.2
1980,4.3,6.6,9.4,6.2,4.9
1981,2.7,4.7,8.3,11.5,6.5
1982,1.7,8,8.9,8.3,5.7
1983,3.3,6.4,8.6,11.4,3.4
1984,1.1,6.5,10.3,10.2,2.4
1985,4.3,6.3,12,7.6,1.5
1986,3.6,8.7,7.3,10.4,2.4
1987,4.4,9.4,9.3,6.9,7.8
1988,3.7,8.8,9.4,9,5.4
1989,2.2,7.8,10.7,8.3,5.9
1990,2,6.4,10.1,10.6,8.4
1991,2.6,5.8,9.6,11.8,6.1
1992,2.8,8.1,7.6,7.8,3.6
1993,4.8,5.5,6.3,7.2,4.7
1994,3.4,6.2,11,9.8,7.5
1995,2.3,6.6,8.6,6.3,5.7
1996,0,6.4,9.9,10.3,3.9
1997,2.7,6.8,9.1,9.6,7.1
1998,5.4,6.3,11.5,11.4,8
1999,1.5,5.3,7.3,10,4.8
2000,0.8,5.1,9,8.1,3.8
2001,3.2,5.8,9.5,10.5,6.4
2002,-0.3,6.4,9.7,7,4.1
2003,0.9,6.8,10.3,10.9,4.9
2004,0.8,6.3,9.7,9.3,3.5
2005,2.8,4.7,8.9,7.5,3
2006,3.3,7.8,11.4,8.1,6.1
2007,2.8,6.8,12.7,8,4.4
2008,2.3,5.6,8.6,8.8,4.4
2009,1.7,5.5,9.4,8.8,7.9
2010,-0.2,5.6,8.5,7.8,3.7
2011,1.6,5.7,8.7,9.2,6.9
2012,1.1,5.3,10.2,9.7,6.3
2013,2.6,6.1,10,9.9,6.9
2014,1.8,5.7,11.2,9.6,5
2015,2.4,8.6,9.8,8.9,4
