Year,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Tave_wt,Tave_sp,Tave_sm,Tave_at
1900,-11.5,-3.933333333,6.8,-1.466666667,235,256.6666667,496.6666667,258.6666667,-11.5,-3.933333333,6.8,-1.466666667
1901,-11.4,-2.5,6.8,-0.5,245,313,398,215,-11.4,-2.5,6.8,-0.5
1902,-10.6,-3.5,6.3,-1.8,264,244,580,295,-10.6,-3.5,6.3,-1.8
1903,-12.5,-5.8,7.3,-2.1,196,213,512,266,-12.5,-5.8,7.3,-2.1
1904,-12.7,-4.3,7.7,1.6,244,205,262,144,-12.7,-4.3,7.7,1.6
1905,-12.7,-1.5,7.8,-1.2,172,272,309,196,-12.7,-1.5,7.8,-1.2
1906,-9.6,-2.5,8.7,-0.9,126,227,255,174,-9.6,-2.5,8.7,-0.9
1907,-15.5,-4.7,6.7,0.7,242,304,432,237,-15.5,-4.7,6.7,0.7
1908,-10.6,-3.3,8,-0.4,187,362,307,195,-10.6,-3.3,8,-0.4
1909,-15.2,-4.5,7.5,-1.5,404,219,260,193,-15.2,-4.5,7.5,-1.5
1910,-15,0.1,7.2,-0.9,245,206,274,209,-15,0.1,7.2,-0.9
1911,-13.6,-2.8,6.9,-3.5,297,210,388,204,-13.6,-2.8,6.9,-3.5
1912,-12,-3.2,7.2,-2.2,149,136,512,263,-12,-3.2,7.2,-2.2
1913,-13.9,-4.6,8.1,-1.3,162,230,352,298,-13.9,-4.6,8.1,-1.3
1914,-11.9,-2.3,8.5,-0.4,189,252,188,349,-11.9,-2.3,8.5,-0.4
1915,-12.3,-0.3,7.5,-1.6,160,249,525,266,-12.3,-0.3,7.5,-1.6
1916,-15.2,-3.1,7.4,-2.1,318,430,401,255,-15.2,-3.1,7.4,-2.1
1917,-15.7,-5.1,7.9,0.6,106,319,254,119,-15.7,-5.1,7.9,0.6
1918,-14.5,-3,8.4,0.1,355,241,271,163,-14.5,-3,8.4,0.1
1919,-11.3,-3.8,8.7,-4,317,198,198,186,-11.3,-3.8,8.7,-4
1920,-13.3,-5.6,8.5,-1.2,328,250,180,129,-13.3,-5.6,8.5,-1.2
1921,-10.5,-3.6,8.4,-2.2,310,240,185,230,-10.5,-3.6,8.4,-2.2
1922,-16.6,-3.7,8.9,0,156,205,186,120,-16.6,-3.7,8.9,0
1923,-14,-2.8,8.2,0.4,139,311,502,172,-14,-2.8,8.2,0.4
1924,-11.2,-2.9,7.3,-1.2,290,160,414,180,-11.2,-2.9,7.3,-1.2
