Year,Tave05,Tave06,Tave07,Tave08,Tave09
1900,2.5,5.3,7.566666667,8.033333333,2.666666667
1901,3.7,3.5,8.2,9.2,2
1902,2.7,4,7.6,7.7,3.6
1903,1.1,8.4,6.9,7.2,2.4
1904,2,5.7,10,8.1,5.4
1905,1.5,5.1,9.6,9.1,5.3
1906,1.5,5.9,11.9,8.8,5.5
1907,0.8,5.7,8.7,6.3,3.8
1908,2.6,5.9,10.3,8.4,5.8
1909,1,6.4,8.9,7.8,6.5
1910,3.3,6.2,9.7,6.3,3.9
1911,1,7.1,8,6.3,3.1
1912,3.1,8.4,6.7,7.1,2.3
1913,1.4,7.4,8.3,9,5
1914,2.5,6.3,10.9,8.9,4.4
1915,2.8,5,7.4,10.9,3.3
1916,0.2,6,8.7,8.1,4.3
1917,1.8,5.1,10.7,8.5,5.2
1918,1.1,8.2,9.6,8.1,6.7
1919,2.6,7.1,9.8,9.6,4.7
1920,0.3,5.1,11.1,10,4.6
1921,2.4,8,9.1,8.8,2
1922,2.7,8.3,9.3,9.8,6.7
1923,2.6,7,9.9,8.4,5.8
1924,3.9,4.9,9.9,7.9,5.5
1925,3.9,7.5,10.4,7.9,3.5
1926,3.4,6.5,11.2,7.4,-0.2
1927,0.2,6.5,8.6,8.2,3.9
1928,4.8,5.5,10.2,7.6,5.6
1929,1.8,6.6,9.7,10.4,3.6
1930,1.8,6.2,9.8,9.8,5.4
1931,3.5,7.1,9.7,9.4,4.7
1932,2.9,7.6,8.9,8.9,5.4
1933,2.4,7.4,9.3,9,3.6
1934,5.3,6.3,9.7,9.7,2.7
1935,1.5,5.7,9.5,7.9,6.1
1936,5.9,7.6,11,9.3,4.7
1937,2.9,6.5,9.7,7.2,5.9
1938,2,7.3,10.6,7.5,8.9
1939,4,4,10,9.8,5.7
1940,4,7,10.1,9.9,7.3
1941,2.7,7.8,11.3,8.5,1.9
1942,1.2,5,9.4,9,5.4
1943,0.2,4.3,9.3,8.2,5.8
1944,3.5,6.6,8.7,7.6,5.9
1945,1.4,5,9.8,9.3,3.3
1946,2.1,5.2,9.2,8.2,4.4
1947,3.5,5.5,10.4,7.6,4.9
1948,2.6,7.3,7.8,8.3,5.3
1949,3.8,5.2,8.6,9.2,5.6
1950,0.8,6.2,8.9,8,5.8
1951,2.3,5.5,9.3,6.4,3.2
1952,2.8,5.5,8.7,8.2,6.1
1953,2.3,5.4,9.3,9.6,5.4
1954,1.9,5,9,7.8,4.5
1955,0.2,7.1,9.4,9,4.6
1956,3.7,6.8,10.5,9.7,5.4
1957,4.8,6.7,9.2,6.8,6.5
1958,6.2,7.9,9.9,11.4,5.1
1959,1,6.5,10.4,7,3.7
1960,1.7,6.7,12.1,9,5.4
1961,3.5,10.5,10,11.4,2.5
1962,1.8,6.9,8.6,7.8,5.3
1963,2.2,7,8.9,10,8.9
1964,2.2,7.1,10.3,8.1,2.8
1965,1.6,5.6,10.5,10.6,0.2
1966,3.6,5.5,9.3,8.1,8
1967,1.2,6.7,10.3,11.4,9.5
1968,1.8,5.6,9.6,8,5.4
1969,3.5,7.6,8.4,9.9,5.7
1970,3.1,9.4,11.3,10.9,3.3
1971,3.7,6.4,9.8,13.2,3.7
1972,3.3,7.1,7.9,11.3,1.5
1973,3.2,6.6,10.1,9.7,6.2
1974,0.9,8.6,9.5,7.9,5.5
1975,2.1,5.9,12.1,7.3,6.4
1976,3.8,4.6,9.3,9.2,7.6
1977,2.5,8.5,8.7,7.6,3.6
1978,1.5,7.6,10.1,8.3,6
1979,1.6,7.3,10.4,10.3,7.4
1980,4.5,6.8,9.6,6.4,5.1
1981,2.9,4.9,8.5,11.7,6.7
1982,1.9,8.2,9.1,8.5,5.9
1983,3.5,6.6,8.8,11.7,3.6
1984,1.3,6.6,10.5,10.4,2.6
1985,4.5,6.4,12.2,7.8,1.7
1986,3.7,8.9,7.5,10.7,2.6
1987,4.6,9.6,9.5,7.1,8
1988,3.9,9,9.6,9.2,5.6
1989,2.4,8,11,8.5,6.1
1990,2.2,6.6,10.3,10.8,8.6
1991,2.8,6,9.8,12,6.3
1992,3,8.3,7.8,8,3.8
1993,5,5.7,6.5,7.4,4.9
1994,3.6,6.4,11.2,10,7.7
1995,2.5,6.8,8.8,6.5,5.9
1996,0.2,6.6,10.1,10.5,4.1
1997,2.9,7,9.3,9.8,7.3
1998,5.6,6.5,11.7,11.6,8.2
1999,1.7,5.5,7.5,10.2,5
2000,1,5.3,9.2,8.3,4
2001,3.4,6,9.8,10.7,6.5
2002,-0.1,6.6,9.9,7.3,4.3
2003,1.1,7,10.5,11.1,5
2004,1,6.4,9.9,9.5,3.7
2005,3,4.9,9.1,7.7,3.2
2006,3.5,8,11.6,8.3,6.3
2007,3,7,12.9,8.2,4.5
2008,2.5,5.8,8.8,9,4.6
2009,1.9,5.7,9.6,9,8.1
2010,0,5.8,8.7,8,3.9
2011,1.8,5.9,8.9,9.4,7.1
2012,1.3,5.5,10.4,9.9,6.5
2013,2.8,6.3,10.2,10.1,7.1
2014,2,5.9,11.4,9.8,5.2
2015,2.6,8.7,10,9.2,4.2
