Year,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Tave_wt,Tave_sp,Tave_sm,Tave_at
1900,-11.4,-3.8,7,-1.333333333,226.3333333,251,483,249.6666667,-11.4,-3.8,7,-1.333333333
1901,-11.3,-2.3,7,-0.4,236,306,387,208,-11.3,-2.3,7,-0.4
1902,-10.5,-3.4,6.5,-1.7,255,238,565,285,-10.5,-3.4,6.5,-1.7
1903,-12.4,-5.7,7.5,-1.9,188,209,497,256,-12.4,-5.7,7.5,-1.9
1904,-12.6,-4.2,7.9,1.8,234,200,255,139,-12.6,-4.2,7.9,1.8
1905,-12.6,-1.4,8,-1,165,266,301,190,-12.6,-1.4,8,-1
1906,-9.5,-2.4,8.9,-0.7,121,222,248,168,-9.5,-2.4,8.9,-0.7
1907,-15.4,-4.5,6.9,0.8,232,298,420,229,-15.4,-4.5,6.9,0.8
1908,-10.4,-3.1,8.2,-0.3,180,355,299,189,-10.4,-3.1,8.2,-0.3
1909,-15.1,-4.4,7.7,-1.3,390,215,253,185,-15.1,-4.4,7.7,-1.3
1910,-14.8,0.3,7.4,-0.7,236,201,267,201,-14.8,0.3,7.4,-0.7
1911,-13.5,-2.6,7.1,-3.3,286,206,377,196,-13.5,-2.6,7.1,-3.3
1912,-11.9,-3.1,7.4,-2,144,133,498,254,-11.9,-3.1,7.4,-2
1913,-13.8,-4.5,8.3,-1.1,156,225,342,287,-13.8,-4.5,8.3,-1.1
1914,-11.8,-2.1,8.7,-0.2,183,246,183,337,-11.8,-2.1,8.7,-0.2
1915,-12.2,-0.1,7.7,-1.5,154,243,509,258,-12.2,-0.1,7.7,-1.5
1916,-15.1,-3,7.6,-1.9,307,420,390,246,-15.1,-3,7.6,-1.9
1917,-15.6,-4.9,8.1,0.8,103,312,247,116,-15.6,-4.9,8.1,0.8
1918,-14.4,-2.9,8.6,0.3,342,235,263,158,-14.4,-2.9,8.6,0.3
1919,-11.2,-3.7,8.9,-3.8,305,194,193,179,-11.2,-3.7,8.9,-3.8
1920,-13.1,-5.4,8.7,-1,317,245,174,125,-13.1,-5.4,8.7,-1
1921,-10.4,-3.4,8.6,-2,299,235,180,222,-10.4,-3.4,8.6,-2
1922,-16.5,-3.5,9.1,0.2,151,200,181,117,-16.5,-3.5,9.1,0.2
1923,-13.8,-2.7,8.4,0.6,134,305,488,166,-13.8,-2.7,8.4,0.6
1924,-11,-2.7,7.5,-1,280,157,403,174,-11,-2.7,7.5,-1
1925,-13.7,-1.2,8.6,-2.3,318,129,309,255,-13.7,-1.2,8.6,-2.3
1926,-7.2,-0.5,8.4,-2.1,74,110,321,303,-7.2,-0.5,8.4,-2.1
1927,-13.5,-3.7,7.8,-2.8,242,209,356,369,-13.5,-3.7,7.8,-2.8
1928,-13.1,-1.8,7.8,-0.7,167,180,380,96,-13.1,-1.8,7.8,-0.7
1929,-15.2,-2.8,8.9,-0.8,149,243,241,225,-15.2,-2.8,8.9,-0.8
1930,-14.5,-2,8.6,-1.1,360,316,231,155,-14.5,-2,8.6,-1.1
1931,-7,-1.8,8.7,-1.4,67,231,268,209,-7,-1.8,8.7,-1.4
1932,-12.3,-3,8.5,-1.1,250,241,392,240,-12.3,-3,8.5,-1.1
1933,-13.1,-3.2,8.6,-0.1,206,246,244,183,-13.1,-3.2,8.6,-0.1
1934,-11.1,0.4,8.6,0.3,248,199,187,181,-11.1,0.4,8.6,0.3
1935,-11.6,-5.2,7.7,-1.3,310,217,302,175,-11.6,-5.2,7.7,-1.3
1936,-14.4,-1.7,9.3,0.4,174,184,170,141,-14.4,-1.7,9.3,0.4
1937,-17.3,-2.1,7.8,-0.5,220,181,338,347,-17.3,-2.1,7.8,-0.5
1938,-13.4,-2.4,8.5,0.7,288,230,236,189,-13.4,-2.4,8.5,0.7
1939,-11.7,-1.2,7.9,0.9,179,111,296,267,-11.7,-1.2,7.9,0.9
1940,-11.2,-1.3,9,-1.1,136,154,143,268,-11.2,-1.3,9,-1.1
1941,-9.8,-1,9.2,-0.9,85,207,285,135,-9.8,-1,9.2,-0.9
1942,-12.1,-2.3,7.8,-1.3,103,299,441,269,-12.1,-2.3,7.8,-1.3
1943,-13.2,-4.2,7.3,0.6,158,236,266,131,-13.2,-4.2,7.3,0.6
1944,-10.2,-2.3,7.6,0.9,109,178,381,96,-10.2,-2.3,7.6,0.9
1945,-11.4,-4.1,8.1,-2.4,132,283,299,259,-11.4,-4.1,8.1,-2.4
1946,-10.6,-1.5,7.5,-3.3,151,236,332,275,-10.6,-1.5,7.5,-3.3
1947,-12.4,-2.4,7.8,-1.4,291,184,339,310,-12.4,-2.4,7.8,-1.4
1948,-11.5,-4.7,7.8,-0.2,357,297,399,58,-11.5,-4.7,7.8,-0.2
1949,-17.6,-1.2,7.7,0.8,268,190,214,188,-17.6,-1.2,7.7,0.8
1950,-17.2,-4.5,7.7,-2.2,457,181,320,258,-17.2,-4.5,7.7,-2.2
1951,-13.6,-4.7,7.1,-2.6,261,335,622,276,-13.6,-4.7,7.1,-2.6
1952,-14.8,-2.5,7.5,0.1,241,178,442,71,-14.8,-2.5,7.5,0.1
1953,-10.2,-3.6,8.1,1.4,268,306,364,196,-10.2,-3.6,8.1,1.4
1954,-11.2,-5.5,7.3,0.5,380,305,384,179,-11.2,-5.5,7.3,0.5
1955,-11.5,-5.6,8.5,-3.5,131,318,228,194,-11.5,-5.6,8.5,-3.5
1956,-15.3,-2.5,9,-0.5,340,169,271,148,-15.3,-2.5,9,-0.5
1957,-14.9,-2,7.5,-0.9,324,142,340,276,-14.9,-2,7.5,-0.9
1958,-8.5,-1.9,9.8,-0.8,199,202,363,265,-8.5,-1.9,9.8,-0.8
1959,-12.8,-2.8,8,-2.6,169,293,341,266,-12.8,-2.8,8,-2.6
1960,-11.4,-2.9,9.3,-0.3,159,188,241,165,-11.4,-2.9,9.3,-0.3
1961,-9,-2,10.6,-3,338,270,285,328,-9,-2,10.6,-3
1962,-13.2,-2.8,7.8,1,280,193,238,199,-13.2,-2.8,7.8,1
1963,-10.3,-1.6,8.6,1.3,219,217,452,213,-10.3,-1.6,8.6,1.3
1964,-9.9,-3.6,8.5,-1.3,182,231,218,170,-9.9,-3.6,8.5,-1.3
1965,-14.2,-4,8.9,-1.7,281,262,492,283,-14.2,-4,8.9,-1.7
1966,-13.2,-2.1,7.6,-0.5,213,282,286,328,-13.2,-2.1,7.6,-0.5
1967,-9.8,-5.2,9.4,1.3,180,299,185,112,-9.8,-5.2,9.4,1.3
1968,-10.7,-2,7.7,-0.6,201,291,322,281,-10.7,-2,7.7,-0.6
1969,-18.5,-0.9,8.6,0,335,195,416,203,-18.5,-0.9,8.6,0
1970,-11,-3,10.5,-2.4,169,212,185,190,-11,-3,10.5,-2.4
1971,-13.4,-2.6,9.8,-1.3,344,250,262,184,-13.4,-2.6,9.8,-1.3
1972,-16.6,-2.1,8.8,-2.1,476,224,314,241,-16.6,-2.1,8.8,-2.1
1973,-12.7,-1.5,8.8,-2.2,294,281,262,234,-12.7,-1.5,8.8,-2.2
1974,-10.7,-2.8,8.7,0.7,428,406,241,180,-10.7,-2.8,8.7,0.7
1975,-12.8,-4.3,8.4,-0.8,236,192,293,151,-12.8,-4.3,8.4,-0.8
1976,-10.2,-2,7.7,0.5,322,199,315,200,-10.2,-2,7.7,0.5
1977,-8.7,-1.6,8.3,-2,150,232,296,194,-8.7,-1.6,8.3,-2
1978,-14.8,-2,8.6,-1.3,240,269,315,283,-14.8,-2,8.6,-1.3
1979,-16.6,-2.6,9.4,0.2,198,213,164,129,-16.6,-2.6,9.4,0.2
