Year,Tave05,Tave06,Tave07,Tave08,Tave09
1900,2.3,5.933333333,8.366666667,8.666666667,3.1
1901,3.2,4.4,8.8,9.2,2.8
1902,2.2,4.5,8.4,8.5,3.9
1903,1.5,8.9,7.9,8.3,2.6
1904,2,5.8,9.6,8.8,5
1905,1.5,5.8,10.4,9.1,5.3
1906,2,5.8,12.6,9.3,5.2
1907,1.5,5.9,9,6.7,4.3
1908,3,6.4,10.3,8.8,5.5
1909,1.3,6.6,9.1,8,6.3
1910,3.2,5.8,9.6,6.9,4.3
1911,1.4,6.6,8.1,6.4,3.6
1912,3.3,8.7,7.2,6.8,2.8
1913,1.8,7.5,8.5,8.9,4
1914,2.5,6.4,10.5,8.7,4.5
1915,3.9,5.8,8.1,10.8,3.6
1916,0.3,5.9,8.2,8.4,4.6
1917,2.5,5.1,10.6,9.2,5.5
1918,1.9,8,10.3,8.3,7.5
1919,2.9,6.6,9.8,9.9,5.1
1920,1.2,5.8,12,9.9,5
1921,2.7,8.1,9.3,8.7,2.3
1922,2.4,8.3,10.1,10,6.3
1923,2.8,7.5,10.4,9.1,5.8
1924,4,6.5,11.2,9.3,7
1925,4.1,8.3,11.1,7.8,4.2
1926,2.9,7.1,11.2,7.6,0.4
1927,1,7.1,9,8.8,4.3
1928,4.4,6.6,10.9,8.2,5.3
1929,2.7,7.3,9.7,10,4.7
1930,2.4,7.1,11.3,10.8,6.2
1931,3.5,6.4,9.5,9.1,3.7
1932,2.7,7.8,8.2,9.3,5.5
1933,1.8,6.7,9.1,9.1,3.1
1934,4.7,6.5,9.9,9.5,3.6
1935,1.1,5.7,8.6,8,5.9
1936,5.4,7.6,10.9,9.8,4
1937,3,7.2,9.8,7.1,6.3
1938,2.5,8,11.3,7.8,8.4
1939,3.4,5.2,9.7,9.8,5.3
1940,4.1,7.2,10,9.8,7.9
1941,2.8,8.3,11.7,9.2,2.5
1942,1.5,5.6,9.6,9.3,5.6
1943,1.5,5.5,10.3,8.7,6.2
1944,4.5,7.8,9.6,8.2,6.7
1945,2,5.6,10.6,9.7,3.9
1946,3.5,6.5,9.1,9.2,4.6
1947,3.5,6.2,10.7,7.7,5.7
1948,4.1,8.8,8.6,8.7,5.3
1949,4.6,5.5,9.1,9.2,5.9
1950,1,7.2,9.3,8.2,6
1951,3,6,10.1,7.3,3.8
1952,3.2,6.1,9.1,8.9,6.1
1953,2.8,5.6,8.8,9.5,4.7
1954,2.3,5.1,9.5,8.3,5.3
1955,0.5,7.5,9.7,9,5.3
1956,3.6,6.5,11.4,10.3,5.6
1957,5.6,7.1,9,7.1,6.8
1958,5.8,8.9,11.1,11.3,5.5
1959,1.4,6.3,10.2,7.1,4.5
1960,1.5,6.4,12.4,9,5.6
1961,3.5,10.1,10.4,10.9,3
1962,2,6.6,8.9,7.6,5.6
1963,2.4,6.9,8.6,9.8,9.1
1964,2.2,6.9,10.2,7.8,3.5
1965,1.8,6.1,10.9,11,1.6
1966,3.4,5.7,9.1,8.2,7.9
1967,1.6,7.5,10.3,11.6,9.2
1968,2.5,5.9,10.3,8.5,5.9
1969,3.9,8.8,8.8,9.7,6.1
1970,3.3,9.7,11.5,10.9,3.4
1971,3.8,6.7,10,12.8,3.8
1972,3.6,7.2,8.7,11.9,2
1973,3.2,6.6,10,9.5,6.2
1974,1.3,8.5,9.5,9.1,5.8
1975,2.5,6.4,12.2,7.4,6.3
1976,3.5,4.9,9,9.1,7.1
1977,2.6,8.3,8.8,8.9,4
1978,2,8.1,10.8,8.6,5.8
1979,1.9,7.6,10.8,10.6,7
1980,4.8,7.2,9.8,7.3,5.1
1981,3.5,5.1,8.5,11.6,6
1982,1.9,8.9,8.7,8.5,5.7
1983,4.1,7.1,8.6,11,3.4
1984,1,6.7,10.5,9.7,2.7
1985,4.1,6.5,12.3,7.8,2
1986,3.6,8.7,7.4,10.6,3.5
1987,4.6,9.2,9.9,7.7,7.8
1988,3.8,8.4,9.1,9.1,5.5
1989,3,8.3,11.1,8.6,6.1
1990,2.8,6.5,11,11.1,8.3
1991,3.5,6.5,10.1,11.9,6.5
1992,3.3,9.4,9,8.7,3.7
1993,6.1,6.7,7.8,8.2,5.6
1994,4,6.7,11.6,10,7.7
1995,2.9,7.6,9.4,8,5.6
1996,0.9,6.6,10.4,10.4,4.6
1997,3.3,7.1,9.2,9.6,7.2
1998,6.2,7.4,12.2,11.5,8.6
1999,2,6,7.7,10.6,5.2
2000,1.2,5.7,9.3,8.4,4.3
2001,3.5,6.2,9.8,10.6,6.5
2002,0.2,7.1,10,7.8,4.4
2003,1.5,7.4,10.8,11.2,5.4
2004,1.5,7.2,10.4,9.9,3.9
2005,3.5,5.4,9,7.9,3.2
2006,3.7,8.2,11.7,8.3,6.5
2007,3.1,7.1,12.8,8.1,4.5
2008,2.8,6,8.9,9.2,4.7
2009,2.1,6,10,9.2,8
2010,0.4,6,9.1,8.4,3.9
2011,2.1,6.2,8.9,9.4,7.2
2012,1.7,5.8,10.7,10.3,6.7
2013,3.1,6.7,10.4,10.1,7.3
2014,2.4,6.4,11.7,10.1,5.4
2015,3.1,8.9,10.5,9.6,4.3
