Year,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Tave_wt,Tave_sp,Tave_sm,Tave_at
1900,-11.43333333,-4,7.6,-1.533333333,374.6666667,301,436,461.6666667,-11.43333333,-4,7.6,-1.533333333
1901,-11.3,-2.8,7.4,-0.8,334,334,412,356,-11.3,-2.8,7.4,-0.8
1902,-10.9,-3.7,7.1,-1.6,416,291,450,569,-10.9,-3.7,7.1,-1.6
1903,-12.1,-5.5,8.3,-2.2,374,278,446,460,-12.1,-5.5,8.3,-2.2
1904,-11.6,-4,8.1,0.9,439,257,276,230,-11.6,-4,8.1,0.9
1905,-12.4,-1.6,8.4,-1.7,276,274,354,386,-12.4,-1.6,8.4,-1.7
1906,-9.2,-2.5,9.2,-1.6,225,191,284,394,-9.2,-2.5,9.2,-1.6
1907,-15.3,-4.5,7.2,0.3,497,413,517,499,-15.3,-4.5,7.2,0.3
1908,-11.2,-3,8.5,-0.4,415,429,245,423,-11.2,-3,8.5,-0.4
1909,-14.6,-4.1,7.9,-1.2,664,225,337,552,-14.6,-4.1,7.9,-1.2
1910,-15.4,-0.6,7.4,-0.9,470,352,315,513,-15.4,-0.6,7.4,-0.9
1911,-14,-3.2,7,-3.9,604,241,377,355,-14,-3.2,7,-3.9
1912,-12.9,-3.3,7.6,-2.1,288,140,634,382,-12.9,-3.3,7.6,-2.1
1913,-14.2,-4.7,8.3,-1.8,340,225,399,638,-14.2,-4.7,8.3,-1.8
1914,-11.2,-2.4,8.5,-0.4,341,302,174,546,-11.2,-2.4,8.5,-0.4
1915,-12.6,-0.3,8.2,-1.8,226,225,586,400,-12.6,-0.3,8.2,-1.8
1916,-16,-3.2,7.5,-2.4,464,384,415,358,-16,-3.2,7.5,-2.4
1917,-16,-4.7,8.3,0.4,229,319,304,274,-16,-4.7,8.3,0.4
1918,-13.3,-2.8,8.9,0.5,859,272,338,278,-13.3,-2.8,8.9,0.5
1919,-11.8,-3.5,8.8,-3.5,688,187,243,250,-11.8,-3.5,8.8,-3.5
1920,-13.5,-4.9,9.2,-0.9,609,296,184,338,-13.5,-4.9,9.2,-0.9
1921,-10.3,-3.2,8.7,-2,659,280,295,538,-10.3,-3.2,8.7,-2
1922,-17.2,-3.5,9.5,-0.4,260,210,218,360,-17.2,-3.5,9.5,-0.4
1923,-13.7,-2.7,9,-0.1,259,229,593,241,-13.7,-2.7,9,-0.1
