Year,Tave05,Tave06,Tave07,Tave08,Tave09
1900,0.433333333,3.633333333,6.833333333,9.066666667,1.733333333
1901,1.1,2.6,7.2,9.2,2.2
1902,0,2,6.7,8.9,2.3
1903,0.2,6.3,6.6,9.1,0.7
1904,0.5,3.3,7,9.2,2.6
1905,0.6,3.8,8.5,9,3.2
1906,1.1,3.3,10.7,9,2.7
1907,0.1,3.5,7.1,6.8,2.4
1908,1.9,4.1,8.1,8.9,3.1
1909,-0.1,4.1,7.1,7.8,4.2
1910,1.5,3.2,7.2,7.1,2.6
1911,0.1,3.7,5.9,6.4,2
1912,2,6.3,5.5,6.9,1.2
1913,0.3,4.7,5.9,8.4,1.8
1914,1.1,3.6,7.9,8.5,2.7
1915,2.3,2.9,5.9,11.1,2
1916,-0.8,3.1,5.2,8,3.2
1917,0.3,2.3,8.1,9.2,3.5
1918,0.4,4.5,8,8.5,5.8
1919,0.7,3.4,7.1,9.7,3.2
1920,-0.2,3.2,9.4,9.3,3.2
1921,1,4.8,6.7,8,0.9
1922,0.7,5,7.5,9.8,4.5
1923,1.2,5,8,9.1,3.7
1924,2.1,4.3,9,9.4,5.4
1925,2.5,5.7,8.8,7.6,2.5
1926,1.2,4,8.8,7.7,-1.1
1927,-0.1,4.7,7.4,9.5,2.8
1928,2.1,4.4,8.4,8.6,2.8
1929,1.2,4.8,7.1,9.2,3.1
1930,0.6,4.4,9.3,11,4.7
1931,2,3.9,7.3,8.7,2
1932,1.5,5.1,5.9,9.8,3.8
1933,0,3.6,6.5,9.6,0.9
1934,2.9,3.7,7.2,9.2,2.1
1935,-0.1,3.3,6.5,7.9,4
1936,4,5.1,8.8,9.7,2.2
1937,1.7,5.1,7.8,7.3,5.1
1938,1.5,5.6,9.3,8.2,7
1939,2,3.2,7.7,9.9,3.3
1940,2.6,4.3,7.6,9.4,6.3
1941,1.6,5.8,9.7,9.1,1
1942,0.5,3.5,7.8,9.5,4.2
1943,0.7,2.9,8.8,8.9,4.6
1944,3.2,5.5,7.9,8.7,5.3
1945,1.4,3.5,8.7,9.9,3
1946,2.8,4.3,7.3,9.8,3.4
1947,1.6,3.6,8.6,7.9,3.9
1948,3.6,7,7.4,8.9,3.8
1949,3.2,3.1,7.1,9.3,4.4
1950,0.2,6.2,7.8,8.3,4.6
1951,2.1,3.2,8.2,7.9,2.4
1952,2,4,6.9,9.2,4.7
1953,1.8,3.8,6.2,8.7,3
1954,1.1,2.6,7.2,8.5,4.1
1955,-0.5,5.2,7.7,8.8,3.7
1956,2.2,3.7,9.2,10.4,3.5
1957,3.9,4.4,6.9,7.4,5.2
1958,4,6.2,9.1,10.8,3.7
1959,0.2,3.4,8,6.8,2.7
1960,-0.1,3.6,9.9,9,3.8
1961,2.2,7.4,8.6,11,1.4
1962,0.4,4.1,6.7,8,3.8
1963,1,4.1,6.7,9.6,7.1
1964,0.7,4.1,7.8,7.5,1.6
1965,0.6,3.8,8.5,10.9,0.2
1966,1.8,3,6.6,8.2,5.5
1967,0.4,5.1,7.8,11.7,7.4
1968,1.1,3.2,8,8,3.9
1969,2.4,6.3,6.7,8.6,3.8
1970,1.7,6.6,8.9,10.3,1.9
1971,2.7,4.3,7.5,12,1.9
1972,2.1,4.7,6.5,11.6,-0.1
1973,1.9,4,7.3,8.9,4
1974,-0.2,5.2,6.8,8.9,3.7
1975,1,3.8,9.9,7,4.5
1976,2.2,2.4,6.8,9.2,5.2
1977,1.1,5.3,6.7,8.9,2.4
1978,0.9,5.8,8.8,8.5,3.5
1979,0.2,4.6,8.6,10.4,5
1980,3.1,4.9,7.7,7.2,3
1981,2.4,2.8,6.8,11.4,3.8
1982,0.3,6.3,6.8,8,3.9
1983,2.7,4.5,6.6,10.6,1.4
1984,-0.4,4,8.4,9.5,0.5
1985,2.6,3.7,9.6,7.7,0.1
1986,1.9,5.3,5.4,10.2,1.7
1987,2.8,6.8,8,7.5,6
1988,2.6,5.7,7.3,9,3.4
1989,1.7,5.6,8.3,8.5,4
1990,1.6,4.3,8.5,10.8,6.1
1991,1.5,4,7.3,11.1,4.4
1992,1.4,6.8,6.7,8.6,2.1
1993,4.9,4.7,6.3,8.6,4
1994,2.5,4.5,9.6,9.9,6
1995,2.1,5.4,7.7,8.1,3.9
1996,-0.5,3.7,8.1,10.1,2.8
1997,1.9,4.4,6.8,9.6,4.9
1998,5,4.9,10.2,11.2,5.8
1999,0.5,3.6,5.5,10.6,3.2
2000,-0.3,3.5,7.4,8.5,2.9
2001,1.9,3.5,7.7,10.4,4.9
2002,-0.4,5.2,8.2,8.5,3
2003,0.4,5,9,11,4.1
2004,0.4,5.3,8.9,9.8,2.3
2005,2.3,3.4,6.8,7.9,1.6
2006,2.3,5.7,9.3,8.3,4.8
2007,1.4,4.5,10.2,7.9,2.6
2008,1.6,3.7,6.9,9.1,3
2009,0.4,3.7,7.9,9.3,6.2
2010,-0.6,3.9,7.5,8.8,2.4
2011,1.1,3.9,6.7,9.2,5.3
2012,0.5,3.8,8.7,10.2,4.9
2013,1.9,4.5,7.9,10.5,5.8
2014,1,4.1,9.5,10.1,3.6
2015,1.9,6.3,8.3,9.6,2.6
