Year,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Tave_wt,Tave_sp,Tave_sm,Tave_at
1900,-11.66666667,-5.1,6.533333333,-3.3,310.3333333,260.3333333,215,280.3333333,-11.66666667,-5.1,6.533333333,-3.3
1901,-11.7,-4,6.3,-2.8,338,271,245,276,-11.7,-4,6.3,-2.8
1902,-11.4,-5.1,5.9,-3.1,327,229,180,296,-11.4,-5.1,5.9,-3.1
1903,-11.9,-6.2,7.4,-4,266,281,220,269,-11.9,-6.2,7.4,-4
1904,-11.5,-4.6,6.5,-1.4,392,238,173,207,-11.5,-4.6,6.5,-1.4
1905,-12.3,-2.6,7.1,-3.8,235,192,226,239,-12.3,-2.6,7.1,-3.8
1906,-9.6,-3.4,7.7,-3.6,199,115,179,288,-9.6,-3.4,7.7,-3.6
1907,-15.6,-5.6,5.8,-1.8,439,335,312,308,-15.6,-5.6,5.8,-1.8
1908,-11.3,-4.3,7,-2.2,346,361,140,267,-11.3,-4.3,7,-2.2
1909,-14.7,-5.1,6.4,-2.8,366,212,222,400,-14.7,-5.1,6.4,-2.8
1910,-15.5,-2.3,5.8,-2.8,402,359,193,372,-15.5,-2.3,5.8,-2.8
1911,-14.7,-4.7,5.3,-5.6,479,189,208,236,-14.7,-4.7,5.3,-5.6
1912,-13.2,-4.2,6.3,-3.6,219,138,317,198,-13.2,-4.2,6.3,-3.6
1913,-14,-5.5,6.3,-3.5,393,152,267,340,-14,-5.5,6.3,-3.5
1914,-11.7,-3.4,6.7,-2.1,337,253,157,324,-11.7,-3.4,6.7,-2.1
1915,-12.2,-1.2,6.6,-3.3,190,137,353,213,-12.2,-1.2,6.6,-3.3
1916,-16.1,-4.6,5.4,-3.2,223,240,197,185,-16.1,-4.6,5.4,-3.2
1917,-15.9,-5.2,6.6,-1.1,304,214,172,211,-15.9,-5.2,6.6,-1.1
1918,-13.8,-3.5,7,-0.9,691,194,205,189,-13.8,-3.5,7,-0.9
1919,-11.3,-4.9,6.7,-5.5,473,112,148,237,-11.3,-4.9,6.7,-5.5
1920,-12.5,-5.9,7.3,-2.7,525,253,141,267,-12.5,-5.9,7.3,-2.7
1921,-11,-4.3,6.5,-3.6,517,221,212,345,-11,-4.3,6.5,-3.6
1922,-16.3,-4.4,7.5,-1.8,213,156,107,282,-16.3,-4.4,7.5,-1.8
1923,-14,-3.9,7.4,-1.3,287,160,368,113,-14,-3.9,7.4,-1.3
1924,-10.1,-3.8,7.6,-2.2,390,165,237,301,-10.1,-3.8,7.6,-2.2
1925,-14.6,-2.8,7.4,-3.2,514,202,234,238,-14.6,-2.8,7.4,-3.2
1926,-6.3,-1.8,6.8,-4.1,254,164,156,345,-6.3,-1.8,6.8,-4.1
1927,-13,-5.3,7.2,-4.5,291,210,277,377,-13,-5.3,7.2,-4.5
1928,-14.5,-3.4,7.2,-3,236,252,171,138,-14.5,-3.4,7.2,-3
1929,-15.4,-3.5,7,-1.9,298,255,159,283,-15.4,-3.5,7,-1.9
1930,-15.5,-3.3,8.2,-2,517,271,114,240,-15.5,-3.3,8.2,-2
1931,-6.2,-2.9,6.6,-4.5,185,300,195,272,-6.2,-2.9,6.6,-4.5
1932,-13.1,-4.1,6.9,-3.1,453,228,167,340,-13.1,-4.1,6.9,-3.1
1933,-13.2,-5.1,6.6,-2.5,271,276,157,428,-13.2,-5.1,6.6,-2.5
1934,-12.3,-1.7,6.7,-1.9,596,185,161,345,-12.3,-1.7,6.7,-1.9
1935,-11.9,-6.4,5.9,-3.5,509,217,286,295,-11.9,-6.4,5.9,-3.5
1936,-14.2,-3,7.9,-2.1,371,246,172,147,-14.2,-3,7.9,-2.1
1937,-17.1,-2.8,6.8,-1.9,473,125,250,350,-17.1,-2.8,6.8,-1.9
1938,-11.8,-2.7,7.7,-1.1,346,150,283,199,-11.8,-2.7,7.7,-1.1
1939,-11.5,-3.2,7,-1.7,416,240,182,353,-11.5,-3.2,7,-1.7
1940,-10.3,-2,7.1,-3,267,254,160,345,-10.3,-2,7.1,-3
1941,-9.1,-1.3,8.2,-2.9,342,199,151,274,-9.1,-1.3,8.2,-2.9
1942,-11,-3.6,6.9,-3.1,243,226,194,243,-11,-3.6,6.9,-3.1
1943,-13.5,-4.1,6.9,-1.2,303,290,177,188,-13.5,-4.1,6.9,-1.2
1944,-9.4,-2.7,7.4,-0.5,281,248,274,215,-9.4,-2.7,7.4,-0.5
1945,-11.5,-4.4,7.3,-3.6,328,207,186,423,-11.5,-4.4,7.3,-3.6
1946,-10.2,-1.9,7.2,-4.3,373,338,168,301,-10.2,-1.9,7.2,-4.3
1947,-12.2,-2.8,6.7,-2.6,425,147,272,312,-12.2,-2.8,6.7,-2.6
1948,-10.9,-4.7,7.8,-2.6,568,257,229,262,-10.9,-4.7,7.8,-2.6
1949,-17.9,-2,6.5,-1.7,446,105,188,213,-17.9,-2,6.5,-1.7
1950,-17.3,-5.1,7.4,-4.2,512,195,194,296,-17.3,-5.1,7.4,-4.2
1951,-13.3,-5.1,6.5,-4.1,473,289,160,206,-13.3,-5.1,6.5,-4.1
1952,-14.1,-2.9,6.7,-1.4,292,192,229,85,-14.1,-2.9,6.7,-1.4
1953,-9,-3.7,6.2,-1.2,491,198,224,212,-9,-3.7,6.2,-1.2
1954,-10.9,-5.9,6.1,-0.9,534,295,273,173,-10.9,-5.9,6.1,-0.9
1955,-10.7,-6.1,7.2,-5.5,223,223,161,335,-10.7,-6.1,7.2,-5.5
1956,-16.1,-3.8,7.8,-2.5,618,262,154,249,-16.1,-3.8,7.8,-2.5
1957,-16.1,-2.7,6.2,-1.9,674,120,204,249,-16.1,-2.7,6.2,-1.9
1958,-8.5,-2.9,8.7,-3,427,223,190,336,-8.5,-2.9,8.7,-3
1959,-13,-3.5,6,-4.2,444,310,237,381,-13,-3.5,6,-4.2
1960,-11.5,-4.2,7.5,-2.1,292,255,201,279,-11.5,-4.2,7.5,-2.1
1961,-9.2,-3.1,9,-4.6,401,230,207,316,-9.2,-3.1,9,-4.6
1962,-13.5,-4.2,6.3,-1.2,416,271,191,238,-13.5,-4.2,6.3,-1.2
1963,-10.4,-2.7,6.8,-1.1,458,235,194,314,-10.4,-2.7,6.8,-1.1
1964,-9.5,-4.8,6.4,-3.6,321,175,199,366,-9.5,-4.8,6.4,-3.6
1965,-14.6,-4.8,7.8,-3.6,553,154,225,297,-14.6,-4.8,7.8,-3.6
1966,-13.1,-4.1,5.9,-2.5,490,293,230,301,-13.1,-4.1,5.9,-2.5
1967,-9.8,-5.3,8.2,-0.9,547,248,141,228,-9.8,-5.3,8.2,-0.9
1968,-11.1,-2.9,6.4,-2.4,393,326,211,206,-11.1,-2.9,6.4,-2.4
1969,-18.1,-2.1,7.2,-2,429,288,252,260,-18.1,-2.1,7.2,-2
1970,-11.4,-3.6,8.6,-4.6,271,177,169,284,-11.4,-3.6,8.6,-4.6
1971,-13.8,-3.5,7.9,-3.3,547,270,226,243,-13.8,-3.5,7.9,-3.3
1972,-17.3,-3.7,7.6,-4,750,331,278,244,-17.3,-3.7,7.6,-4
1973,-12.8,-2.8,6.7,-4.4,277,192,143,406,-12.8,-2.8,6.7,-4.4
1974,-11.2,-4.5,7,-1.6,505,242,124,201,-11.2,-4.5,7,-1.6
1975,-12.6,-5.6,6.9,-2.4,343,110,248,270,-12.6,-5.6,6.9,-2.4
1976,-10.6,-3.8,6.2,-1.6,382,162,312,195,-10.6,-3.8,6.2,-1.6
1977,-7.7,-2.7,7,-3.7,179,185,234,264,-7.7,-2.7,7,-3.7
1978,-14.2,-2.8,7.7,-3,292,243,244,350,-14.2,-2.8,7.7,-3
1979,-16.7,-3.7,7.9,-2,360,161,163,148,-16.7,-3.7,7.9,-2
1980,-12.2,-2.3,6.6,-1.7,496,250,282,247,-12.2,-2.3,6.6,-1.7
1981,-9.4,-2.5,7,-1.5,338,204,255,210,-9.4,-2.5,7,-1.5
1982,-15.6,-5.7,7,-3.1,527,245,298,233,-15.6,-5.7,7,-3.1
1983,-8.3,-2.2,7.3,-2.8,336,246,275,260,-8.3,-2.2,7.3,-2.8
1984,-11.4,-3.1,7.3,-5,280,173,203,280,-11.4,-3.1,7.3,-5
1985,-14.3,-3,7,-7.9,262,182,203,332,-14.3,-3,7,-7.9
1986,-9.7,-2.1,7,-3.3,360,312,271,325,-9.7,-2.1,7,-3.3
1987,-7.6,-1.8,7.4,-0.4,204,284,248,128,-7.6,-1.8,7.4,-0.4
1988,-11.1,-1.2,7.3,-1.5,271,284,315,226,-11.1,-1.2,7.3,-1.5
1989,-13.2,-4.2,7.5,-2.1,369,195,248,282,-13.2,-4.2,7.5,-2.1
1990,-9.8,-2.6,7.9,-2.3,319,252,325,230,-9.8,-2.6,7.9,-2.3
1991,-11.5,-3.5,7.4,-3,385,312,246,218,-11.5,-3.5,7.4,-3
1992,-7,-1.5,7.4,-2.6,224,210,210,305,-7,-1.5,7.4,-2.6
1993,-14.6,-1.4,6.5,-2.5,168,273,379,184,-14.6,-1.4,6.5,-2.5
1994,-11,-1.2,8,-1.8,364,252,262,244,-11,-1.2,8,-1.8
1995,-11,-3,7.1,-2.8,254,150,270,362,-11,-3,7.1,-2.8
1996,-13.4,-4.7,7.3,-4.7,349,253,212,586,-13.4,-4.7,7.3,-4.7
1997,-13.7,-4,7,-1.7,331,379,273,341,-13.7,-4,7,-1.7
1998,-9.2,-1.4,8.8,-1,246,286,240,372,-9.2,-1.4,8.8,-1
1999,-9.7,-3.2,6.6,-2.2,429,257,268,176,-9.7,-3.2,6.6,-2.2
2000,-9.9,-3.5,6.5,-3,279,308,227,202,-9.9,-3.5,6.5,-3
2001,-11.4,-3.2,7.2,-1.7,205,161,285,222,-11.4,-3.2,7.2,-1.7
2002,-10.6,-7,7.3,-2.9,215,319,145,215,-10.6,-7,7.3,-2.9
2003,-9.3,-4.3,8.3,-3.1,255,356,223,351,-9.3,-4.3,8.3,-3.1
2004,-11,-2.5,8,-2.6,212,202,261,241,-11,-2.5,8,-2.6
2005,-10.4,-2,6,-2.8,376,139,365,298,-10.4,-2,6,-2.8
2006,-9.1,-2.9,7.8,-3.7,197,184,212,312,-9.1,-2.9,7.8,-3.7
2007,-10,-2.8,7.5,-2.8,293,360,189,258,-10,-2.8,7.5,-2.8
2008,-12.3,-4.3,6.5,-1.7,308,194,215,218,-12.3,-4.3,6.5,-1.7
2009,-13.3,-4.9,7,-2.1,353,212,237,143,-13.3,-4.9,7,-2.1
2010,-11.2,-2.6,6.7,-3.1,145,209,191,187,-11.2,-2.6,6.7,-3.1
2011,-13.4,-5.1,6.6,-2.4,301,290,209,183,-13.4,-5.1,6.6,-2.4
2012,-10,-3.4,7.5,-3.2,166,365,253,203,-10,-3.4,7.5,-3.2
2013,-10.2,-4,7.6,-2.5,210,286,251,232,-10.2,-4,7.6,-2.5
2014,-12.4,-4.9,7.9,-2.6,261,328,199,360,-12.4,-4.9,7.9,-2.6
2015,-8.7,-1.6,8.1,-2.7,274,150,205,326,-8.7,-1.6,8.1,-2.7
