Year,Tave05,Tave06,Tave07,Tave08,Tave09
1900,3.733333333,6.966666667,10.1,10.03333333,4.633333333
1901,5.2,5,10.7,11.4,3.7
1902,3.8,5.8,10,9.8,5.8
1903,2.2,10.1,9.6,8.9,4.4
1904,3.4,7.6,12.2,9.7,7
1905,2.7,6.8,12,11.6,7.4
1906,2.2,7.7,13.9,10.9,7.3
1907,1.5,7.3,11.1,8.4,4.8
1908,3.7,7.4,12.9,10.4,7.9
1909,1.9,8.4,11.5,10.3,8.8
1910,4.3,8.7,12.7,8.6,5.8
1911,2.1,9.2,10.2,8.3,4.9
1912,4.3,10.6,9.1,9.8,4.1
1913,2.5,9.4,10.7,11.2,7.8
1914,3.7,8.1,13.8,10.7,6.4
1915,3.4,6.3,9.6,12.9,4.6
1916,1.3,7.6,11.1,10,5.9
1917,2.7,7.3,13.3,10.3,7.3
1918,2.1,10,11.7,10.4,8.1
1919,4,9.2,12.7,11.8,6.4
1920,1.3,7.1,13.2,11.6,6.5
1921,3.5,9.7,11.8,11,3.8
1922,3.9,10.1,11.4,11.9,8.8
1923,3.8,8.4,11.9,10,7.3
1924,5.1,6.4,12,9.2,7.2
1925,5,9.2,12.7,10,4.7
1926,5,8.2,13.7,9.3,1.3
1927,0.9,8.1,10.5,9.8,5.4
1928,6.5,6.9,12,9.4,7.1
1929,3.1,8.4,12.5,12.8,4.9
1930,2.9,8.2,12.4,12.2,7.5
1931,5.6,10,13,12.4,7.9
1932,4.4,9.9,12.3,11.3,8.1
1933,3.7,10,12.5,11.7,5.6
1934,7.4,8.2,12.4,11.7,4.9
1935,3.1,8.1,12.4,10.4,8.2
1936,7.9,10,14.4,11.8,6.9
1937,4.6,8.5,12.9,10.1,8.1
1938,3.3,9.3,13.3,10.5,11.4
1939,5.8,5.9,13.7,12.3,7.7
1940,6,9.6,12.7,12.1,9.2
1941,4.2,9.7,14.4,11.2,3.9
1942,2.7,7,12.6,11.4,7.7
1943,2.1,6.2,13.1,11.7,8.7
1944,5.5,8.2,12.3,10.8,8.5
1945,2.9,6.8,12.9,12.1,5.5
1946,2.8,6.9,12.2,10.6,6.2
1947,4.3,7.2,13.6,10.1,6.3
1948,3.8,9.2,11,10.7,7.5
1949,5.5,7.7,11.7,12.1,7.7
1950,2.3,8.4,12.2,10.4,8
1951,3.7,6.1,12.2,8.8,5.1
1952,4.1,7.3,11,10.3,8.2
1953,3.1,7.3,12.3,11.9,8
1954,3.3,7,12.1,10.1,6.5
1955,1.2,9,11.8,11.5,6.5
1956,4.8,9,12.8,11.6,7.3
1957,5.6,8.4,12.1,9,8.6
1958,7.8,9.1,12.1,13.7,7.3
1959,1.7,8.6,13,9.2,5.3
1960,3,8.9,14.9,11.2,8
1961,4.5,12.4,12.8,13.9,4.1
1962,2.9,8.9,11.2,10.7,7.4
1963,3.3,8.8,11.6,12.1,11
1964,3.3,8.5,12.9,10.1,4.6
1965,2.7,7.3,12.7,12.1,1.5
1966,4.8,7,11.6,10.1,9.6
1967,2,7.6,12.7,13.4,11.6
1968,2.5,7.4,11.6,9.6,7.2
1969,4.4,8.4,10.7,11.8,7.5
1970,4.2,11.1,13.8,12.9,5.6
1971,4.7,8,12.1,15.2,5.4
1972,4.1,9.1,10,12.9,3.1
1973,4.8,8.6,12.9,11.9,7.7
1974,1.7,10.3,12.1,9.4,6.9
1975,2.9,7.5,14.3,9.2,8.2
1976,5.2,6.4,12.2,11.2,9.5
1977,3.7,10.4,11.6,9.2,5.5
1978,2.6,9.3,12,10.1,7.6
1979,2.6,9.1,12.4,11.7,9.4
1980,5.5,8.2,12,8.4,7
1981,3.8,6.7,10.9,13.3,8.4
1982,2.9,9.2,11.7,10.7,7.3
1983,4.2,8.3,11.3,13.9,5.6
1984,2.6,8.3,13.1,12.8,4.1
1985,5.9,8.1,14.4,10,2.9
1986,5,10.6,10.4,12.4,3.6
1987,5.9,11.4,11.7,8.8,9.6
1988,5.8,11.3,12.7,11.7,7.6
1989,3.2,9.2,13,10.6,7.7
1990,2.9,8.1,12,12.5,10.3
1991,3.6,7.6,12.1,13.7,7.9
1992,4.4,10,9.7,9.8,5.9
1993,6,7.3,8.8,9.2,6.4
1994,5.2,8.6,14,12.1,9.6
1995,4.5,9.2,11.5,9.6,8.1
1996,1,8.5,12.5,12.7,5.6
1997,3.9,8.7,11.9,11.9,9.3
1998,6.3,7.7,14,13.7,10.1
1999,2.7,7.1,10.1,12.3,6.7
2000,2.6,7.2,11.8,10.8,6.1
2001,4.8,7.6,12.2,13,8.6
2002,1.2,8.1,12.5,8.9,6.2
2003,2.3,8.5,13.2,13,6.8
2004,1.8,7.6,12.2,11.1,5.5
2005,3.7,6.6,11.6,9.9,5.3
2006,4.5,9.5,14.2,10.5,8
2007,4.1,8.6,15.6,10.4,6.4
2008,3.5,7.3,11.3,11.2,6.3
2009,2.9,7.2,11.8,10.8,10
2010,1,7.4,11,10,5.9
2011,2.7,7.2,11.2,11.5,8.9
2012,2.3,7.3,13,11.8,8.2
2013,3.8,7.9,12.7,12.1,9
2014,3.1,7.4,13.7,11.7,7.1
2015,3.5,10.6,12.3,11.2,6.2
