Year,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Tave_wt,Tave_sp,Tave_sm,Tave_at
1900,-9.833333333,-2.1,9.033333333,0.066666667,253,271,337,136.6666667,-9.833333333,-2.1,9.033333333,0.066666667
1901,-9.7,-0.4,9,1.1,333,340,302,164,-9.7,-0.4,9,1.1
1902,-9,-1.7,8.6,-0.3,308,289,439,135,-9,-1.7,8.6,-0.3
1903,-10.8,-4.2,9.5,-0.6,118,184,270,111,-10.8,-4.2,9.5,-0.6
1904,-11.7,-2.9,9.8,2.8,100,195,173,147,-11.7,-2.9,9.8,2.8
1905,-11.4,0,10.1,0.6,218,318,201,147,-11.4,0,10.1,0.6
1906,-7.9,-1.3,10.9,1.1,104,315,195,117,-7.9,-1.3,10.9,1.1
1907,-14.5,-3.2,8.9,2.1,185,173,270,86,-14.5,-3.2,8.9,2.1
1908,-8.1,-1.8,10.2,1.2,94,287,266,71,-8.1,-1.8,10.2,1.2
1909,-13.5,-3,10.1,0,150,234,131,86,-13.5,-3,10.1,0
1910,-12.9,2.5,10,0.8,187,184,104,160,-12.9,2.5,10,0.8
1911,-12,-1,9.2,-2.1,200,300,274,202,-12,-1,9.2,-2.1
1912,-9.3,-1.7,9.8,-0.7,129,176,280,240,-9.3,-1.7,9.8,-0.7
1913,-11.6,-2.7,10.4,0.7,156,187,282,155,-11.6,-2.7,10.4,0.7
1914,-10.6,-0.8,10.9,0.9,135,297,174,228,-10.6,-0.8,10.9,0.9
1915,-10.6,1.1,9.6,-0.1,157,346,381,195,-10.6,1.1,9.6,-0.1
1916,-15.5,-1.3,9.6,-0.7,219,357,279,239,-15.5,-1.3,9.6,-0.7
1917,-14.5,-3.4,10.3,2.4,123,377,149,107,-14.5,-3.4,10.3,2.4
1918,-13.4,-1.4,10.7,1.6,240,207,164,117,-13.4,-1.4,10.7,1.6
1919,-8.9,-2.3,11.2,-3,170,141,117,232,-8.9,-2.3,11.2,-3
1920,-11.3,-4.3,10.6,0.2,278,311,140,70,-11.3,-4.3,10.6,0.2
1921,-9,-2.2,10.8,-0.9,182,286,116,140,-9,-2.2,10.8,-0.9
1922,-14.3,-2.1,11.1,1.7,118,304,117,83,-14.3,-2.1,11.1,1.7
1923,-12.5,-1.5,10.1,2,173,390,382,101,-12.5,-1.5,10.1,2
1924,-9.6,-1.4,9.2,0.1,186,224,262,183,-9.6,-1.4,9.2,0.1
1925,-12.2,-0.1,10.6,-1.4,222,184,191,206,-12.2,-0.1,10.6,-1.4
1926,-5.2,1,10.4,-1.1,62,151,282,251,-5.2,1,10.4,-1.1
1927,-11.7,-2.5,9.5,-2,175,337,304,315,-11.7,-2.5,9.5,-2
1928,-11.4,-0.2,9.4,0.5,221,207,333,114,-11.4,-0.2,9.4,0.5
1929,-13.6,-1.3,11.2,0.3,191,382,188,227,-13.6,-1.3,11.2,0.3
1930,-12.6,-0.4,10.9,0.4,300,347,166,169,-12.6,-0.4,10.9,0.4
1931,-3.9,0.3,11.8,1.1,51,264,112,151,-3.9,0.3,11.8,1.1
1932,-10.2,-1.7,11.2,0.6,207,362,308,128,-10.2,-1.7,11.2,0.6
1933,-11.1,-1.4,11.4,1.1,198,345,156,215,-11.1,-1.4,11.4,1.1
1934,-9,2.2,10.8,1.9,245,205,223,195,-9,2.2,10.8,1.9
1935,-9.6,-3.5,10.3,0.2,230,248,170,195,-9.6,-3.5,10.3,0.2
1936,-13.2,0.2,12.1,2.3,158,184,110,150,-13.2,0.2,12.1,2.3
1937,-15.8,-0.3,10.5,0.9,183,177,241,209,-15.8,-0.3,10.5,0.9
1938,-12,-0.9,11,2.6,164,284,149,202,-12,-0.9,11,2.6
1939,-10.3,0.4,10.6,2.5,129,147,295,203,-10.3,0.4,10.6,2.5
1940,-9.9,-0.1,11.5,0.2,128,261,150,248,-9.9,-0.1,11.5,0.2
1941,-8.4,0.3,11.7,0.6,80,182,247,143,-8.4,0.3,11.7,0.6
1942,-9.6,-0.2,10.3,0.5,151,367,444,229,-9.6,-0.2,10.3,0.5
1943,-11.7,-2.2,10.3,3.1,146,222,160,117,-11.7,-2.2,10.3,3.1
1944,-7.6,-0.5,10.4,2.6,101,191,228,67,-7.6,-0.5,10.4,2.6
1945,-9.2,-2.2,10.6,-0.9,138,416,280,224,-9.2,-2.2,10.6,-0.9
1946,-9,0.2,9.9,-2.4,162,214,262,311,-9,0.2,9.9,-2.4
1947,-11.6,-1.5,10.3,-0.1,263,213,283,281,-11.6,-1.5,10.3,-0.1
1948,-10.1,-3.6,10.3,1.4,225,389,245,29,-10.1,-3.6,10.3,1.4
1949,-16.4,0.5,10.5,2.3,281,214,129,183,-16.4,0.5,10.5,2.3
1950,-16.5,-2.8,10.3,-0.7,354,256,163,203,-16.5,-2.8,10.3,-0.7
1951,-12.2,-3.5,9,-1.4,217,364,374,256,-12.2,-3.5,9,-1.4
1952,-13.6,-0.9,9.5,1.9,230,204,292,69,-13.6,-0.9,9.5,1.9
1953,-8.2,-2.1,10.5,3.3,302,461,270,91,-8.2,-2.1,10.5,3.3
1954,-10.4,-4,9.8,2.3,261,431,253,128,-10.4,-4,9.8,2.3
1955,-9.3,-4.3,10.8,-2.2,137,304,161,139,-9.3,-4.3,10.8,-2.2
1956,-14.1,-1.5,11.1,1.2,176,200,251,121,-14.1,-1.5,11.1,1.2
1957,-13.6,-0.7,9.8,0.4,240,231,196,228,-13.6,-0.7,9.8,0.4
1958,-7.2,-0.8,11.6,1,126,318,320,122,-7.2,-0.8,11.6,1
1959,-12,-1.3,10.2,-1.4,214,299,190,228,-12,-1.3,10.2,-1.4
1960,-10,-1.9,11.7,1.4,168,218,120,87,-10,-1.9,11.7,1.4
1961,-7.1,-0.5,13,-1.5,175,313,178,280,-7.1,-0.5,13,-1.5
1962,-12.1,-1.6,10.3,2.6,180,210,136,115,-12.1,-1.6,10.3,2.6
1963,-8.9,-0.2,10.8,2.9,207,196,402,127,-8.9,-0.2,10.8,2.9
1964,-8.3,-2.5,10.5,0.1,115,351,151,130,-8.3,-2.5,10.5,0.1
1965,-13.8,-3,10.7,-0.6,263,228,332,192,-13.8,-3,10.7,-0.6
1966,-12.6,-0.6,9.6,0.3,139,258,281,205,-12.6,-0.6,9.6,0.3
1967,-8.9,-4.6,11.2,2.7,155,501,139,126,-8.9,-4.6,11.2,2.7
1968,-9.8,-0.6,9.5,0.8,273,349,262,217,-9.8,-0.6,9.5,0.8
1969,-18.3,-0.1,10.3,1.1,325,270,316,142,-18.3,-0.1,10.3,1.1
1970,-9.3,-2,12.6,-1.1,185,392,204,162,-9.3,-2,12.6,-1.1
1971,-12.1,-1.1,11.8,-0.1,308,283,179,155,-12.1,-1.1,11.8,-0.1
1972,-15.7,-1,10.7,-1.1,384,376,209,149,-15.7,-1,10.7,-1.1
1973,-11.3,0,11.1,-1.3,205,255,207,144,-11.3,0,11.1,-1.3
1974,-9.6,-1.7,10.6,2,248,429,214,172,-9.6,-1.7,10.6,2
1975,-11.2,-3.7,10.3,0.3,209,325,282,138,-11.2,-3.7,10.3,0.3
1976,-8.5,-0.3,9.9,1.9,267,203,305,127,-8.5,-0.3,9.9,1.9
1977,-6.9,0,10.4,-0.7,146,190,216,114,-6.9,0,10.4,-0.7
1978,-14.4,-0.9,10.5,0,264,419,263,234,-14.4,-0.9,10.5,0
1979,-15.7,-1.3,11.1,1.6,194,275,186,113,-15.7,-1.3,11.1,1.6
1980,-10.6,0.3,9.6,1.9,247,310,288,197,-10.6,0.3,9.6,1.9
1981,-8,0.7,10.3,2.1,193,336,254,96,-8,0.7,10.3,2.1
1982,-14.4,-3,10.5,-0.2,173,298,184,167,-14.4,-3,10.5,-0.2
1983,-6.8,-0.7,11.2,0.6,158,296,187,116,-6.8,-0.7,11.2,0.6
1984,-10.3,-0.8,11.4,-2,201,261,147,241,-10.3,-0.8,11.4,-2
1985,-12.9,0.6,10.8,-4.6,154,271,176,355,-12.9,0.6,10.8,-4.6
1986,-8.1,1.4,11.1,-0.8,177,279,236,297,-8.1,1.4,11.1,-0.8
1987,-6.1,1.4,10.6,3.5,71,222,292,96,-6.1,1.4,10.6,3.5
1988,-9.2,1.4,11.9,2,108,237,201,117,-9.2,1.4,11.9,2
1989,-11.5,-1.9,10.9,0.9,267,260,236,163,-11.5,-1.9,10.9,0.9
1990,-9.1,-0.4,10.8,1,205,360,221,153,-9.1,-0.4,10.8,1
1991,-10,-1.1,11.1,0,191,297,218,124,-10,-1.1,11.1,0
1992,-4.9,1.8,9.9,0.3,84,278,312,229,-4.9,1.8,9.9,0.3
1993,-13.8,0.8,8.4,-0.1,177,284,385,127,-13.8,0.8,8.4,-0.1
1994,-10.2,1.6,11.6,0.8,130,234,194,180,-10.2,1.6,11.6,0.8
1995,-9.1,-0.9,10.1,0.5,97,310,287,219,-9.1,-0.9,10.1,0.5
1996,-13.1,-2.5,11.2,-2,270,387,155,287,-13.1,-2.5,11.2,-2
1997,-12,-1.7,10.8,1.5,254,355,266,142,-12,-1.7,10.8,1.5
1998,-8.6,0.4,11.8,2.3,142,446,308,148,-8.6,0.4,11.8,2.3
1999,-8.6,-0.5,9.8,1.8,176,355,321,106,-8.6,-0.5,9.8,1.8
2000,-8.8,-0.9,10,-0.6,175,243,231,101,-8.8,-0.9,10,-0.6
2001,-12,-1,10.9,1.5,114,221,213,151,-12,-1,10.9,1.5
2002,-10.2,-5.5,9.8,-0.1,153,280,180,144,-10.2,-5.5,9.8,-0.1
2003,-9,-2,11.6,-0.7,173,429,200,180,-9,-2,11.6,-0.7
2004,-10.1,-0.2,10.3,-0.1,130,299,308,182,-10.1,-0.2,10.3,-0.1
2005,-9.4,-0.2,9.4,0.3,166,150,368,226,-9.4,-0.2,9.4,0.3
2006,-8.5,-0.6,11.4,-0.3,156,265,259,217,-8.5,-0.6,11.4,-0.3
2007,-9.3,0.2,11.5,0.3,160,407,244,142,-9.3,0.2,11.5,0.3
2008,-10.5,-1.9,9.9,1.3,162,325,236,141,-10.5,-1.9,9.9,1.3
2009,-11.5,-2.2,9.9,0.8,247,237,233,128,-11.5,-2.2,9.9,0.8
