Year,Tave05,Tave06,Tave07,Tave08,Tave09
1900,2.166666667,5.066666667,7.6,7.9,2.666666667
1901,3.5,3.2,8.2,9.2,1.9
1902,2.3,3.8,7.6,7.6,3.7
1903,0.7,8.2,7,6.9,2.4
1904,1.8,5.5,9.8,7.8,5.3
1905,1.2,4.9,9.6,9.2,5.4
1906,1,5.8,11.7,8.8,5.5
1907,0.3,5.5,8.6,6.2,3.5
1908,2.2,5.6,10.3,8.3,5.8
1909,0.6,6.3,8.8,7.8,6.6
1910,2.9,6.3,9.8,6.2,3.9
1911,0.7,7,7.8,6.2,3.2
1912,2.7,8.3,6.6,7.2,2.2
1913,1,7.3,8.2,8.9,5.3
1914,2.2,6.1,10.9,8.6,4.4
1915,2.2,4.7,7.1,10.7,3.1
1916,-0.2,5.8,8.5,7.9,4.2
1917,1.3,5,10.6,8.2,5.2
1918,0.6,8,9.3,8,6.5
1919,2.3,7,9.9,9.4,4.6
1920,-0.2,5,10.9,9.7,4.6
1921,2,7.8,9,8.6,1.9
1922,2.3,8.1,9.1,9.7,6.7
1923,2.3,6.7,9.7,8.1,5.7
1924,3.6,4.6,9.7,7.5,5.4
1925,3.5,7.4,10.2,7.7,3.3
1926,3.2,6.3,11.1,7.2,-0.3
1927,-0.3,6.3,8.3,7.9,3.7
1928,4.6,5.2,9.8,7.4,5.4
1929,1.6,6.5,9.7,10.3,3.4
1930,1.4,6.1,9.7,9.8,5.4
1931,3.5,7.4,9.9,9.6,5.2
1932,2.6,7.6,9.1,8.9,5.6
1933,2.1,7.6,9.5,9,3.6
1934,5.2,6.2,9.7,9.5,2.8
1935,1.4,5.8,9.6,7.9,6.2
1936,5.9,7.7,11.2,9.3,4.8
1937,2.8,6.5,9.9,7.3,6
1938,1.7,7.2,10.6,7.7,9.2
1939,3.9,3.9,10.3,9.8,5.7
1940,4,7.2,10.1,9.8,7.4
1941,2.5,7.7,11.5,8.7,2
1942,1,5,9.6,9,5.6
1943,0.1,4.1,9.7,8.6,6.2
1944,3.5,6.4,9.1,7.9,6.2
1945,1.2,4.9,10,9.5,3.4
1946,1.6,5.1,9.3,8.3,4.4
1947,3,5.3,10.6,7.6,4.7
1948,2.3,7.2,8,8.3,5.5
1949,3.7,5.3,8.8,9.4,5.7
1950,0.6,6.2,9.1,8,5.9
1951,2.1,5,9.4,6.5,3.2
1952,2.5,5.4,8.6,8.1,6.2
1953,1.8,5.3,9.4,9.6,5.6
1954,1.7,4.9,9.2,7.8,4.5
1955,-0.2,7,9.3,9,4.6
1956,3.3,6.8,10.3,9.5,5.4
1957,4.3,6.5,9.3,6.7,6.6
1958,6,7.5,9.7,11.4,5.2
1959,0.4,6.4,10.3,7,3.6
1960,1.4,6.8,12.1,9,5.6
1961,3.1,10.3,10.1,11.4,2.4
1962,1.4,6.8,8.6,8,5.4
1963,1.8,6.8,8.9,9.9,9
1964,1.9,6.8,10.2,7.9,2.8
1965,1.3,5.4,10.3,10.2,0
1966,3.2,5.2,9.2,8,7.9
1967,0.7,6.2,10.2,11.2,9.6
1968,1.3,5.4,9.4,7.6,5.3
1969,3,7.1,8.3,9.7,5.7
1970,2.7,9.2,11.2,10.8,3.5
1971,3.3,6.2,9.7,13.1,3.6
1972,2.8,7,7.7,11,1.4
1973,3,6.5,10.1,9.6,6.1
1974,0.4,8.4,9.5,7.6,5.3
1975,1.6,5.6,11.9,7.1,6.3
1976,3.5,4.4,9.4,9,7.6
1977,2.1,8.4,8.8,7.4,3.6
1978,1.1,7.4,9.8,8.1,5.9
1979,1.2,7.2,10.2,10,7.4
1980,4.1,6.5,9.5,6.3,5.1
1981,2.5,4.7,8.4,11.4,6.6
1982,1.5,7.8,9.1,8.5,5.7
1983,3,6.4,8.7,11.6,3.7
1984,1,6.4,10.5,10.4,2.4
1985,4.2,6.3,12.1,7.8,1.5
1986,3.5,8.7,7.5,10.4,2.2
1987,4.3,9.5,9.3,6.9,7.9
1988,3.9,9,9.8,9.2,5.7
1989,1.9,7.6,10.7,8.3,6
1990,1.7,6.4,9.9,10.6,8.5
1991,2.3,5.7,9.7,11.7,6.2
1992,2.8,8.2,7.5,7.8,3.9
1993,4.7,5.5,6.2,7.2,4.7
1994,3.5,6.4,11.3,10.1,7.8
1995,2.5,6.8,8.9,6.8,6.3
1996,-0.4,6.4,10,10.3,3.9
1997,2.5,6.8,9.3,9.7,7.3
1998,5,6,11.6,11.5,8.2
1999,1.3,5.2,7.4,10,5
2000,0.9,5.2,9.2,8.3,4.1
2001,3.2,5.8,9.7,10.7,6.6
2002,-0.4,6.3,9.9,7,4.3
2003,0.8,6.7,10.5,10.9,5.1
2004,0.5,6.1,9.8,9.3,3.7
2005,2.5,4.8,9,7.7,3.3
2006,3.1,7.8,11.6,8.3,6.2
2007,2.7,6.8,12.9,8.1,4.5
2008,2.1,5.5,8.8,9,4.5
2009,1.5,5.5,9.5,8.8,8.1
2010,-0.4,5.5,8.6,7.9,3.9
2011,1.3,5.6,8.8,9.3,7.1
2012,0.9,5.3,10.4,9.7,6.4
2013,2.4,6.1,10.2,10,7.1
2014,1.6,5.7,11.3,9.6,5.2
2015,2.2,8.6,9.9,9,4.2
