Year,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Tave_wt,Tave_sp,Tave_sm,Tave_at
1900,-11.56666667,-3.966666667,6.866666667,-1.566666667,288.6666667,290.3333333,436.6666667,238.6666667,-11.56666667,-3.966666667,6.866666667,-1.566666667
1901,-11.5,-2.4,6.9,-0.6,337,357,362,225,-11.5,-2.4,6.9,-0.6
1902,-10.7,-3.6,6.3,-1.9,337,289,532,263,-10.7,-3.6,6.3,-1.9
1903,-12.5,-5.9,7.4,-2.2,192,225,416,228,-12.5,-5.9,7.4,-2.2
1904,-12.9,-4.5,7.7,1.3,200,224,229,167,-12.9,-4.5,7.7,1.3
1905,-12.9,-1.7,7.9,-1.2,213,321,260,198,-12.9,-1.7,7.9,-1.2
1906,-9.6,-2.8,8.7,-0.8,130,290,225,164,-9.6,-2.8,8.7,-0.8
1907,-15.8,-4.9,6.7,0.5,245,266,365,186,-15.8,-4.9,6.7,0.5
1908,-10.3,-3.5,8.1,-0.5,154,359,294,151,-10.3,-3.5,8.1,-0.5
1909,-15.2,-4.6,7.6,-1.5,321,239,206,169,-15.2,-4.6,7.6,-1.5
1910,-14.9,0.3,7.4,-0.9,243,221,199,216,-14.9,0.3,7.4,-0.9
1911,-13.7,-2.8,7,-3.6,278,280,335,243,-13.7,-2.8,7,-3.6
1912,-11.7,-3.4,7.4,-2.3,153,169,409,307,-11.7,-3.4,7.4,-2.3
1913,-13.7,-4.6,8.1,-1.2,174,227,346,289,-13.7,-4.6,8.1,-1.2
1914,-12.1,-2.5,8.5,-0.6,171,286,172,337,-12.1,-2.5,8.5,-0.6
1915,-12.4,-0.6,7.5,-1.8,170,326,454,279,-12.4,-0.6,7.5,-1.8
1916,-16.3,-3.2,7.4,-2.3,305,441,335,282,-16.3,-3.2,7.4,-2.3
1917,-15.9,-5.2,8,0.6,114,382,209,102,-15.9,-5.2,8,0.6
1918,-14.8,-3.2,8.5,0,318,253,235,156,-14.8,-3.2,8.5,0
1919,-11.1,-4,8.8,-4.3,284,184,152,229,-11.1,-4,8.8,-4.3
1920,-13.2,-5.8,8.5,-1.4,319,269,171,107,-13.2,-5.8,8.5,-1.4
1921,-10.7,-3.8,8.5,-2.4,263,268,156,222,-10.7,-3.8,8.5,-2.4
1922,-16.5,-3.8,9,-0.1,134,223,156,110,-16.5,-3.8,9,-0.1
1923,-14.1,-3.1,8.1,0.3,158,371,470,175,-14.1,-3.1,8.1,0.3
1924,-11.3,-3,7.2,-1.4,261,193,345,222,-11.3,-3,7.2,-1.4
1925,-13.9,-1.7,8.5,-2.7,309,147,249,267,-13.9,-1.7,8.5,-2.7
1926,-7.2,-0.8,8.2,-2.5,69,123,295,324,-7.2,-0.8,8.2,-2.5
1927,-13.6,-4.1,7.5,-3.3,260,271,343,423,-13.6,-4.1,7.5,-3.3
1928,-13.3,-2,7.5,-1.1,211,197,349,114,-13.3,-2,7.5,-1.1
1929,-15.4,-3.1,8.8,-1.2,194,308,218,263,-15.4,-3.1,8.8,-1.2
1930,-14.6,-2.3,8.6,-1.4,411,363,202,178,-14.6,-2.3,8.6,-1.4
1931,-6.7,-1.8,8.9,-1.2,61,257,192,218,-6.7,-1.8,8.9,-1.2
1932,-12.3,-3.3,8.5,-1.3,257,312,371,190,-12.3,-3.3,8.5,-1.3
1933,-13.1,-3.4,8.7,-0.4,217,278,204,201,-13.1,-3.4,8.7,-0.4
1934,-11,0.2,8.5,0.1,300,222,218,218,-11,0.2,8.5,0.1
1935,-11.6,-5.4,7.7,-1.6,304,247,253,198,-11.6,-5.4,7.7,-1.6
1936,-14.6,-1.8,9.4,0.3,174,192,148,154,-14.6,-1.8,9.4,0.3
1937,-17.5,-2.2,7.9,-0.7,222,204,298,338,-17.5,-2.2,7.9,-0.7
1938,-13.6,-2.6,8.5,0.6,268,275,207,227,-13.6,-2.6,8.5,0.6
1939,-11.9,-1.5,8,0.7,174,140,313,243,-11.9,-1.5,8,0.7
1940,-11.4,-1.7,9,-1.3,147,180,145,294,-11.4,-1.7,9,-1.3
1941,-10,-1.3,9.3,-1.1,86,212,280,153,-10,-1.3,9.3,-1.1
1942,-11.9,-2.3,7.8,-1.4,156,365,475,293,-11.9,-2.3,7.8,-1.4
1943,-13.5,-4.3,7.5,0.7,157,245,214,138,-13.5,-4.3,7.5,0.7
1944,-10,-2.5,7.8,0.7,119,184,315,93,-10,-2.5,7.8,0.7
1945,-11.3,-4.2,8.1,-2.6,157,345,324,262,-11.3,-4.2,8.1,-2.6
1946,-10.7,-1.7,7.5,-3.7,184,249,300,332,-10.7,-1.7,7.5,-3.7
1947,-12.8,-2.9,7.8,-1.7,351,203,335,380,-12.8,-2.9,7.8,-1.7
1948,-11.7,-5.1,7.8,-0.4,337,350,338,53,-11.7,-5.1,7.8,-0.4
1949,-17.9,-1.4,7.8,0.6,295,210,163,198,-17.9,-1.4,7.8,0.6
1950,-17.7,-4.7,7.8,-2.4,480,226,262,272,-17.7,-4.7,7.8,-2.4
1951,-13.8,-5.1,7,-2.9,261,362,523,291,-13.8,-5.1,7,-2.9
1952,-15.1,-2.7,7.4,0,281,198,395,83,-15.1,-2.7,7.4,0
1953,-10.1,-3.8,8.1,1.3,307,376,332,178,-10.1,-3.8,8.1,1.3
1954,-11.6,-5.8,7.3,0.4,374,361,336,195,-11.6,-5.8,7.3,0.4
1955,-11.4,-6,8.4,-3.8,162,347,224,189,-11.4,-6,8.4,-3.8
1956,-15.6,-3,8.9,-0.7,322,212,270,155,-15.6,-3,8.9,-0.7
1957,-15.2,-2.3,7.5,-1.1,341,182,297,301,-15.2,-2.3,7.5,-1.1
1958,-8.7,-2.3,9.6,-0.9,199,266,379,256,-8.7,-2.3,9.6,-0.9
1959,-13.2,-3,7.9,-2.9,222,324,255,309,-13.2,-3,7.9,-2.9
1960,-11.6,-3.3,9.3,-0.6,186,202,188,146,-11.6,-3.3,9.3,-0.6
1961,-9.1,-2.3,10.6,-3.2,293,308,262,366,-9.1,-2.3,10.6,-3.2
1962,-13.6,-3.2,7.8,0.8,270,222,206,198,-13.6,-3.2,7.8,0.8
1963,-10.6,-1.9,8.5,1.1,240,241,437,210,-10.6,-1.9,8.5,1.1
1964,-10.1,-4,8.3,-1.6,181,307,192,166,-10.1,-4,8.3,-1.6
1965,-14.8,-4.4,8.7,-2.1,302,283,430,293,-14.8,-4.4,8.7,-2.1
1966,-13.7,-2.4,7.5,-1,206,303,291,335,-13.7,-2.4,7.5,-1
1967,-10.2,-5.8,9.2,1.1,179,406,169,139,-10.2,-5.8,9.2,1.1
1968,-11.1,-2.3,7.5,-0.9,306,339,305,300,-11.1,-2.3,7.5,-0.9
1969,-19.1,-1.5,8.4,-0.4,420,251,397,206,-19.1,-1.5,8.4,-0.4
1970,-11.2,-3.4,10.4,-2.7,198,314,193,209,-11.2,-3.4,10.4,-2.7
1971,-13.6,-2.9,9.6,-1.7,381,292,239,182,-13.6,-2.9,9.6,-1.7
1972,-16.9,-2.5,8.6,-2.5,473,312,276,221,-16.9,-2.5,8.6,-2.5
1973,-12.9,-1.8,8.8,-2.6,325,300,251,224,-12.9,-1.8,8.8,-2.6
1974,-11.1,-3.2,8.5,0.4,386,441,238,225,-11.1,-3.2,8.5,0.4
1975,-13,-4.9,8.2,-1.2,266,278,302,164,-13,-4.9,8.2,-1.2
1976,-10.3,-2.2,7.6,0.2,371,206,319,193,-10.3,-2.2,7.6,0.2
1977,-8.8,-1.8,8.2,-2.3,178,237,283,191,-8.8,-1.8,8.2,-2.3
1978,-15.4,-2.4,8.4,-1.6,285,340,319,305,-15.4,-2.4,8.4,-1.6
1979,-17,-2.9,9.1,-0.1,234,272,186,147,-17,-2.9,9.1,-0.1
1980,-12,-1.4,7.4,0.2,313,306,351,261,-12,-1.4,7.4,0.2
1981,-9.6,-1.1,8.2,0.7,220,378,341,121,-9.6,-1.1,8.2,0.7
1982,-15.2,-4.4,8.4,-1.6,194,309,227,211,-15.2,-4.4,8.4,-1.6
1983,-8.6,-2,8.9,-0.9,195,282,272,184,-8.6,-2,8.9,-0.9
1984,-11.9,-2.3,9.1,-3.2,205,229,186,256,-11.9,-2.3,9.1,-3.2
1985,-14.4,-1.3,8.7,-6,202,277,252,417,-14.4,-1.3,8.7,-6
1986,-9.8,-0.4,8.9,-2,201,283,305,348,-9.8,-0.4,8.9,-2
1987,-8.2,-0.2,8.6,1.9,110,218,342,117,-8.2,-0.2,8.6,1.9
1988,-11.1,-0.5,9.3,0.4,147,276,257,151,-11.1,-0.5,9.3,0.4
1989,-13.1,-3.3,8.9,-0.5,301,214,268,206,-13.1,-3.3,8.9,-0.5
1990,-10.6,-1.8,9,-0.4,263,362,309,220,-10.6,-1.8,9,-0.4
1991,-11.5,-2.7,9,-1.5,266,346,307,166,-11.5,-2.7,9,-1.5
1992,-6.9,0.1,7.9,-1.2,112,272,370,335,-6.9,0.1,7.9,-1.2
1993,-15.5,-0.9,6.3,-1.6,224,279,420,165,-15.5,-0.9,6.3,-1.6
