Year,Tave05,Tave06,Tave07,Tave08,Tave09
1900,2.766666667,6.133333333,9.266666667,9.066666667,3.5
1901,4.2,4.1,9.9,10.4,2.6
1902,2.9,5,9.2,8.8,4.6
1903,1.2,9.3,8.7,8,3.3
1904,2.4,6.7,11.4,8.8,6
1905,1.7,5.9,11.2,10.6,6.4
1906,1.3,6.8,13.1,10,6.3
1907,0.6,6.4,10.2,7.4,3.8
1908,2.7,6.5,12,9.5,6.8
1909,1,7.4,10.6,9.2,7.6
1910,3.4,7.7,11.8,7.6,4.7
1911,1.1,8.3,9.4,7.4,3.8
1912,3.3,9.7,8.3,8.7,3
1913,1.5,8.5,9.8,10.2,6.6
1914,2.8,7.2,12.9,9.7,5.2
1915,2.5,5.5,8.7,11.9,3.6
1916,0.4,6.7,10.2,9.1,4.8
1917,1.7,6.4,12.5,9.3,6.2
1918,1.1,9.1,10.8,9.4,7
1919,3,8.2,11.8,10.8,5.4
1920,0.3,6.2,12.4,10.7,5.4
1921,2.5,8.8,10.9,10,2.7
1922,2.9,9.2,10.6,10.9,7.7
1923,2.9,7.5,11.1,9,6.3
1924,4.1,5.5,11.2,8.3,6.1
1925,4,8.3,11.9,9,3.7
1926,4,7.3,12.8,8.3,0.3
1927,0,7.2,9.7,8.8,4.3
1928,5.4,6,11.2,8.4,6
1929,2.2,7.5,11.6,11.8,3.9
1930,2,7.3,11.4,11.2,6.3
1931,4.6,9,12.1,11.3,6.7
1932,3.3,8.9,11.3,10.3,6.9
1933,2.7,9,11.6,10.6,4.4
1934,6.3,7.4,11.5,10.7,3.8
1935,2.1,7.1,11.5,9.4,7.1
1936,6.9,9.1,13.3,10.8,5.8
1937,3.6,7.5,12,9,7
1938,2.3,8.3,12.4,9.4,10.2
1939,4.8,5,12.8,11.3,6.6
1940,4.9,8.6,11.9,11.1,8.1
1941,3.2,8.8,13.4,10.1,2.8
1942,1.7,6.1,11.6,10.4,6.6
1943,1,5.2,12.1,10.6,7.5
1944,4.4,7.4,11.3,9.7,7.3
1945,1.9,5.9,12,11.1,4.4
1946,1.8,6,11.2,9.6,5
1947,3.4,6.3,12.7,9.1,5.2
1948,2.8,8.2,10,9.6,6.3
1949,4.4,6.6,10.7,11,6.5
1950,1.3,7.5,11.2,9.4,6.9
1951,2.6,5.3,11.3,7.8,4
1952,3.1,6.4,10.2,9.3,7
1953,2.2,6.4,11.4,11,6.8
1954,2.3,6.1,11.2,9.2,5.4
1955,0.3,8.1,11,10.5,5.5
1956,3.8,8,12,10.6,6.2
1957,4.7,7.5,11.2,8,7.5
1958,6.8,8.2,11.3,12.8,6.1
1959,0.8,7.6,12.1,8.2,4.2
1960,2,8,14,10.2,6.8
1961,3.5,11.4,12,12.9,3
1962,1.9,8,10.3,9.6,6.2
1963,2.3,7.8,10.7,11.1,9.9
1964,2.3,7.6,12,9.1,3.5
1965,1.8,6.4,11.8,11.2,0.5
1966,3.8,6.1,10.8,9.1,8.6
1967,1,6.8,11.9,12.4,10.5
1968,1.6,6.5,10.8,8.7,6.1
1969,3.4,7.6,9.9,10.9,6.5
1970,3.2,10.2,13,12,4.5
1971,3.7,7.2,11.3,14.2,4.4
1972,3.1,8.2,9.2,12,2
1973,3.8,7.7,12,11,6.7
1974,0.8,9.4,11.3,8.5,5.9
1975,1.9,6.6,13.5,8.2,7.1
1976,4.1,5.5,11.3,10.2,8.4
1977,2.7,9.5,10.7,8.4,4.5
1978,1.6,8.5,11.2,9.1,6.6
1979,1.7,8.2,11.6,10.8,8.3
1980,4.6,7.3,11.2,7.5,5.9
1981,2.9,5.7,10.1,12.4,7.3
1982,1.9,8.5,10.8,9.7,6.3
1983,3.3,7.4,10.4,12.9,4.4
1984,1.6,7.4,12.2,11.8,3
1985,4.9,7.2,13.6,9,1.9
1986,4,9.7,9.5,11.5,2.6
1987,4.9,10.5,10.9,7.9,8.6
1988,4.7,10.4,11.8,10.7,6.6
1989,2.3,8.4,12.2,9.6,6.6
1990,1.9,7.2,11.2,11.6,9.3
1991,2.6,6.7,11.2,12.8,6.9
1992,3.4,9.1,8.9,8.9,4.8
1993,5.1,6.4,7.9,8.3,5.4
1994,4.2,7.7,13.1,11.2,8.6
1995,3.5,8.3,10.6,8.5,7.1
1996,0,7.5,11.7,11.6,4.5
1997,3,7.8,11,10.9,8.2
1998,5.3,6.9,13.2,12.8,9.1
1999,1.8,6.2,9.2,11.3,5.7
2000,1.6,6.3,10.9,9.8,5
2001,3.8,6.8,11.3,12,7.5
2002,0.2,7.2,11.7,8,5.2
2003,1.4,7.6,12.4,12.1,5.8
2004,0.9,6.8,11.4,10.2,4.5
2005,2.8,5.7,10.8,8.9,4.2
2006,3.5,8.7,13.4,9.5,7
2007,3.1,7.8,14.7,9.4,5.3
2008,2.5,6.4,10.4,10.3,5.2
2009,2,6.3,11,9.9,8.9
2010,0,6.5,10.2,9.1,4.8
2011,1.7,6.3,10.4,10.5,7.8
2012,1.3,6.4,12.2,10.8,7.1
2013,2.9,7.1,11.9,11.2,7.9
2014,2.1,6.5,12.9,10.8,6
2015,2.6,9.7,11.5,10.3,5.1
