Year,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Tave_wt,Tave_sp,Tave_sm,Tave_at
1900,-10.63333333,-3.066666667,8.166666667,-1.033333333,327.3333333,307,355,166.6666667,-10.63333333,-3.066666667,8.166666667,-1.033333333
1901,-10.5,-1.4,8.1,0,419,382,309,190,-10.5,-1.4,8.1,0
1902,-9.8,-2.7,7.7,-1.4,394,321,456,169,-9.8,-2.7,7.7,-1.4
1903,-11.6,-5.1,8.7,-1.7,169,218,300,141,-11.6,-5.1,8.7,-1.7
1904,-12.4,-3.8,9,1.7,147,227,187,170,-12.4,-3.8,9,1.7
1905,-12.2,-0.9,9.2,-0.6,271,359,204,166,-12.2,-0.9,9.2,-0.6
1906,-8.7,-2.2,10,-0.1,137,355,198,137,-8.7,-2.2,10,-0.1
1907,-15.3,-4.1,8,1,244,191,285,103,-15.3,-4.1,8,1
1908,-9.1,-2.7,9.3,0.1,120,323,267,86,-9.1,-2.7,9.3,0.1
1909,-14.3,-4,9.1,-1.1,223,258,146,106,-14.3,-4,9.1,-1.1
1910,-13.9,1.4,9,-0.4,241,212,119,189,-13.9,1.4,9,-0.4
1911,-12.8,-2,8.3,-3.2,262,337,282,233,-12.8,-2,8.3,-3.2
1912,-10.3,-2.6,8.9,-1.8,161,192,293,285,-10.3,-2.6,8.9,-1.8
1913,-12.5,-3.7,9.5,-0.5,191,206,302,196,-12.5,-3.7,9.5,-0.5
1914,-11.4,-1.7,9.9,-0.2,170,320,164,270,-11.4,-1.7,9.9,-0.2
1915,-11.5,0.2,8.7,-1.3,194,396,389,236,-11.5,0.2,8.7,-1.3
1916,-16.3,-2.3,8.7,-1.8,284,408,286,272,-16.3,-2.3,8.7,-1.8
1917,-15.3,-4.4,9.4,1.2,143,430,159,107,-15.3,-4.4,9.4,1.2
1918,-14.2,-2.3,9.8,0.4,289,241,181,136,-14.2,-2.3,9.8,0.4
1919,-9.8,-3.2,10.3,-4,220,157,118,257,-9.8,-3.2,10.3,-4
1920,-12.2,-5.2,9.8,-0.9,341,314,149,79,-12.2,-5.2,9.8,-0.9
1921,-9.8,-3.1,9.9,-2,225,288,122,162,-9.8,-3.1,9.9,-2
1922,-15.3,-3,10.2,0.5,136,289,122,93,-15.3,-3,10.2,0.5
1923,-13.3,-2.4,9.2,0.8,198,420,401,126,-13.3,-2.4,9.2,0.8
