"","SiteID","TreeName","Species","Maturity","EstYear","StudyArea","Elev","Vline","bins"
"1","FTA","A1_045","ABLA","MAT",1888,"KC",-100,1965,1885
"2","FTA","A1_046","ABLA","MAT",1883,"KC",-100,1965,1880
"3","FTA","A1_047","ABLA","MAT",1879,"KC",-100,1965,1875
"4","FTA","A1_048","ABLA","SAP",1914,"KC",-100,1965,1910
"5","FTA","A1_049","PIEN","MAT",1868,"KC",-100,1965,1865
"6","FTA","A1_050","ABLA","MAT",1890,"KC",-100,1965,1890
"7","FTA","A1_051","ABLA","SAP",1863,"KC",-100,1965,1860
"8","FTA","A1_052","PIEN","MAT",1889,"KC",-100,1965,1885
"9","FTA","A1_053","ABLA","MAT",1762,"KC",-100,1965,1760
"10","FTA","A1_209","ABLA","MAT",1816,"KC",-100,1965,1815
"11","FTA","A1_210","ABLA","SAP",1926,"KC",-100,1965,1925
"12","FTA","A1_211","ABLA","MAT",1886,"KC",-100,1965,1885
"13","FTA","A1_212","ABLA","MAT",1900,"KC",-100,1965,1900
"14","FTA","A1_422","ABLA","SEE",1982,"KC",-100,1965,1980
"15","FTA","A1_423","ABLA","SEE",1991,"KC",-100,1965,1990
"16","FTA","A2_206","LALY","MAT",1808,"KC",-100,1965,1805
"17","FTA","A2_207","ABLA","MAT",1913,"KC",-100,1965,1910
"18","FTA","A2_208","ABLA","MAT",1873,"KC",-100,1965,1870
"19","FTA","A2_213","ABLA","SAP",1980,"KC",-100,1965,1980
"20","FTA","A2_214","ABLA","SAP",1947,"KC",-100,1965,1945
"21","FTA","A2_215","ABLA","SAP",1937,"KC",-100,1965,1935
"22","FTA","A2_248","LALY","SEE",1990,"KC",-100,1965,1990
"23","FTA","A2_249","ABLA","SEE",1977,"KC",-100,1965,1975
"24","FTA","A2_250","ABLA","SEE",1977,"KC",-100,1965,1975
"25","FTA","A2_252","ABLA","SEE",1976,"KC",-100,1965,1975
"26","FTA","A2_253","LALY","SEE",1992,"KC",-100,1965,1990
"27","FTA","A2_254","ABLA","SEE",1978,"KC",-100,1965,1975
"28","FTA","A2_255","LALY","SEE",1992,"KC",-100,1965,1990
"29","FTA","A3_242","ABLA","MAT",1903,"KC",-100,1965,1900
"30","FTA","A3_243","ABLA","MAT",1928,"KC",-100,1965,1925
"31","FTA","A3_244","ABLA","SAP",1954,"KC",-100,1965,1950
"32","FTA","A3_245","LALY","MAT",1863,"KC",-100,1965,1860
"33","FTA","A3_246","ABLA","SAP",1946,"KC",-100,1965,1945
"34","FTA","A3_412","LALY","SEE",1987,"KC",-100,1965,1985
"35","FTA","A3_413","ABLA","SAP",1938,"KC",-100,1965,1935
"36","FTA","A3_414","ABLA","SEE",1967,"KC",-100,1965,1965
"37","FTA","A3_415","LALY","SAP",1972,"KC",-100,1965,1970
"38","FTA","A3_416","LALY","SEE",1984,"KC",-100,1965,1980
"39","FTA","A3_417","ABLA","SEE",1987,"KC",-100,1965,1985
"40","FTA","A3_418","ABLA","SEE",1990,"KC",-100,1965,1990
"41","FTA","A3_419","LALY","SAP",1979,"KC",-100,1965,1975
"42","FTA","A3_420","LALY","SEE",1988,"KC",-100,1965,1985
"43","FTA","B1_133","LALY","MAT",1748,"KC",-50,1965,1745
"44","FTA","B1_134","ABLA","SAP",1946,"KC",-50,1965,1945
"45","FTA","B1_135","ABLA","SAP",1939,"KC",-50,1965,1935
"46","FTA","B1_136","ABLA","MAT",1952,"KC",-50,1965,1950
"47","FTA","B1_140","ABLA","SAP",1897,"KC",-50,1965,1895
"48","FTA","B1_141","ABLA","MAT",1940,"KC",-50,1965,1940
"49","FTA","B1_142","ABLA","MAT",1937,"KC",-50,1965,1935
"50","FTA","B1_143","LALY","MAT",1776,"KC",-50,1965,1775
"51","FTA","B1_144","ABLA","MAT",1931,"KC",-50,1965,1930
"52","FTA","B1_145","ABLA","MAT",1936,"KC",-50,1965,1935
"53","FTA","B1_146","ABLA","MAT",1913,"KC",-50,1965,1910
"54","FTA","B1_424","LALY","SEE",1983,"KC",-50,1965,1980
"55","FTA","B1_425","ABLA","SEE",1972,"KC",-50,1965,1970
"56","FTA","B1_426","ABLA","SEE",1967,"KC",-50,1965,1965
"57","FTA","B1_427","ABLA","SEE",1970,"KC",-50,1965,1970
"58","FTA","B1_428","ABLA","SEE",1977,"KC",-50,1965,1975
"59","FTA","B1_429","ABLA","SEE",1982,"KC",-50,1965,1980
"60","FTA","B2_087","ABLA","SAP",1969,"KC",-50,1965,1965
"61","FTA","B2_088","ABLA","SAP",1963,"KC",-50,1965,1960
"62","FTA","B2_089","LALY","MAT",1940,"KC",-50,1965,1940
"63","FTA","B2_256","LALY","SEE",1996,"KC",-50,1965,1995
"64","FTA","B2_257","LALY","SAP",1978,"KC",-50,1965,1975
"65","FTA","B2_258","LALY","SAP",1977,"KC",-50,1965,1975
"66","FTA","B2_259","ABLA","SEE",1979,"KC",-50,1965,1975
"67","FTA","B2_260","ABLA","SEE",1981,"KC",-50,1965,1980
"68","FTA","B2_261","ABLA","SEE",1981,"KC",-50,1965,1980
"69","FTA","B2_262","LALY","SAP",1979,"KC",-50,1965,1975
