,SiteID,TreeName,Species,Maturity,EstYear,StudyArea,Elev.x,Elev.y
1,FTA,A1_045,ABLA,MAT,1888,KC,-100,2268.9
2,FTA,A1_046,ABLA,MAT,1883,KC,-100,2268.9
3,FTA,A1_047,ABLA,MAT,1879,KC,-100,2268.9
4,FTA,A1_048,ABLA,SAP,1914,KC,-100,2268.9
5,FTA,A1_049,PIEN,MAT,1868,KC,-100,2268.9
6,FTA,A1_050,ABLA,MAT,1890,KC,-100,2268.9
7,FTA,A1_051,ABLA,SAP,1863,KC,-100,2268.9
8,FTA,A1_052,PIEN,MAT,1889,KC,-100,2268.9
9,FTA,A1_053,ABLA,MAT,1762,KC,-100,2268.9
10,FTA,A1_209,ABLA,MAT,1816,KC,-100,2268.9
11,FTA,A1_210,ABLA,SAP,1926,KC,-100,2268.9
12,FTA,A1_211,ABLA,MAT,1886,KC,-100,2268.9
13,FTA,A1_212,ABLA,MAT,1900,KC,-100,2268.9
14,FTA,A1_422,ABLA,SEE,1982,KC,-100,2268.9
15,FTA,A1_423,ABLA,SEE,1991,KC,-100,2268.9
16,FTA,A2_206,LALY,MAT,1808,KC,-100,2268.9
17,FTA,A2_207,ABLA,MAT,1913,KC,-100,2268.9
18,FTA,A2_208,ABLA,MAT,1873,KC,-100,2268.9
19,FTA,A2_213,ABLA,SAP,1980,KC,-100,2268.9
20,FTA,A2_214,ABLA,SAP,1947,KC,-100,2268.9
21,FTA,A2_215,ABLA,SAP,1937,KC,-100,2268.9
22,FTA,A2_248,LALY,SEE,1990,KC,-100,2268.9
23,FTA,A2_249,ABLA,SEE,1977,KC,-100,2268.9
24,FTA,A2_250,ABLA,SEE,1977,KC,-100,2268.9
25,FTA,A2_252,ABLA,SEE,1976,KC,-100,2268.9
26,FTA,A2_253,LALY,SEE,1992,KC,-100,2268.9
27,FTA,A2_254,ABLA,SEE,1978,KC,-100,2268.9
28,FTA,A2_255,LALY,SEE,1992,KC,-100,2268.9
29,FTA,A3_242,ABLA,MAT,1903,KC,-100,2268.9
30,FTA,A3_243,ABLA,MAT,1928,KC,-100,2268.9
31,FTA,A3_244,ABLA,SAP,1954,KC,-100,2268.9
32,FTA,A3_245,LALY,MAT,1863,KC,-100,2268.9
33,FTA,A3_246,ABLA,SAP,1946,KC,-100,2268.9
34,FTA,A3_412,LALY,SEE,1987,KC,-100,2268.9
35,FTA,A3_413,ABLA,SAP,1938,KC,-100,2268.9
36,FTA,A3_414,ABLA,SEE,1967,KC,-100,2268.9
37,FTA,A3_415,LALY,SAP,1972,KC,-100,2268.9
38,FTA,A3_416,LALY,SEE,1984,KC,-100,2268.9
39,FTA,A3_417,ABLA,SEE,1987,KC,-100,2268.9
40,FTA,A3_418,ABLA,SEE,1990,KC,-100,2268.9
41,FTA,A3_419,LALY,SAP,1979,KC,-100,2268.9
42,FTA,A3_420,LALY,SEE,1988,KC,-100,2268.9
43,FTA,B1_133,LALY,MAT,1748,KC,-50,2292.7
44,FTA,B1_134,ABLA,SAP,1946,KC,-50,2292.7
45,FTA,B1_135,ABLA,SAP,1939,KC,-50,2292.7
46,FTA,B1_136,ABLA,MAT,1952,KC,-50,2292.7
47,FTA,B1_140,ABLA,SAP,1897,KC,-50,2292.7
48,FTA,B1_141,ABLA,MAT,1940,KC,-50,2292.7
49,FTA,B1_142,ABLA,MAT,1937,KC,-50,2292.7
50,FTA,B1_143,LALY,MAT,1776,KC,-50,2292.7
51,FTA,B1_144,ABLA,MAT,1931,KC,-50,2292.7
52,FTA,B1_145,ABLA,MAT,1936,KC,-50,2292.7
53,FTA,B1_146,ABLA,MAT,1913,KC,-50,2292.7
54,FTA,B1_424,LALY,SEE,1983,KC,-50,2292.7
55,FTA,B1_425,ABLA,SEE,1972,KC,-50,2292.7
56,FTA,B1_426,ABLA,SEE,1967,KC,-50,2292.7
