Year,Data,ID2,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at
1901,Historical,Regional,51,-116,1500,-6.1,7.3,18.2,6.1,-13.4,-5.1,2.6,-3.5,-9.7,1.1,10.4,1.3,173,173,270,167,-9999,-9999,-9999,-9999,890,212,1,184,4,105,515,85,2483,1560,699,1518,0,2,4,1,1,17,70,23,163,101,18,80,0,136,313,73,0,27,89,12,68,56,53,66
1902,Historical,Regional,51,-116,1500,-5,6.3,17.4,5.5,-12.9,-6,2.4,-4.7,-9,0.1,9.9,0.4,212,142,335,259,-9999,-9999,-9999,-9999,951,264,1,250,3,82,465,92,2550,1648,744,1599,0,1,3,1,1,16,68,20,200,87,21,80,0,129,303,78,0,38,24,0,66,55,54,64
1903,Historical,Regional,51,-116,1500,-6,4.7,18.2,4.5,-15,-8.2,3.9,-4.6,-10.5,-1.7,11.1,-0.1,195,126,349,230,-9999,-9999,-9999,-9999,829,361,0,255,5,57,553,73,2421,1819,643,1642,0,1,5,1,1,9,81,21,188,102,11,137,0,81,309,69,0,55,66,0,62,53,56,67
1904,Historical,Regional,51,-116,1500,-6.1,6.6,19.6,8.8,-13.9,-7.1,2.6,-2.2,-10,-0.3,11.1,3.3,221,124,178,108,-9999,-9999,-9999,-9999,947,308,1,101,3,89,572,137,2546,1685,627,1342,0,1,6,1,1,13,70,28,209,78,6,121,0,143,338,85,0,75,160,32,66,51,49,62
1905,Historical,Regional,51,-116,1500,-5.9,8.9,19,5,-15.4,-4.6,3.6,-4,-10.6,2.2,11.3,0.5,143,144,222,182,-9999,-9999,-9999,-9999,944,110,1,254,3,89,590,104,2538,1458,613,1595,0,1,6,1,1,12,77,24,135,60,9,31,0,141,323,52,0,33,136,0,60,54,53,67
1906,Historical,Regional,51,-116,1500,-3.3,8.2,20.5,5.6,-12,-5.5,3.9,-4,-7.6,1.3,12.2,0.8,119,105,180,171,-9999,-9999,-9999,-9999,806,217,1,255,5,103,670,122,2399,1539,545,1567,0,2,14,1,1,17,77,27,108,32,5,99,0,143,347,78,0,49,167,28,64,52,50,66
1907,Historical,Regional,51,-116,1500,-8.2,5.8,17.3,7.6,-18.4,-7.1,3,-2.5,-13.3,-0.7,10.2,2.5,251,210,331,240,-9999,-9999,-9999,-9999,1170,290,1,149,3,61,479,123,2762,1718,722,1408,0,1,3,1,1,10,74,28,247,138,15,83,0,82,300,81,0,0,43,0,56,53,56,65
1908,Historical,Regional,51,-116,1500,-4.9,6.4,19.3,6.5,-13.6,-5,3.7,-3.2,-9.2,0.7,11.5,1.7,212,223,176,194,-9999,-9999,-9999,-9999,912,247,1,188,3,96,604,119,2516,1597,597,1491,0,2,7,1,1,20,79,26,200,109,5,86,0,131,326,77,0,0,151,9,63,59,53,65
1909,Historical,Regional,51,-116,1500,-8.5,6.1,19.2,6.1,-17.2,-6.9,2.2,-4.3,-12.8,-0.4,10.7,0.9,378,112,209,228,-9999,-9999,-9999,-9999,1268,258,1,258,1,58,526,139,2881,1692,674,1555,0,1,4,2,0,9,66,24,374,80,6,93,0,81,331,86,0,41,123,13,62,53,49,63
1910,Historical,Regional,51,-116,1500,-8.9,9.9,18.3,5.9,-18.2,-3.2,2.2,-3.4,-13.5,3.3,10.3,1.2,213,148,202,206,-9999,-9999,-9999,-9999,1017,93,1,216,3,134,490,105,2612,1354,712,1524,0,2,4,1,1,20,67,25,211,63,10,144,0,149,320,78,0,67,117,8,60,56,51,67
