Year,Tave05,Tave06,Tave07,Tave08,Tave09
1900,2.866666667,6.166666667,9.466666667,9.233333333,3.7
1901,4.3,4.2,10.1,10.6,2.8
1902,3,5,9.4,9,4.8
1903,1.3,9.3,8.9,8.1,3.5
1904,2.5,6.8,11.6,8.9,6.2
1905,1.8,6,11.4,10.7,6.5
1906,1.4,6.9,13.3,10.1,6.4
1907,0.7,6.5,10.4,7.6,4
1908,2.8,6.6,12.2,9.6,7
1909,1.1,7.6,10.8,9.4,7.9
1910,3.5,7.9,12,7.8,4.9
1911,1.2,8.4,9.6,7.5,4
1912,3.4,9.8,8.5,8.9,3.2
1913,1.6,8.6,10,10.3,6.9
1914,2.9,7.3,13.2,9.9,5.5
1915,2.6,5.6,9,12.1,3.8
1916,0.5,6.8,10.5,9.2,5
1917,1.8,6.5,12.7,9.5,6.4
1918,1.2,9.2,11,9.6,7.2
1919,3.1,8.4,12,10.9,5.6
1920,0.4,6.3,12.6,10.8,5.6
1921,2.6,8.9,11.1,10.2,2.9
1922,3,9.3,10.8,11.1,7.9
1923,3,7.6,11.3,9.2,6.5
1924,4.2,5.6,11.4,8.4,6.3
1925,4.1,8.4,12.1,9.2,3.9
1926,4.1,7.4,13,8.5,0.5
1927,0.1,7.3,9.9,9,4.5
1928,5.6,6.1,11.4,8.6,6.2
1929,2.3,7.6,11.8,11.9,4.1
1930,2.1,7.4,11.7,11.4,6.5
1931,4.7,9.2,12.3,11.5,6.9
1932,3.5,9,11.6,10.5,7.1
1933,2.8,9.2,11.8,10.8,4.7
1934,6.5,7.5,11.8,10.9,4
1935,2.2,7.3,11.7,9.6,7.3
1936,7,9.2,13.6,10.9,6
1937,3.7,7.7,12.2,9.2,7.2
1938,2.4,8.4,12.6,9.6,10.5
1939,4.9,5.1,13,11.4,6.8
1940,5,8.7,12.1,11.2,8.3
1941,3.3,8.9,13.6,10.3,3
1942,1.8,6.2,11.9,10.5,6.8
1943,1.1,5.4,12.3,10.8,7.8
1944,4.5,7.5,11.6,9.9,7.5
1945,2,6,12.2,11.2,4.6
1946,1.9,6.1,11.5,9.8,5.3
1947,3.5,6.4,12.9,9.2,5.4
1948,2.9,8.4,10.3,9.8,6.6
1949,4.6,6.8,11,11.2,6.8
1950,1.4,7.6,11.5,9.6,7.1
1951,2.8,5.4,11.5,7.9,4.2
1952,3.2,6.5,10.4,9.5,7.2
1953,2.3,6.5,11.6,11.1,7
1954,2.4,6.2,11.5,9.3,5.6
1955,0.4,8.2,11.2,10.7,5.6
1956,3.9,8.1,12.2,10.8,6.4
1957,4.7,7.6,11.5,8.2,7.7
1958,6.9,8.3,11.5,12.9,6.3
1959,0.9,7.8,12.3,8.4,4.4
1960,2.1,8.1,14.2,10.4,7.1
1961,3.6,11.5,12.2,13,3.2
1962,2,8.1,10.5,9.8,6.5
1963,2.4,7.9,10.9,11.3,10.1
1964,2.5,7.7,12.2,9.3,3.7
1965,1.9,6.5,12,11.3,0.7
1966,3.9,6.2,11,9.3,8.8
1967,1.1,6.9,12.1,12.6,10.7
1968,1.7,6.6,11,8.8,6.3
1969,3.5,7.7,10.1,11,6.6
1970,3.3,10.3,13.2,12.1,4.7
1971,3.8,7.3,11.5,14.4,4.6
1972,3.2,8.3,9.4,12.1,2.2
1973,3.9,7.8,12.2,11.1,6.9
1974,0.9,9.5,11.5,8.6,6.1
1975,2,6.7,13.7,8.4,7.3
1976,4.3,5.6,11.5,10.4,8.6
1977,2.9,9.6,10.9,8.5,4.6
1978,1.7,8.6,11.4,9.3,6.8
1979,1.7,8.3,11.8,11,8.5
1980,4.7,7.4,11.4,7.6,6.1
1981,3,5.8,10.3,12.5,7.5
1982,2,8.5,11,9.8,6.5
1983,3.4,7.5,10.7,13,4.7
1984,1.8,7.5,12.4,11.9,3.2
1985,5,7.3,13.8,9.2,2.1
1986,4.1,9.8,9.7,11.6,2.8
1987,5.1,10.6,11.1,8,8.7
1988,4.9,10.5,12,10.8,6.7
1989,2.4,8.5,12.4,9.7,6.8
1990,2,7.3,11.4,11.7,9.5
1991,2.7,6.8,11.4,12.9,7.1
1992,3.5,9.2,9.1,9,5
1993,5.2,6.5,8.1,8.4,5.5
1994,4.3,7.8,13.3,11.3,8.8
1995,3.6,8.4,10.8,8.7,7.3
1996,0.1,7.6,11.9,11.8,4.7
1997,3.1,7.9,11.2,11.1,8.4
1998,5.4,7,13.4,12.9,9.3
1999,1.9,6.3,9.4,11.4,5.9
2000,1.7,6.4,11.2,10,5.2
2001,3.9,6.8,11.6,12.2,7.7
2002,0.3,7.3,11.9,8.1,5.3
2003,1.5,7.7,12.6,12.2,5.9
2004,1,6.8,11.6,10.3,4.6
2005,2.9,5.8,11,9,4.4
2006,3.6,8.8,13.5,9.7,7.1
2007,3.2,7.9,14.9,9.6,5.5
2008,2.6,6.5,10.6,10.4,5.4
2009,2.1,6.4,11.2,10,9.1
2010,0.1,6.6,10.4,9.2,4.9
2011,1.8,6.4,10.6,10.7,8
2012,1.4,6.5,12.4,11,7.3
2013,3,7.2,12.1,11.3,8.1
2014,2.2,6.6,13.1,10.9,6.2
2015,2.7,9.8,11.7,10.4,5.3
