Year,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Tave_wt,Tave_sp,Tave_sm,Tave_at
1900,-10.53333333,-2.966666667,8.3,-0.866666667,315,303.3333333,334.6666667,156.6666667,-10.53333333,-2.966666667,8.3,-0.866666667
1901,-10.4,-1.3,8.3,0.2,410,380,296,181,-10.4,-1.3,8.3,0.2
1902,-9.7,-2.6,7.8,-1.2,382,319,434,159,-9.7,-2.6,7.8,-1.2
1903,-11.5,-5,8.8,-1.6,153,211,274,130,-11.5,-5,8.8,-1.6
1904,-12.4,-3.7,9.1,1.9,130,221,173,168,-12.4,-3.7,9.1,1.9
1905,-12.1,-0.8,9.4,-0.4,266,355,197,167,-12.1,-0.8,9.4,-0.4
1906,-8.6,-2.1,10.1,0.1,129,352,188,135,-8.6,-2.1,10.1,0.1
1907,-15.2,-4.1,8.2,1.2,230,188,267,94,-15.2,-4.1,8.2,1.2
1908,-8.9,-2.6,9.5,0.3,113,318,258,81,-8.9,-2.6,9.5,0.3
1909,-14.2,-3.8,9.3,-0.9,201,257,132,101,-14.2,-3.8,9.3,-0.9
1910,-13.7,1.6,9.2,-0.2,231,210,108,178,-13.7,1.6,9.2,-0.2
1911,-12.7,-1.9,8.5,-3,250,336,267,223,-12.7,-1.9,8.5,-3
1912,-10.1,-2.5,9.1,-1.6,155,193,276,279,-10.1,-2.5,9.1,-1.6
1913,-12.4,-3.6,9.7,-0.2,188,205,281,185,-12.4,-3.6,9.7,-0.2
1914,-11.3,-1.6,10.1,0,164,324,158,265,-11.3,-1.6,10.1,0
1915,-11.4,0.3,8.9,-1.1,192,390,371,224,-11.4,0.3,8.9,-1.1
1916,-16.2,-2.2,8.8,-1.6,270,403,270,266,-16.2,-2.2,8.8,-1.6
1917,-15.2,-4.2,9.6,1.4,144,423,150,111,-15.2,-4.2,9.6,1.4
1918,-14.1,-2.2,10,0.6,285,237,165,129,-14.1,-2.2,10,0.6
1919,-9.7,-3.1,10.4,-3.9,210,157,113,258,-9.7,-3.1,10.4,-3.9
1920,-12.1,-5.1,9.9,-0.7,338,327,138,77,-12.1,-5.1,9.9,-0.7
1921,-9.7,-3,10.1,-1.8,222,301,115,162,-9.7,-3,10.1,-1.8
1922,-15.1,-2.9,10.4,0.7,137,310,116,92,-15.1,-2.9,10.4,0.7
1923,-13.2,-2.3,9.4,1,201,431,379,120,-13.2,-2.3,9.4,1
1924,-10.3,-2.2,8.5,-0.8,227,239,257,207,-10.3,-2.2,8.5,-0.8
1925,-13,-0.9,9.9,-2.3,267,193,185,224,-13,-0.9,9.9,-2.3
1926,-6,0.2,9.6,-2.1,70,158,272,272,-6,0.2,9.6,-2.1
1927,-12.4,-3.3,8.7,-2.9,219,367,298,358,-12.4,-3.3,8.7,-2.9
1928,-12.2,-1.1,8.7,-0.4,268,221,317,129,-12.2,-1.1,8.7,-0.4
1929,-14.3,-2.1,10.4,-0.6,234,411,185,254,-14.3,-2.1,10.4,-0.6
1930,-13.4,-1.3,10.2,-0.5,380,387,163,186,-13.4,-1.3,10.2,-0.5
1931,-4.8,-0.5,11,0.1,62,283,111,169,-4.8,-0.5,11,0.1
1932,-11,-2.5,10.4,-0.4,254,382,306,141,-11,-2.5,10.4,-0.4
1933,-11.8,-2.3,10.6,0.2,242,362,148,240,-11.8,-2.3,10.6,0.2
1934,-9.8,1.4,10,0.9,308,226,217,215,-9.8,1.4,10,0.9
1935,-10.4,-4.4,9.5,-0.7,281,269,171,221,-10.4,-4.4,9.5,-0.7
1936,-13.9,-0.7,11.3,1.4,188,198,107,166,-13.9,-0.7,11.3,1.4
1937,-16.6,-1.1,9.7,-0.1,217,197,233,237,-16.6,-1.1,9.7,-0.1
1938,-12.7,-1.7,10.2,1.6,203,313,146,231,-12.7,-1.7,10.2,1.6
1939,-11,-0.4,9.8,1.5,153,159,289,226,-11,-0.4,9.8,1.5
1940,-10.6,-0.9,10.7,-0.7,153,271,143,267,-10.6,-0.9,10.7,-0.7
1941,-9.1,-0.5,11,-0.3,97,206,243,156,-9.1,-0.5,11,-0.3
1942,-10.4,-1.1,9.5,-0.4,193,410,434,255,-10.4,-1.1,9.5,-0.4
1943,-12.5,-3.1,9.5,2.1,173,243,156,137,-12.5,-3.1,9.5,2.1
1944,-8.5,-1.3,9.6,1.7,121,206,220,74,-8.5,-1.3,9.6,1.7
1945,-10,-3,9.8,-1.9,168,449,280,252,-10,-3,9.8,-1.9
1946,-9.7,-0.6,9.1,-3.3,208,242,254,350,-9.7,-0.6,9.1,-3.3
1947,-12.3,-2.3,9.5,-1,338,232,278,320,-12.3,-2.3,9.5,-1
1948,-10.8,-4.4,9.5,0.4,278,421,236,34,-10.8,-4.4,9.5,0.4
1949,-17.1,-0.3,9.7,1.4,341,235,124,205,-17.1,-0.3,9.7,1.4
1950,-17.2,-3.6,9.5,-1.7,446,280,162,237,-17.2,-3.6,9.5,-1.7
1951,-13,-4.3,8.3,-2.3,260,382,357,286,-13,-4.3,8.3,-2.3
1952,-14.3,-1.7,8.8,0.9,285,228,292,78,-14.3,-1.7,8.8,0.9
1953,-9,-2.9,9.7,2.4,376,488,261,103,-9,-2.9,9.7,2.4
1954,-11.1,-4.8,9,1.3,320,459,249,141,-11.1,-4.8,9,1.3
1955,-10.1,-5.1,10,-3.1,167,337,165,154,-10.1,-5.1,10,-3.1
1956,-14.8,-2.3,10.4,0.2,224,223,244,138,-14.8,-2.3,10.4,0.2
1957,-14.4,-1.5,9.1,-0.5,298,243,196,258,-14.4,-1.5,9.1,-0.5
1958,-7.9,-1.6,10.9,0.1,159,345,317,144,-7.9,-1.6,10.9,0.1
1959,-12.6,-2.2,9.5,-2.3,259,331,183,261,-12.6,-2.2,9.5,-2.3
1960,-10.8,-2.7,10.9,0.4,201,235,118,100,-10.8,-2.7,10.9,0.4
1961,-7.9,-1.4,12.2,-2.5,213,341,182,324,-7.9,-1.4,12.2,-2.5
1962,-12.8,-2.4,9.5,1.6,221,237,136,134,-12.8,-2.4,9.5,1.6
1963,-9.7,-1.1,10.1,1.9,258,218,388,144,-9.7,-1.1,10.1,1.9
1964,-9,-3.3,9.7,-0.9,142,382,146,141,-9,-3.3,9.7,-0.9
1965,-14.5,-3.8,10,-1.5,321,247,321,213,-14.5,-3.8,10,-1.5
1966,-13.3,-1.4,8.8,-0.6,169,294,273,243,-13.3,-1.4,8.8,-0.6
1967,-9.6,-5.4,10.5,1.8,186,539,136,149,-9.6,-5.4,10.5,1.8
1968,-10.5,-1.4,8.8,-0.2,354,379,256,241,-10.5,-1.4,8.8,-0.2
