"","Bins","Site","Actual","Sample","SiteID","bins","Divis"
"1",1900,"WIL",8,3.503,"WIL",1900,2.28375677990294
"2",1905,"WIL",8,4.792,"WIL",1905,1.669449081803
"3",1910,"WIL",12,4.815,"WIL",1910,2.49221183800623
"4",1915,"WIL",11,5.548,"WIL",1915,1.98269646719539
"5",1920,"WIL",15,7.342,"WIL",1920,2.04304004358485
"6",1925,"WIL",20,6.583,"WIL",1925,3.03812851283609
"7",1930,"WIL",11,2.615,"WIL",1930,4.20650095602294
"8",1935,"WIL",23,7.073,"WIL",1935,3.25180262971865
"9",1940,"WIL",21,5.427,"WIL",1940,3.86954118297402
"10",1945,"WIL",19,4.283,"WIL",1945,4.43614289049731
"11",1950,"WIL",36,4.607,"WIL",1950,7.81419578901671
"12",1955,"WIL",44,4.665,"WIL",1955,9.43193997856377
"13",1960,"WIL",167,14.695,"WIL",1960,11.3644096631507
"14",1965,"WIL",534,37.824,"WIL",1965,14.1180203045685
"15",1970,"WIL",406,28.434,"WIL",1970,14.2786804529788
"16",1975,"WIL",150,13.212,"WIL",1975,11.3533151680291
"17",1980,"WIL",37,3.111,"WIL",1980,11.8932819029251
"18",1985,"WIL",9,1.033,"WIL",1985,8.71248789932236
"19",1900,"HIL",41,3.937,"HIL",1900,10.4140208280417
"20",1905,"HIL",33,5.243,"HIL",1905,6.29410642761778
"21",1910,"HIL",38,3.326,"HIL",1910,11.4251352976548
"22",1915,"HIL",20,3.573,"HIL",1915,5.59753708368318
"23",1920,"HIL",38,4.788,"HIL",1920,7.93650793650794
"24",1925,"HIL",30,4.92,"HIL",1925,6.09756097560976
"25",1930,"HIL",30,2.377,"HIL",1930,12.620950778292
"26",1935,"HIL",24,2.562,"HIL",1935,9.36768149882904
"27",1940,"HIL",32,3.987,"HIL",1940,8.02608477552044
"28",1945,"HIL",42,2.136,"HIL",1945,19.6629213483146
"29",1950,"HIL",30,1.968,"HIL",1950,15.2439024390244
"30",1955,"HIL",29,1.668,"HIL",1955,17.3860911270983
"31",1960,"HIL",244,14.445,"HIL",1960,16.8916580131533
"32",1965,"HIL",390,22.471,"HIL",1965,17.3557029059677
"33",1970,"HIL",169,10.461,"HIL",1970,16.1552432845808
"34",1975,"HIL",62,4.357,"HIL",1975,14.2299747532706
"35",1980,"HIL",71,3.425,"HIL",1980,20.7299270072993
"36",1985,"HIL",7,0.294,"HIL",1985,23.8095238095238
