Year,Tave05,Tave06,Tave07,Tave08,Tave09
1900,-0.133333333,3.366666667,6.5,8.133333333,1.2
1901,0.5,2.4,6.9,8.3,1.8
1902,-0.6,1.7,6.3,7.9,1.7
1903,-0.3,6,6.3,8.2,0.1
1904,0,3,6.5,8.3,2
1905,0.1,3.6,8.1,8,2.6
1906,0.6,3,10.2,8.1,2.1
1907,-0.4,3.2,6.7,5.9,1.8
1908,1.3,3.8,7.7,7.9,2.6
1909,-0.6,3.9,6.7,6.9,3.6
1910,1,3,6.8,6.1,2.1
1911,-0.4,3.4,5.5,5.4,1.4
1912,1.5,6,5.1,6,0.6
1913,-0.3,4.4,5.5,7.4,1.2
1914,0.6,3.3,7.4,7.6,2.1
1915,1.6,2.5,5.4,10.2,1.5
1916,-1.3,2.7,4.7,7,2.7
1917,-0.5,1.9,7.8,8.2,2.8
1918,-0.1,4.2,7.6,7.5,5.2
1919,0.1,3.2,6.6,8.7,2.5
1920,-0.7,2.9,9,8.4,2.6
1921,0.4,4.5,6.3,7.1,0.4
1922,0.3,4.7,7.1,8.8,4
1923,0.7,4.6,7.6,8.1,3.2
1924,1.6,4,8.6,8.5,4.9
1925,2,5.4,8.4,6.7,2
1926,0.7,3.7,8.3,6.8,-1.6
1927,-0.6,4.4,6.9,8.5,2.2
1928,1.4,4.1,7.9,7.6,2.2
1929,0.6,4.4,6.6,8.2,2.5
1930,0,4.1,8.7,10,4.2
1931,1.4,3.6,6.8,7.6,1.4
1932,0.9,4.7,5.4,8.8,3.2
1933,-0.5,3.3,6,8.6,0.3
1934,2.3,3.4,6.7,8.2,1.6
1935,-0.6,3.1,6.1,7,3.5
1936,3.6,4.9,8.4,8.7,1.7
1937,1.1,4.8,7.4,6.3,4.6
1938,1,5.3,8.8,7.2,6.5
1939,1.5,2.9,7.3,8.9,2.8
1940,2,3.8,7.2,8.3,5.7
1941,1.1,5.5,9.2,8,0.4
1942,0,3.2,7.4,8.4,3.6
1943,0.2,2.6,8.3,7.9,4
1944,2.5,5.1,7.5,7.7,4.7
1945,1,3.2,8.3,8.9,2.5
1946,2.3,4.1,7,9,3
1947,1.1,3.3,8.2,7,3.4
1948,3.2,6.8,7.1,8,3.3
1949,2.6,2.8,6.7,8.4,3.9
1950,-0.3,6,7.4,7.4,4.1
1951,1.6,3,7.9,6.9,1.8
1952,1.5,3.8,6.4,8.2,4.2
1953,1.3,3.7,5.8,7.6,2.5
1954,0.6,2.4,6.8,7.6,3.6
1955,-0.9,4.9,7.4,7.8,3.2
1956,1.7,3.4,8.8,9.5,3
1957,3.3,4.2,6.6,6.5,4.7
1958,3.5,5.9,8.7,9.8,3.1
1959,-0.3,3,7.6,5.7,2.1
1960,-0.6,3.4,9.5,8,3.2
1961,1.7,7.1,8.2,10.1,0.8
1962,-0.2,3.9,6.2,7.1,3.2
1963,0.5,3.7,6.2,8.6,6.5
1964,0.1,3.8,7.3,6.5,1
1965,0.1,3.6,8.1,10,-0.4
1966,1.3,2.7,6.1,7.3,4.9
1967,-0.2,4.8,7.3,10.8,6.8
1968,0.5,2.9,7.6,7,3.3
1969,1.8,6,6.2,7.6,3.2
1970,1.2,6.3,8.5,9.4,1.3
1971,2.1,4,7.1,11,1.3
1972,1.5,4.4,6.1,10.6,-0.7
1973,1.3,3.7,6.8,7.9,3.4
1974,-0.7,4.8,6.3,7.9,3.2
1975,0.4,3.5,9.5,6,4
1976,1.7,2.1,6.4,8.3,4.7
1977,0.5,5,6.3,8,1.8
1978,0.4,5.5,8.3,7.5,2.9
1979,-0.4,4.2,8.2,9.4,4.5
1980,2.6,4.6,7.3,6.2,2.4
1981,1.8,2.5,6.4,10.4,3.2
1982,-0.3,6,6.4,7,3.4
1983,2.1,4.2,6.2,9.7,0.8
1984,-0.9,3.7,8,8.6,-0.1
1985,2.1,3.4,9.2,6.7,-0.5
1986,1.3,5,4.9,9.2,1.1
1987,2.3,6.6,7.6,6.5,5.5
1988,2.1,5.4,6.9,8.1,2.8
1989,1.2,5.3,7.9,7.5,3.4
1990,1.1,4.1,8.1,9.8,5.7
1991,0.8,3.7,6.7,10,3.8
1992,0.7,6.4,6.2,7.6,1.7
1993,4.4,4.5,5.9,7.6,3.4
1994,2,4.2,9.1,9,5.5
1995,1.6,5.1,7.3,7.1,3.3
1996,-1.1,3.4,7.7,9.1,2.2
1997,1.4,4.1,6.3,8.6,4.3
1998,4.5,4.6,9.8,10.1,5.1
1999,0,3.3,5.1,9.6,2.6
2000,-0.8,3.2,7,7.6,2.4
2001,1.4,3.2,7.3,9.4,4.4
2002,-0.9,5,7.8,7.6,2.5
2003,-0.1,4.7,8.6,10,3.6
2004,-0.1,5.1,8.5,8.8,1.8
2005,1.8,3.2,6.3,6.9,1.1
2006,1.8,5.4,8.9,7.4,4.2
2007,0.9,4.2,9.8,6.9,2
2008,1.1,3.4,6.5,8.1,2.4
2009,-0.1,3.4,7.5,8.3,5.6
2010,-1.1,3.6,7.1,7.9,1.8
2011,0.6,3.6,6.2,8.2,4.7
2012,0,3.5,8.3,9.2,4.4
2013,1.4,4.2,7.5,9.6,5.2
2014,0.5,3.8,9,9.1,3.1
2015,1.4,6,7.9,8.6,2
