Year,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Tave_wt,Tave_sp,Tave_sm,Tave_at
1900,-12.16666667,-5.8,5.966666667,-3.8,303.3333333,249,203.6666667,270,-12.16666667,-5.8,5.966666667,-3.8
1901,-12.2,-4.7,5.8,-3.3,332,258,228,267,-12.2,-4.7,5.8,-3.3
1902,-11.9,-5.8,5.3,-3.6,319,218,170,286,-11.9,-5.8,5.3,-3.6
1903,-12.4,-6.9,6.8,-4.5,259,271,213,257,-12.4,-6.9,6.8,-4.5
1904,-12,-5.3,5.9,-1.9,386,228,162,201,-12,-5.3,5.9,-1.9
1905,-12.8,-3.3,6.6,-4.3,231,182,212,231,-12.8,-3.3,6.6,-4.3
1906,-10.1,-4.1,7.1,-4.1,196,109,169,281,-10.1,-4.1,7.1,-4.1
1907,-16.1,-6.3,5.3,-2.3,432,320,297,297,-16.1,-6.3,5.3,-2.3
1908,-11.8,-5,6.5,-2.6,338,345,133,262,-11.8,-5,6.5,-2.6
1909,-15.2,-5.7,5.8,-3.3,358,204,209,389,-15.2,-5.7,5.8,-3.3
1910,-16,-2.9,5.3,-3.2,392,342,183,358,-16,-2.9,5.3,-3.2
1911,-15.3,-5.4,4.8,-6.1,466,180,196,229,-15.3,-5.4,4.8,-6.1
1912,-13.8,-4.9,5.7,-4.1,214,131,301,192,-13.8,-4.9,5.7,-4.1
1913,-14.5,-6.2,5.8,-4,388,149,249,325,-14.5,-6.2,5.8,-4
1914,-12.3,-4.1,6.1,-2.6,332,244,146,315,-12.3,-4.1,6.1,-2.6
1915,-12.6,-2,6,-3.8,181,128,329,205,-12.6,-2,6,-3.8
1916,-16.6,-5.4,4.8,-3.7,218,230,185,175,-16.6,-5.4,4.8,-3.7
1917,-16.3,-5.9,6,-1.6,304,203,161,203,-16.3,-5.9,6,-1.6
1918,-14.4,-4.1,6.4,-1.4,681,187,192,187,-14.4,-4.1,6.4,-1.4
1919,-11.7,-5.7,6.2,-6,461,110,141,230,-11.7,-5.7,6.2,-6
1920,-13,-6.5,6.8,-3.2,518,242,133,259,-13,-6.5,6.8,-3.2
1921,-11.5,-5,6,-4.1,505,211,201,333,-11.5,-5,6,-4.1
1922,-16.8,-5.1,6.9,-2.2,212,151,103,272,-16.8,-5.1,6.9,-2.2
1923,-14.5,-4.6,6.8,-1.7,290,154,346,109,-14.5,-4.6,6.8,-1.7
1924,-10.6,-4.4,7,-2.6,387,155,225,296,-10.6,-4.4,7,-2.6
1925,-15.2,-3.5,6.8,-3.6,503,195,223,233,-15.2,-3.5,6.8,-3.6
1926,-6.7,-2.5,6.3,-4.6,250,154,147,330,-6.7,-2.5,6.3,-4.6
1927,-13.5,-5.9,6.6,-5,280,203,259,364,-13.5,-5.9,6.6,-5
1928,-15.1,-4.2,6.5,-3.5,233,239,160,134,-15.1,-4.2,6.5,-3.5
1929,-16,-4.3,6.4,-2.4,293,244,150,274,-16,-4.3,6.4,-2.4
1930,-16.2,-4,7.6,-2.5,503,259,107,233,-16.2,-4,7.6,-2.5
1931,-6.7,-3.7,6,-5,187,302,186,267,-6.7,-3.7,6,-5
1932,-13.6,-4.9,6.3,-3.7,444,211,163,325,-13.6,-4.9,6.3,-3.7
1933,-13.8,-5.8,6,-3,255,252,151,415,-13.8,-5.8,6,-3
1934,-12.9,-2.4,6.1,-2.5,588,173,152,336,-12.9,-2.4,6.1,-2.5
1935,-12.6,-7.2,5.4,-4,483,202,270,285,-12.6,-7.2,5.4,-4
1936,-14.6,-3.7,7.3,-2.6,355,234,162,137,-14.6,-3.7,7.3,-2.6
1937,-17.8,-3.5,6.2,-2.4,469,116,235,338,-17.8,-3.5,6.2,-2.4
1938,-12.3,-3.4,7.1,-1.5,332,142,276,189,-12.3,-3.4,7.1,-1.5
1939,-12.1,-3.9,6.4,-2.1,405,230,171,338,-12.1,-3.9,6.4,-2.1
1940,-10.9,-2.7,6.5,-3.4,257,242,151,334,-10.9,-2.7,6.5,-3.4
1941,-9.6,-2,7.6,-3.4,334,190,138,261,-9.6,-2,7.6,-3.4
1942,-11.5,-4.3,6.3,-3.6,241,218,180,238,-11.5,-4.3,6.3,-3.6
1943,-14.1,-4.8,6.3,-1.6,294,272,167,181,-14.1,-4.8,6.3,-1.6
1944,-9.9,-3.4,6.8,-1,275,234,260,208,-9.9,-3.4,6.8,-1
1945,-12.1,-5.1,6.8,-4,313,194,176,406,-12.1,-5.1,6.8,-4
1946,-10.6,-2.6,6.7,-4.7,353,323,159,287,-10.6,-2.6,6.7,-4.7
1947,-12.7,-3.5,6.2,-3,416,139,255,308,-12.7,-3.5,6.2,-3
